0,1,2
차가운 공기가 들어오는 느낌 ,숨쉴때 계속 차가운 공기가 들어와서 목이 건조해지는데 집이 춥지도 않은데 왜 차가운 공기가 들어오죠  숨쉴때만 들어와요 저만 그런거 같아요,호흡기내과
잠복결핵양성음성,잠복결핵 검사 인터페론감마 분비 검사 를 하였는데 양성이라고 통보 받았습니다  다른 병원에 가서 한번 더 같은 검사를 진행 했는데 음성이라고 하네요 이렇게 결과가 나올수 있는건지  그럼 저는 양성인가요  음성인가요   ,호흡기내과
아나필락시스쇼크가 왔을 때 에피네프린 맞고 벤토린 사용해도 되나요 ,아나필락시스쇼크가 왔을 때 에피네프린 맞고  목이 부어서 숨막히는 것 같은 느낌이 들 때 벤토린 사용해도 되나요 ,호흡기내과
난방을 틀면 어지럽고 졸려요,어릴적 부터 난방만 틀면 숨쉬기 힘들고 어지럽고 졸렸습니다 마치 지하상가에 가면 어지러운 것과 비슷  지금도 회사에서 난방을 틀면 어지럽고 졸려서 스트레스를 받지만 다들 추워하니까 뭐라 말을 못하겠어요  병이나 알러지인가요    쿠팡 파트너스 한의원 등등 광고는 차단 신고 합니다 ,호흡기내과
코로나 완치후 신속항원 음성 나올수 있을까요, 월   일에 해외여행이 계획되어 있습니다  티켓팅 호텔예약 다 해놓은 상태   그런데 오늘 목이 아파서 자가 테스트로 두번 했는데 두번다 양성이 나왔어요  내일 신속항원 받으러 갈건데 거의 양성 나올것 같습니다  내일 양성이 나온다면  주일 자가격리 치료를 하는데요 자가격리후  월   일까지는  주일 밖에 안남습니다  그런데 해외여행을 하는 국가에서 신속항원검사 음성을 요구하네요  출국   시간 전인   일날 음성나오면 됩니다  신속항원검사 음성이 나올까요   찾아보니 PCR은 바이러스 사멸균때문에   일까지는 양성이 나올수 있다고는 들었습니다  하짐나 신속항원검사는 음성이 나올가능성이 있다고 하는데 나올까요   전문가의 자세한 답변을 듣고 싶습니다,호흡기내과
코로나 격리 해제 후 한달이 지났는데도 기침이 계속 나고 편도가 부어서 밤마다 열이      도 사이를 왔다갔다 하는데 어떻게 해야 하나요  약,코로나 격리 해제 후 한달이 지났는데도 기침이 계속 나고 편도가 부어서 밤마다 열이      도 사이를 왔다갔다 합니다   약을 계속 먹고 있는데 밤마다 열이 나네요  Xray 찍었을때 문제는 없었습니다  자가키트  전문가용 RAT도 음성이 나옵니다      이러한 케이스가 있나요     어떻게 해야 하나요 ,호흡기내과
코로나 후유증인가요 , 월   일에 확진돼서  월   일 격리 해제되었습니다  초반에는 몸살  감기증상 후각미각 소실 있다가 중반부터는 다 괜찮아지고 후각 미각 소실 증상만 남아있었습니다  현재까지도 그때보단 덜하지만 여전히 후각 미각 소실 증상이 있는데요  오늘 오후부터 갑자기 숨 쉬기가 힘들다는 느낌이 들더라고요   평소 숨 쉬었던 게    이라 하면 지금은   정도로 숨 쉬는게 살짝 버겁다는 느낌을 받았습니다  코로나 후유증일까요  그러면 좀 있으면 괜찮아질까요   참고로 나이는 고 입니다,호흡기내과
백신 차 맞은지  일 됐는데요,계속 자다가 가슴이 아프고 숨을 잘 못쉬겠어서 일어나는데 부작용인가요 ,호흡기내과
먹기만 하면 진땀이나요 왜 그럴까요,몇 칠전 위내시경을 하다 구토를 해서 못하고 다음에 수면 내시경 하려고 못했는데 먹기만하면 진땀이 흘러요 그리고 기운도 없고,호흡기내과
목이 조이는 느낌이 들어요,목이 조이는 느낌이 들고 해서 숨쉬고 힘든니다  그리고 목과 가슴 중간 부분도 답답하고 심장도 조금 답답 합니다    시간에세  시간 정도 지나는데도 그렇습니다  온몸이 힘이 없는 느낌이었고 저녁 먹다나서  시간즘 뒤에 갑자기 숨쉬기 힘들어 습니다 그런데 한 번씩 가다가 그런 적이 있었습니다  왜 그러까요   코로나 주사는 안 맞았었요 그리고 코로나도 아니에요,호흡기내과
코로나 인가요 ,한  주째 아프다 안 아프다를 반복해서 코로나 자가키트를 달고살았는데 할때마다 죄다 음성이더라구요    그러다  일전쯤부터 감기몸살 증상이 보이면서 저녁엔 열도 나고  미각 후각도 거의 잃은듯하고  흉통과 가래  마른기침  재채기를 엄청 많이 하는데 오늘 선별진료소를 가니 또 음성판정을 받고 집에왔습니다    학생이라 학업에 지장이 많아 그러는데 도와주세요 pcr을 해보는게 나을까요 ,호흡기내과
코로나    오미크론 확진 후 격리해제되었는데 기침이 심하게 나요   혹시 이거 전염성이 있나요 ,제목 그대로 학교에서 코로나    오미크론이 확진이 되었고 확진 판정 받고 격리 해제된지  일정도 되었는데 후유증인건지 완치가 안된건지 기침이 심하게 나요   혹시 기침에 전염성이 있나요  아니면 그냥 저랑 뭔가 나눠 먹거나 그래도 전염이 될 수 있나요   아직 기침 약을 먹고 있는데 괜찮은 건가요   내공    걸었습니다 후유증 빨리 없어지는 법이랑 관리법 코로나  를 제가 전염시킬 수 있는지가 궁금합니다 ,호흡기내과
맥박 정상인가요 ,사람 맥박 정상이  분당       회가 정상이잖아요  근데 하루종일 일하면서    에서    을 계속 아우르는데 그것도 정상인가요 ,호흡기내과
코로나 잠복기간 전염력,혹시 코로나 잠복기간에도 전염력이있나요 ,호흡기내과
