0,1,2,3,4,5,6,7,8
차가운 공기가 들어오는 느낌 ,숨쉴때 계속 차가운 공기가 들어와서 목이 건조해지는데 집이 춥지도 않은데 왜 차가운 공기가 들어오죠  숨쉴때만 들어와요 저만 그런거 같아요,호흡기내과,갑자기 숨쉬는게 이상해요,제가 자다가 일어났는데 어지럽고 숨쉬는게 안느껴진다고 해야 하나   숨을 오래 참아도 숨이 안차고 폐쪽에 감각이 사라진 느낌입니다   누우면 답답한 느낌도 있습니다 저 위험한건가요 ,호흡기내과,폐렴예방주사,폐렴예방주사     년  월  차  단백결합  가 를 접종하고  년 후  차   가를 맞아야 하는데 아직 맞지를 못하였습니다 지금  차   가를 맞아도 되나요  아니면  차부터 다시 맞아야 하는지요  답변 부탁드립니다 ,호흡기내과
잠복결핵양성음성,잠복결핵 검사 인터페론감마 분비 검사 를 하였는데 양성이라고 통보 받았습니다  다른 병원에 가서 한번 더 같은 검사를 진행 했는데 음성이라고 하네요 이렇게 결과가 나올수 있는건지  그럼 저는 양성인가요  음성인가요   ,호흡기내과,폐결핵 검사 질문,폐결핵 검진 결과 표기된 의사 소견서나 진단서가 필요한데어느 병원으로 가야 하나요 ,호흡기내과,독감주사 맞을 때 인데놀 복용 괜찮나요 ,독감주사 맞기 전후로 인데놀 복용 괜찮나요 ,호흡기내과
아나필락시스쇼크가 왔을 때 에피네프린 맞고 벤토린 사용해도 되나요 ,아나필락시스쇼크가 왔을 때 에피네프린 맞고  목이 부어서 숨막히는 것 같은 느낌이 들 때 벤토린 사용해도 되나요 ,호흡기내과,제가 코로나 양성 나왔는데 어쩌죠   ,제가 어제 밤부터 너무 기침이랑 가래 좀 끼구 코막히구 몸 으스스거리고 몸이 우쑥거리고    두통도 있어요 그래서 막 그러다가 오늘이서야 부모님과 소아과 갔는데요    코로나 검사 부터 하자 하셔서 했다가 기다리는데 제가 양성이라는 거에요   진짜 태어나서 처음인데    양성이여서 시청 가서 보건소 가서 거기서 또 다시 검사했는데     저 만약 양성이면 어떡하죠    모든 사람들에게 피해끼치구   그래서 울었는데    저 낼 검사 결과 나오는데 양성이면    어쩌죠  자가격리 어디서 해요  이미 소아과에서 양성이면 양성인가요 ,호흡기내과,폐렴 백신 접종하려 하는데요 질문요,  코로나 백신은 접종하지 않았고 접종하지 않을 예정입니다  부작용사례가 많아서요     몇일전에 독감 백신 접종했구요 폐렴 백신을 접종하면 코로나에 걸려도 큰 도움이 되는 작용을 한다기에     폐렴 백신을 접종하려 하는데요   세 이하는 평생 회만 접종하면 된다고 하더라구요 제가   년생인데요    어렸을적에 초중고학교에서 무료 접종하지 않았을까요  어디서 기록 볼수 없나요       이미 접종했으면 돈 십만원 주고 접종할 필요가 없을건데요      폐렴백신  초중고 에서 무료 접종하는지    좀 알려주세요,호흡기내과
난방을 틀면 어지럽고 졸려요,어릴적 부터 난방만 틀면 숨쉬기 힘들고 어지럽고 졸렸습니다 마치 지하상가에 가면 어지러운 것과 비슷  지금도 회사에서 난방을 틀면 어지럽고 졸려서 스트레스를 받지만 다들 추워하니까 뭐라 말을 못하겠어요  병이나 알러지인가요    쿠팡 파트너스 한의원 등등 광고는 차단 신고 합니다 ,호흡기내과,급합니다 코로나 키트,이거 양성 맞죠    ,호흡기내과,코로나 백신 감기,저번주 토요일날 감기 걸렸었는데 지금 감기는 거의 다 나았고 열이           왔다갔다 거리는데 내일 화이자  차 예약 되있는데 맞을수 있나요  ,호흡기내과
코로나 완치후 신속항원 음성 나올수 있을까요, 월   일에 해외여행이 계획되어 있습니다  티켓팅 호텔예약 다 해놓은 상태   그런데 오늘 목이 아파서 자가 테스트로 두번 했는데 두번다 양성이 나왔어요  내일 신속항원 받으러 갈건데 거의 양성 나올것 같습니다  내일 양성이 나온다면  주일 자가격리 치료를 하는데요 자가격리후  월   일까지는  주일 밖에 안남습니다  그런데 해외여행을 하는 국가에서 신속항원검사 음성을 요구하네요  출국   시간 전인   일날 음성나오면 됩니다  신속항원검사 음성이 나올까요   찾아보니 PCR은 바이러스 사멸균때문에   일까지는 양성이 나올수 있다고는 들었습니다  하짐나 신속항원검사는 음성이 나올가능성이 있다고 하는데 나올까요   전문가의 자세한 답변을 듣고 싶습니다,호흡기내과,감기몸살로 내과가면 코로나 백신접종 확인하나요 ,열은없고 몸이무겁고 목이조금 칼칼한데  내과가면 코로나같다고 싫어할까요  ,호흡기내과,백신 맞는데 감기 걸리면 안됨   ,백신 맞는데 열은 없구 기침이랑 콧물만 나오거든요 그럼 백신 못 맞나요   병원도 가보니까 코로나  는 의심되지 않다고 진단서 같은더 주던데,호흡기내과
코로나 격리 해제 후 한달이 지났는데도 기침이 계속 나고 편도가 부어서 밤마다 열이      도 사이를 왔다갔다 하는데 어떻게 해야 하나요  약,코로나 격리 해제 후 한달이 지났는데도 기침이 계속 나고 편도가 부어서 밤마다 열이      도 사이를 왔다갔다 합니다   약을 계속 먹고 있는데 밤마다 열이 나네요  Xray 찍었을때 문제는 없었습니다  자가키트  전문가용 RAT도 음성이 나옵니다      이러한 케이스가 있나요     어떻게 해야 하나요 ,호흡기내과,쌍수하러 가는데 수면마취중에 기침 할까요 ,제가 축농증에 걸려서 현재 기침이랑 콧물 가래가 심하거든요 자면서도 기침하는 저인데 수면마취때도 기침을 할까요    안나오게 하는 방법은 없나요  제발요 수술이 코앞이에요    ,호흡기내과,목감기증상,증상은 열  도에 기침하고 목이 쉬었고 가래 나오고 물 먹을때 목이 뭔가 부은느낌인데 목감기일까요 ,호흡기내과
코로나 후유증인가요 , 월   일에 확진돼서  월   일 격리 해제되었습니다  초반에는 몸살  감기증상 후각미각 소실 있다가 중반부터는 다 괜찮아지고 후각 미각 소실 증상만 남아있었습니다  현재까지도 그때보단 덜하지만 여전히 후각 미각 소실 증상이 있는데요  오늘 오후부터 갑자기 숨 쉬기가 힘들다는 느낌이 들더라고요   평소 숨 쉬었던 게    이라 하면 지금은   정도로 숨 쉬는게 살짝 버겁다는 느낌을 받았습니다  코로나 후유증일까요  그러면 좀 있으면 괜찮아질까요   참고로 나이는 고 입니다,호흡기내과,일주일 전 쯤 부터 왼쪽 쇄골 밑에 통증이 갑자기 생겼습니다  누르면 아프고 기침이나 숨을 크게 들이마시면 통증이 좀 심하구요  붓기도 조금 있,일주일 전 쯤 부터 왼쪽 쇄골 밑에 통증이 갑자기 생겼습니다  누르면 아프고 기침이나 숨을 크게 들이마시면 통증이 좀 심하구요  붓기도 조금 있는데 혹시 무슨 증상인가요      살 남자이구요 지병같은 거 일지 겁나서 알고싶습니다  ,호흡기내과,코로나  독감  감기  중에 뭔지 알려주세요  그리고 이상태로 내일 화이자 맞아도 되나요 , 증상    목이 칼칼   맑은 콧물   열             재채기   뒷목 허리 근육통   살짝 몸살기운  코로나  독감  감기  중에 뭔지 알려주세요   그리고 이상태로 내일 화이자 맞아도 되나요 ,호흡기내과
백신 차 맞은지  일 됐는데요,계속 자다가 가슴이 아프고 숨을 잘 못쉬겠어서 일어나는데 부작용인가요 ,호흡기내과,폐렴백신 맞고 주의사항,폐렴백신 맞고 기침감기약 먹어도 되나요 ,호흡기내과,감기기운 있는데 백신맞아도 되나요 ,지금 감기기운 있는데 백신을 맞아도 되는건가요  ,호흡기내과
먹기만 하면 진땀이나요 왜 그럴까요,몇 칠전 위내시경을 하다 구토를 해서 못하고 다음에 수면 내시경 하려고 못했는데 먹기만하면 진땀이 흘러요 그리고 기운도 없고,호흡기내과,숨이 잘 안 쉬어져요,제목 그대로 숨이 잘 쉬어지지 않고 가만히 있어도 숨이 약간 찰 때가 있습니다  일주일 조금 안 되게 계속 이러네요   깊게 호흡해도 폐활량을 전부 활용하지 못한다는  깊게 숨쉬지 못하는 느낌이 자주 들고요  왜 이러나요  요즘 운동을 잘 안 하고 늦은 시간 섭취를 잦게 했는데 이것도 원인이 될 수 있나요  이러한 증상이 나타나면 어떤 게 의심되는지  또 어떻게 해야 하는지 알려 주시면 감사하겠습니다  백신은  차를 맞고  개월이 다 되어갑니다  부작용은 아닌 것 같아서 여쭤봅니다  ,호흡기내과,독감주사 무료 대상자가 몇살부터 인가요 ,독감주사 무료라고 들었는데 혹시 성인은 만 몇살부터 무료 대상자 인가요 ,호흡기내과
목이 조이는 느낌이 들어요,목이 조이는 느낌이 들고 해서 숨쉬고 힘든니다  그리고 목과 가슴 중간 부분도 답답하고 심장도 조금 답답 합니다    시간에세  시간 정도 지나는데도 그렇습니다  온몸이 힘이 없는 느낌이었고 저녁 먹다나서  시간즘 뒤에 갑자기 숨쉬기 힘들어 습니다 그런데 한 번씩 가다가 그런 적이 있었습니다  왜 그러까요   코로나 주사는 안 맞았었요 그리고 코로나도 아니에요,호흡기내과,숨이 끝까지 시원하게 안쉬어져요,호흡을 할 때 숨이 끝까지 시원하게 쉬어지지가 않아서 항상 답답해요 원인이 무엇인가요,호흡기내과,감기증상 코로나 백신,다음주 월요일에 화이자 백신을 맞는데요  감기기운이 좀 있어서요 콧물나고 코맹맹이 소리 나요 기침은 살짝씩 나구요 열 없어요 백신 맞아도 될까요  참고로 중학생입니다,호흡기내과
