0,1,2
루푸스로 인한 탈모 및 단백뇨 증상,안녕하세요  저는 현재 독일에서 유학하고 있는   세 남성입니다  하단 원문에 작성한 바와 같이 저는 약  년 전에 갑작스러운 탈모와 두피 염증으로 인해 독일에서 주치의를 방문하여 루푸스가 의심된다는 말을 들었고  자세한 검사를 위해 대학병원에서 혈액  소변 및 조직검사를 받았고  결과적으로 루푸스 질환을 진단 받았습니다  탈모와 약간의 단백뇨 증상을 제외한 다른 증상은 없고  치료를 위해 약  개월간 현지 피부과를 다녔지만 현재는 중단한 상태입니다   원문   머리 뒤쪽에 루푸스로 인한 염증 및 탈모가 다시 시작되었습니다  피부가 가렵고 때로는 통증이 있으며  머리를 감을 때 머리가 가늘어지고 빠지는 양이 많아진 것을 느낄 수 있었습니다  또한 최근 오줌에 거품이 많이 섞여 나옵니다   년 전에 피부과 및 대학병원에서 혈액검사 및 조직검사를 받았을 때  처음 루푸스를 진단 받았습니다  검사 결과 다른 수치는 비교적 정상이었으나  ANA가 일정 수치 이상 존재했으며  단백질이 정상 수치보다 높게 나왔습니다  때문에 계란 프로틴 쉐이크 등 단백질 섭취를 줄이는 것을 권장 받았고  담배 역시 끊는 것을 강력하게 권장 받았습니다   대학병원에서는 주치의에게 EKG 검사를 의뢰하는 것이 좋겠다고 했고  피부과 의사는 저에게 피부 병변에 Mometason 크림이 염증을 줄일 거라며 추천하였습니다  하지만 그 이후로  년 간 단백질 및 염분 섭취를 줄이고 운동량을 줄이니 단백뇨 증상은 사라졌고  담배를 하루에    개로 줄이니 탈모 및 피부도 많이 좋아졌습니다  그래서 따로 병원에 가지 않아도 되겠다고 스스로 판단하여 의사가 추천한 검사를 받지 않고 연고를 사용하지 않았습니다   부작용으로는 단백질 및 저염식으로 식사하다보니 식욕이 많이 떨어져 체중 및 근육이 많이 감소했었습니다     kg      kg  그러다가 한 달 전 여자친구와 헤어지고  시험에 떨어지는 등 스트레스를 많이 받게 되어 다시 흡연을 시작했고  하루에 반 갑  많게는 한 갑까지 흡연하였습니다  게다가 최근 외로움을 많이 느껴 사람들을 만나는 횟수가 늘다 보니 자연스레 음주를 하는 횟수가 늘었으나 현재는 다시 음주를 거의 하고 있지 않는 상태입니다   스트레스를 줄이기 위해 운동량을 늘리다 보니 다시 근육 및 기초체력 증가를 위해 운동 시간을 늘리고  계란 고기 바나나 쌀 우유 그리고 프로틴 쉐이크를 다시 섭취하기 시작했었습니다  담배는 다시 하루에    개 정도로 줄이기는 했지만  아직 완전히 끊지는 못하고 니코틴 껌을 섭취하며 조절하고 있습니다  결과로  다시 소변에 거품이 많아지기 시작했으며  머리에 염증이 생기기 시작했고  모발이 가늘어지기 시작했습니다  아직까지 다른 증상이나 이상은 없습니다  하지만 탈모 범위가 다시 증가하고 루푸스 증상이 심해져서 콩팥 및 다른 장기에 영향을 미칠까 봐 두렵습니다   질문  루푸스 완치는 불가능한가요  이미 탈모가 진행되어 흉터가 생긴 피부에는 절대 다시 머리카락이 자라나지 않나요  더 이상의 탈모만큼은 막고 싶습니다  특히 탈모 때문에 너무 스트레스가 커서 밖에 나가 사람을 만나는 것 자체가 신경쓰이고 자신감이 많이 떨어진 상태입니다  운동을 통해 근육을 키우려면 단백질 섭취가 필수적인데  만약 제 증상이 단백뇨가 맞다면 단백질 및 염분 섭취를 줄여야 한다고 알고 있습니다  단백질 섭취를 극단적으로 줄이고 운동 역시 쉬어야 할까요  피부에 생긴 염증을 줄이려면 스테로이드나 소염제를 사용하는 것이 좋을까요  또한 탈모에 좋다고 알려진 프로페시아 및 미녹시딜이 저에게 도움이 될까요  앞으로 식단은 어떻게 짜야 하며  제가 주의해야 할 점이 있다면 알려주십시오  감사합니다  답변은 읽어보고 바로 채택하겠습니다 ,류마티스내과
류마티스관절염,그냥 이유없이 한번씩 쇄골쪽이랑 다리 촛대뼈가 아픈데 겉은 멀쩡해욮근데 제가 몇년전에 자가면역질환인   반증을 앓앗다가 완치햇는데 류마티스 관절염은 아니겠죠 ,류마티스내과
자가면역질환 두드러기 ,ANA가 양성인데 가끔가다가 피부가 간지러워서 보면 모기 물린 것 같은 두드러기 모양의 발진이 딱 한개가 나있어요  시간이 지나면 간지러움은  분정도 있다 사라지고 모기 물린 것 같은 발진은 들어가면서 그 주변이 넓게 붉어지다가  시간정도 지나면 흔적도 없이 사라져요  왜이러는건가요  루푸스 발진이 이런식으로 단시간에 생겼다 사라지기도 하나요  아니면 면역력이 떨어져있을때 단순히 항체만 보유하고 있다고 해서 이런 두드러기가 생겼다 사라졌다 하기도 하나요  조직검사를 하고 싶어도 너무 단시간에 사라져서 해볼수도 없어요  ,류마티스내과
통풍질문,내과에서 한달전 피검사로 요산수치  정도 나왔습니다  그당시 위궤양도 진단받았습니다  그리고 평소에 가끔씩 발가락나 무릎이나 저리기도하고 혈액순환 안되는 느낌 들긴했습니다  그래서  주후   시간오줌검사랑 그냥오줌검사도 추간소 했습니다  근데 검사결과는   다고 하는데   살밖에 안되서 통풍인지 아닌지도 헷갈립니다  한달뒤 다시 피검사를 해보자해서 일단 알겠다고 했습니다 현재 오메가  혈액순환을 위해    위궤양약 복용중,류마티스내과
통풍이라는데 언제부터 걸어도 될까요 ,화요일에 화이자 백신맞고 목요일에 왼쪽 발이 너무 아파서 병원갔더니 통풍이랍니다    약먹는중인데 언제쯤부터 편하게 걸어다녀도 될까요  평일에 걸어서 퇴근해서     분 정도 빠른 걸음으로 걷는데 한동안은 그냥 버스타야할까요 ,류마티스내과
류마티스 약복용이 궁금합니다 ,류마티스 진단 받았어요  현재 뇌경색  B형간염 보균자입니다  병원급에 따라 처방 할 수 있는 약 범위가 다르다는 얘기를 들어서요  약복용이 조심스러운데 류마티스 관련하여 대학병원과 의원이 약이 다른가요  어디를 가야할지 걱정입니다 ,류마티스내과
류마티스 검사 받아보는게 좋을까요   내공    ,안녕하세오   살 여자입니다  최근에 무릎이 양쪽 다 아파서 병원에 갔는데 슬개건염이랑 연골연화증이라고 여러 병원에서 진단을 받았습니다  무릎 주변이 찌릿찌릿한게 힘줄에 염증이 생긴것 같고 무릎이 시린게 연골연화증이 맞는것 같았는데요 약 먹으면서 스트레칭과 운동 휴식을 취했더니 슬개건염은 거의 낫고 있고  시린 증상은 아직도 있지만 이제 일상생활에 큰 지장은 없는 정도입니다  통증은  월 중순부터 시작됐는데 동네 정형외과에서 받던 체외충격파 치료를 그만두고 쉬었더니 낫고 있는 것 같습니다   그런데 오른쪽 발목도 좀 시큰하고 팔꿈치와 손목도 좀 아파서요  폼롤러로 다리 풀어주고 스트레칭할 때 많이 써서 그런것 같기도 한데 이렇게 여러 관절이 아프면 류마티스 관절염일 수 있다고 들어서요   근데 가장 큰 초기증상인 조조강직 증상은 전혀 없습니다  아침에 손이 좀 붓지만 그건 원래부터 좀 그랬습니다  조조강직같은 초기 증상이 없으면 류마티스 관절염이 아니라고 봐도 되는건가요   피검사로 보는 것들은 초기 환자들 대부분이 증상으로 나온다고 해서 제 상태를 봐주셨으면 좋겠습니다,류마티스내과
류마티스 진찰 어렵나요,나이들어 류마티스 획진 받은 사람은 어릴때 확연히 다른 증세가 기억나네요  잦은 감기 구내염 이하선염 습진 두드러기,류마티스내과
사후피임약 먹은후 혈액검사 해도 무관한가요 ,이틀전에 사후피임약을 먹고 오늘 류마티스 관련 혈액검사를 받았는데 혹시 사후피임약때문에 결과가 달라질 수 있나요  ,류마티스내과
손 발 저림이 좀있습니다 류마티스로 인한 손발저림통증 인데   현재 코로나  백신    일로 예약이 잡혀있습니다 음  부작용으로 저림증상도 있던,손 발 저림이 좀있습니다 류마티스로 인한 손발저림통증 인데   현재 코로나  백신    일로 예약이 잡혀있습니다 음  부작용으로 저림증상도 있던데 혹 좀더 늦추는것이 나을까요  손발저림이 좀 심해서 걱정스럽네요   ,류마티스내과
