title,content,department
B형간염 질문이요 내공 마니뿜뿜,안녕하세요  제가b형항체가없어서요  잘모르고 항체 검사만받고 예방접종을  회했는데  제가b보균자인지 알려면 항원검사를받아야한다더라구요  그래서 예방접종하고  틀뒤에 항원검사를다시받앗는데요  예방접종을 먼저해서 항원검사에는 지장을주지않나요 ,소화기내과
B형간염 바이러스농도 좀 봐주세요 내공    ,B형간염 바이러스농도가     iu lm E항체 양성  E항원 음성  비활성화상태면 정상인과 어느정도 차이일까요   b형간염은 없어지지않는건가요 궁금합니다  ,소화기내과
변비 증상,제가 변비인것 같았는데 변기에 앉아서 배변을 하면 설사가 나오는데 무슨 병이 있는건가요 ,소화기내과
위산분비억제제를 복용하면 만성위염 식도염이 완치될까요 ,전   대초 남성이고  몇달전에 대학병원에서 위내시경 검사를 받았습니다   만성위염   식도염   위내벽에 여러군데 약간씩 출혈  대신 모두 가벼운 증상이라고 합니다   평소 목에 가래 자주 끼는데 이렇게 된지 대략  년이상 된듯합니다  폐에서 나오는 가래가 아닌 위산일거라고 얘기하더군요   그러면서 위산분비억제제   를 복용 해보라고 권유하더군요   그런데 위산분비억제제를 몇주 또는 몇달간 복용하면 완치   가 될까요   물론 과식하지 않고  식후 바로 눕지않는 등의 생활습관은 지키구요   아니면 복용하고 일정기간 동안만의 일시적인 효과일까요  사람마다 다를까요 ,소화기내과
궤양성 대장염,궤양성 대장염에서 나타나는 특징적인 증상은 무엇인가요 ,소화기내과
몇주째 설사를 해요  ,제가  주 동안 변 볼 때 설사만 하고 있거든요   원래 만성변비라 변을 잘 못 봤는데 요즘에는 변 볼 때마다 설사를 해서 너무 힘들어요 코로나 의심증상이라고는 하는데 설사하는 거 이외에 다른 증상은 일절 없구요 계속 키트 진단 결과는 음성이라고 떠요 혹시 어느 병원에 찾아가봐야 할까요    ,소화기내과
설사문의 드립니다 ,작년    월쯔음 부터 설사가 잦아지기 시작하더니 변자체가 설사 등 여러가지 형태로 나오더라구요  그래서 그냥 장염이여서 좋아지겠지 싶어서 방치하다가 작년에 각종 검사를 받았지만 그냥 장염소견만 받았습니다   내시경이나 피 변검사 등등  작년에는 복부쪽에 미세한 복통도 없었는데 이번년 들어서 부터 가끔씩 배가 아주 쪼금 아픈듯 말듯 하게 아프네요  의원이나 다른병원 가서 대학병원가는 진단서 받아서 갈려구 하는데 바로 써주나요   변자체는 로테이션 처럼 정상변  가는변  설사 등등 여러가지 형태로 나오는 데요   혈변은 단 한번도 본적이 없습니다 ,소화기내과
산정특례는 대학은병원만 줄수있나요 ,일반 병원 의원은 못주나요   산특 받고싶은데 혹시 일반병원 받고 산특은 못받게 되는지해서요,소화기내과
밥먹은 후에 트름이 많이 나오구   가슴 명치가 누르면 아파요  안누르면 답답한거같습니다 그리고 목이 목감기 같이 부운건 아닌데 먼가 부은거 같,밥먹은 후에 트름이 많이 나오구   가슴 명치가 누르면 아파요  안누르면 답답한거같습니다  그리고 목이 목감기 같이 부운건 아닌데 먼가 부은거 같구요   몇일전에 그래서 위내시경 받았는데 깨끗하다 라고 하더라구요    이거 어떻게 해야할까요   도와주세요 ,소화기내과
억지로 밥 먹기,위염이 있어서 속이 쓰리고 공복 상태면 속도 더 쓰리고 이상한 소리도 크게 나는데 제가 학생이라서 수업시간에 소리나는게 좀 많이 쪽팔려요 그래서 막 억지로 밥 많이 먹는데 이번에 커피 조금 먹었더니 헛구역질하고 난리네용  위염에 억지로라도 밥 먹는게 좋겠죠   ,소화기내과
