0,1,2
심장이 세게 뛰어요,제가 조금전 침대에서 일어났는데 심장이 세게 뛰더니 심장박동이 몸으로 느껴졌습니다  심박수는 빠르지는 않았고 통증도 딱히 없었습니다  지금 좀 불안한데 괜찮을까요 ,순환기내과
중  부정맥,이제곧 중 인데 부정맥인것 같아서 지식인 올립니다 평속맥박은   정도 이고요 부정맥이오면 약간 빨리뛰는것 같은게 그래도    을 안넘어요 괜찮은건가요  그리고 잠잘때 약간 맥이 건너뛰어서 깨는것 같아요 그리고 불안할때고 심장이 뛰는데 공황장애인가요 ,순환기내과
기립성 저혈압 질문,기립성 저혈압 증상에 두근거림만 있을 수 있나요  제가 누웠다 일어나면 두근거림이 심해져서요  ,순환기내과
머리로 가는 왼쪽 혈관 질문,안녕하세요    그저께부터 좌 뇌로 가는 혈관인지 근육인지 이상합니다  뭔가 불끈하면서 피가  배 정도는 흐르는 것 같이 꿀렁 꿀렁 느껴질 정도구요   위 증상이  분에    번씩   분 마다 있습니다    그러다 오늘은 순간적으로 찌릿할 정도로 왼쪽 머리가 띵 해지네요 마치 전기 온 것 처럼요      매해 건강검진 받고 있구요  올해  월달에 뇌 MRI 검사를 받았고  경동맥초음파 검사도 받았었는데 아무 이상이 없다고 했었거든요     뇌에 문제가 있거나 혈관에 문제가 있는걸까요    아픈건 없습니다   ,순환기내과
트리글리세리드 수치 질문 드립니다 ,최근 건강 검진 완료했습니다  고지혈증 관련해서 Triglyceride 트리글리세이드  수치가      이 나왔는데 너무 높게 나온거 같아서 문의 드립니다  줄이는 방법좀 부탁드립니다 ,순환기내과
혈압약과 비타민k,어머니   세 이상 가 고혈압약  고지혈증약  콜레스테롤약 먹으면 음식 외에 영양제로 비타민k 먹으면 안되나요  비타민k가 혈액응고시킨다는데    비타민d와 함께 사드리려는데 약효를 떨어트리거나 하나요  심장판막도 있으세요   ,순환기내과
혈액검사 수치 분석 부탁드립니다 ,토탈 콜레스트롤이    이 나왔구요 HDL      LDL      이렇게 수치가 나왔는데 도움 부탁드려요   나이는   세 남자    센티   킬로입니다  술은 거의 안하는 편이구요 흡연은 하루에    개피 핍니다  최근   월 일에 얀센접종하였고 접종전에는 유산소 운동을 계속 해오다가 접종후에는 최근까지 운동은 중단한 상태에서 밤에 인스턴트 식품을 자주 먹었습니다  피자  라면  치킨  과장  초코렛 등등   최근 심박수가 갑자기 빨라짐이 느껴져서 대학병원에서 부정맥 검사결과 특이사항은 없었구요  다만 혈액검사상에서 다른건 괜찮은데 콜레스트롤이 저렇게 나온 부분에 대해서 얘길 해주셨는데 이해가 좀 안가서 문의드려요 직장내 건강검진시에도 콜레스트롤 수치는 높게나왔지만 주의 정도로만 나왔는데 저정도 수치가 어떤정도인지 궁금합니다 ,순환기내과
간장질환에대해 여쭤볼것이있습니다 ,사진처럼 AST    ALT     감마GTP     이렇게나왔는데 현재  세이고   세때 군병원에서 지방간 판정을 받은적있습니다 지방간일경우 위 개의수치가 올라가나요   몸무게가 많이나가서 현재 한방병원에서 다이어트환을 복용중에있습니다  한달반정도복용중 ,순환기내과
건강식품 문제,안녕하세요  저는   여년간 고혈압으로 아스피린 계열의 약을 먹고있는   대 중반의 남자 임니다  요즘들어 건강 기능 식품들이 많이 나와서 저도 몇가지를 먹고 있음니다  다름 아니라 제가먹는 아스피린 계열의약이 이 식품들과 함께 먹어도 될런지 궁금 해서 여쭤 볼려 함니다  제가먹는 식품은 대마종자유  알  강황분말    차스푼  계피분말    차스푼  비트와 바나나 아침공복 를 갈아먹고요  보리새싹  티스푼 을 먹고 있음니다  이 식품들중에 제가 먹지 말아야할 그런게 있는지요  아니면 양을 조금 줄여서라도 계속 먹어도 되는 좀 알려 주세요 ,순환기내과
건강검진 결과에  간장질환의심 나왔어요 ,안녕하세요  건강검진 결과에  간장질환의심 이 나왔고  AST  ALT 수치가 많이 높게 나왔습니다   술은 한달에    정도 몇잔 먹지도 않았는데  수치가 아래와 같이 나왔는데  바로 병원을 가야할지  운동을 한두달 정도 주기적으로 하고 가도 괜찮을지 궁금합니다  수치가 많이 높은걸까요     AST     ALT       감마       정상  성별은 남자입니다 ,순환기내과
간 기능 검사 질문입니다,AST    ALT    감마지티피        세 남성 음주 주 회  병 정도  저 정도 수치는 건강한거에 속하는지요    그냥 정상 비정상 말고 수치가 건강한 정도로 낮은건지가 궁금합니다,순환기내과
