title,content,department
대장 직장 용종제거 질문, 월  일  월요일 입원하여 내시경하던중 대장과 직장쪽에 용종제거를 했습니다 대장쪽은 잘되었고 직장쪽 용종은 출혈이 쉽게 멈추지 않았다고 하셨어요 그날 한번 물설사 했을때 피가 살짝 비춰서 말씀드렸더니 지혈제 주사를 놔주셨어요 화 수 목  변 봤을때 괜찮다가  오늘 사진과 같이 묻어 나오더라구요 근데 제가 치질이 있어서 변기물에뚝뚝 피가 흥건하게 떨어질때가 많았는데  그때는 기름진 음식 과음 했을경우  저렇게 점액 과 피가 살짝 나온거는 처음인데 저게 직장쪽에서 아직 아물지 않아서 그런건지 헷깔리고  저정도라서 그냥 지켜볼라고 하는데 만약에 저부위에 변같은 물질이 계속 자극주며 스며들면  큰 문제가 될수도 있나요  농양이 찬다던지    다른경우를 들면 대장쪽이나 이런곳에서 잘 지혈했다 하더라도 계속 되는 변 자극 으로 다시 벌어지거나 하면 복막염으로 이어 지기도 하는건가요    다음주 화요일날 조직검사결과 나오는날이라서 그때까지 그냥 지켜봐도 되는지 그때 말씀 드릴라고 하거든요 ,혈액종양내과
혈액검사를 받았는데,철분결핍성 빈혈이라고 검사지를 받아왔습니다 철분제를 처방받고 먹고있는데 결과지에 뭐라고 되어 있는지 알려주세요 그리고 뭐가 제일 심각하고 철분제 말고 다른 약이나 치료방법이 있는지 알려주세요   ,혈액종양내과
혈액도말검사랑 혈액검사 결과,해산물을 먹고 심하게 구토를 해서 응급실에 갔는데 백혈구 수치가  만 천인데 구토로 인해 높지만 일시적인 증가라고 하셨고 수치가 높은게 걱정이 되어서 며칠뒤 일반 내과에서 혈액 검사와 함께 혈액도말검사를 다시 받았고 하단 내용처럼 나왔는데요 혈소판은 위장염으로 인해 조금 높아진 상태지만 걱정하지 얺아도 된다고 하셨고 나머지는 모두 정상이라고 하셨습니다  그런데 혈액 도말 검사 결과는    일 더 걸린다고 하던데 저런 정상 수치와 관계없이 혈액 도말 검사 결과에 문제가 있을 수 있나요  걱정이 되어 질문드립니다,혈액종양내과
똥쌀때 피,피가 나오는데 치질같이 똥구멍에서 나오는게 아니고 생리하는거처럼 자궁에서 피가 나와요 한두번이아니고 변비가 있어서 똥을 자주 안누는데 설사할거같거나 배가 진짜 아플때만 피가나와요 똥싸고나서 아래에 불편한 느낌이 들면 피가나와있어요,혈액종양내과
머리가 어지러워요, 주전부터 자다가 갑자기 어지럼증을 느껴 깬 후로 지금까지 어지럼증을 느끼고 있습니다    대 이구요 빈혈이 좀 있대서 철분제 두어번 먹어봤는데도 여전히 그럽니다   지금은 빈혈이 어지러울 정도는 아니래요  오늘 신경외과에 가서 자세히 검사를 해봤는데 다 정상이래요  그런데도 약간 뇌 쪽에 문제가 있는건 아닌지 너무 걱정이 됩니다  어지러운게 약간 멀미 나듯이 울렁이는 느낌으로 어지러운데 대체 왜 이러는걸까요     큰병원도 가보고 싶은데 그럴 문제인지 어찌해야하는지 이제 감이 안잡힙니다   ,혈액종양내과
내과와 산부인과 피검사,내과에서 하는 일반 피검사랑 산부인과에서 하는 피검사 많이 다른가요 ,혈액종양내과
무기력증이 병인가요,아무것도 하기싫고 피곤하고 누워만 있고 싶은데 이것도 병인가요,혈액종양내과
간암증상인가요 ,병원에서 백혈구수치가 오르고  빈혈수치가 내려가고 혈소판이 오르고 간경화가 진행중이라고 했다고 합니다  이후 소화기 내과를 예약해줬다고 하는데  혹시 간암 증상인가요  ,혈액종양내과
고지혈증  치료목적으로 수혈이 가능한가요  모녀수혈,안녕하세요  요즘 헌혈량이 부족히 보관된 혈액이 부족하다는 뉴스를 보고 헌혈하려고 하는 사람입니다   그런데 어머니께서 고지혈증을 앓고 계세요   이게 혈관이 막힌건데 제 피로 수혈을 하면 조금 나아지실까 궁금해서요  그럼 효도도 하고 좋을것 같습니다   아님 그냥 헌혈 하려구요    어머니  저 모두 A형입니다    질문    고지혈증에 헌혈이 효과가 있나요    질문    모녀간의 헌혈이 고지혈증 치료목적으로 가능한가요   질문    가능하다면 어느 분야의 병원을 찾아서 문의하는게 좋을가요   질문    가족간의 수혈도 봉사활동시간  수혈횟수에 적용이 되나요 ,혈액종양내과
건강검진 결과 어떤지 봐주세요  ,안녕하세요   만   세 남성입니다    비만이고 비흡연  음주합니다   음주는  주에 한번하는편이지만 한번 마실때 과음하는 편입니다   고혈압 전단계 판정받았고 당뇨는 없습니다    혈색소도 정상보다     높은 편으로 나왔고 가장 눈에 띄는게 AST랑 ALT 수치가 너무 높은데 이게 작년 건강검진에서도 비슷한 수치였거든요  그때도 비만판정 받았고 간기능 정상은 아니였고 혈색소도     이였지만 지금은     로 줄어들었습니다    사실 비만은  년전에 판정받았고 그 전에는 간수치 등 모든게 다 정상 범위긴했습니다    많이 심각한 편인가요  ,혈액종양내과
