title,content,department
아밀라이제 수치,스무살 된 아들이 피검사에서 아밀라이제 수치가 정상 수치가 넘게 나옵니다     에서     사이구요 서너달 간격으로 여러번 검사했는데 변함이 없어요  특별한 증상은 없고 처음 몇차례 빌리루빈 수치도 높아서 여러가지   초음파  MRI  검사를 했는데 이상 소견이 없어 길버트 증후군 같다고 했습니다 최근 검사에서는 빌리루빈은 정상 이었습니다 리파아제 수치는 항상 정상 입니다 혹시 신장 기능에 문제가 있으면 효소 배출이 잘 안되서 수치가 높게 나올 수 있나요  감사합니다,신장내과
땀안나게하는  ,데오드란트를 써도 땀이나요,신장내과
신장 증상 질문 바로채택합니다 ,안녕하세요 당뇨를 앓고있는 남성입니다  다름이 아니라 신장이 만약에 안좋아지고 그랬다면 손발이 붓거나 혈압이 오르거나  열이난다거나 하는 증상이 나타나나요     그런거없으면 아직은 괜찮다봐도되나요    월검사시 사구체     크레아티닌      나왓습니다  빠른답변부탁드립니다 빠른채택합니다,신장내과
어지럽고 힘이없는 이유 바로채택합니다 ,안녕하세요 마른당뇨를 앓고있는 남성인데요  혈당관리는 잘되고 있고 혈압도 정상이거든요  그런데  일전부터 그저께까지 컨디션이 오락가락하다가 어지럽고 힘없고 그랫습니다  어제는 거의 멀쩡햇는데요  그런데 오늘도 뒷머리가 어지럽고 몸에 힘이없더라고요  특별한거라곤 평상시도 늦게자지만 어제 새볔 시에자고   시반에 일어난거랑 어제 칼로리섭취를 적게먹기도햇거든요 식도염도 앓고있구요   월에 피검사할때도 신장수치도 좋은편은 아니엇지만 정상범위엿고 사구체     크레아티닌     입니다  단백뇨  혈뇨도 없었는데  컨디션이 왜 안좋은걸까요    컨디션이 완전히 안풀린걸까요   평소 늦게자고 수면패턴이 일정하지않는 상태에서 헬스다닌게 아직 안풀린걸까요    보통 새볔   시에자는데 중간에 깰때도잇고   시까지 잘때도잇습니다   참고로 그저께 코로나자가키트는 음성나왔습니다  신장 문제는 아니겟죠    단기간에 나빠지거나 하진않겟죠    저녁에 집에잇으면 컨디션 괜찮다가 꼭 밖에잇을때 그렇더라고여     빠른답변부탁드립니다 바로채택합니다  간단한 답변도 괜찮습니다  ,신장내과
신장 아몬드,신장이 정상적인 사람도 아몬드 많이먹으면 신장이 망가지나요     제가 당뇨를 앓고있는데  월 당시 피검사로 사구체     크레아티닌이     이 나왔는데 단백뇨  혈뇨도 없습니다   단백질위주 식단인지 bun은 조금 높게나왔는데 의사가 신경안써도된다고 하셨습니다  마른당뇨다보니 단백질 위주 식단으로 하면서 헬스를 하고 있거든요  하루에 보통     g이 적정 아몬드 양인거로 아는데 저는    g넘게 막 먹는정도는 아니지만     g 먹는거같긴하거든요 하루에    번 나눠서 먹는편인데   문제가될까요          g짜리 아몬드를 보통  일걸쳐 먹고 가끔  일에 걸쳐 먹긴합니다  혈당  혈압 멀쩡하면 크게 걱정할 사항은 아닌걸까요   빠른답변부탁드립니다 바로채택합니다 ,신장내과
얼굴이 부을때 어떤검사를해야하나여 ,당뇨를   년 넘게 있으신데 요즘 얼굴이 부어서 신장에 이상이 생긴거같아 걱정하십니다  신장 검사를 할려면 어디병원에서 검사를 받아야하나여   종합검진센터에서 해야하나여 ,신장내과
토요일 pcr 검사 양성판정 받았는데 토요일 일요일 월요일 자가진단 키드 모두 음성 나왔고 현재까지 증상도 없습니다  코로나 잠복기에도 pcr만,토요일 pcr 검사 양성판정 받았는데  토요일 일요일 월요일 자가진단 키드 모두 음성 나왔고 현재까지 증상도 없습니다  코로나 잠복기에도 pcr만 양성이 나올수있나요   아니면 무증상 일까요  ,신장내과
제가 건강검진해서 결과통보서를 받았는데 위험음주 상태라고 저는 거이 술을 마시지 않거든요  작년에도  번 정도 소주 반병  맥주    잔 정도가,제가 건강검진해서 결과통보서를 받았는데 위험음주 상태라고 저는 거이 술을 마시지 않거든요  작년에도  번 정도 소주 반병  맥주    잔 정도가 다 이거든요 그런데 이 결과가 나온것면 술 한잔도 마시면 안된다는건가요  제가 수치가 저 정도 나왔는데 어느 정도 수준인가요,신장내과
역류성 식도염 소변,역류성식도영으로 내과서 약을 먹고있는데 물이나 뭐만 마시면 잠시후 소변으로 화장실이 가고프네요      원래 식도염이 잇으면 소변이 자주마렵나요  소변검사를 따로 해봐야  하는건가요     오늘아침에 일어나자마자 본 소변은 엄청 갈색인듯한 느낌이    물을 먹은뒤 소변들은 안그런데   ,신장내과
제가 건강검진해서 결과통보서를 받았는데 위험음주 상태라고 몇년째 나오고 있는데 저는 거이 술을 마시지 않거든요  작년에도  번 정도 소주 반병 ,제가 건강검진해서 결과통보서를 받았는데 위험음주 상태라고 몇년째 나오고 있는데 저는 거이 술을 마시지 않거든요  작년에도  번 정도 소주 반병  맥주    잔 정도가 다 이거든요 그런데 이 결과가 나온것면 술 한잔도 마시면 안된다는건가요  제가 수치가 저 정도 나왔는데,신장내과
