title,content,department
씬지로이드와 베타차단제를 같이 먹고 있는데 괜찮은건가요 ,갑상선암 수술로 현재 갑상선이 한개만 있는데 한개 남은 갑상선도 하시모토로 기능이 떨어지는 상태라고 해서 갑상선약 씬지로이드  을 복용한지 오래됐습니다  그러다가 한참 뒤 혈압이 높아져서 다른 병원에서 혈압약을 처방 받았는데 심박수가 높은편이라며 베타차단제를 처방해주셔서 먹고 있습니다  근데 갑상선약은 부족한 갑상선 호르몬을 채워주는 약이고 저하증에 쓰이는    제가 찾아보니 베타차단제는 갑상선 항진증일때 쓰기도 하는 약물이라고 하던데   두가지를 같이 써도 별 문제가 안되는걸까요  갑상선이 기능이 떨어져서 약을 못 끊고 계속 쓰는 상황이라 혹시나 해서 질문 해봅니다   월에 정기 검사 예약이 있어서 그때까지 있어볼까 하다가 혹시나 별로 좋지 못한 영향이 있을 수 있다면 그 전에 가서 검사 해보려구요 ,내분비대사내과
갑상선 검사지 봐주세요,갑상선 검사결과지 봐주세요 문제는없나요 ,내분비대사내과
프로락틴 수치가 높아요 ,제가 생리가 안나와서 산부인과에 갔는데 처음에는 다낭성 난소증후군 진단 받고 혈액검사랑 종양있는지 검사하고 다음주에 다시 진단 확실히 내려주겠다고 해서 그 다음주에 병원에 갔습니다  그 사이에 저는 생리를 했고요  그런데 다시 보니까 다낭성 난소증후군이 없어졌다고 하고 프로락틴 수치가   으로 좀 높다고 말씀해주시더라고요  내분비과 가라고 추천해주셔서 내분비내과에 갔는데 살 빼라고만 말씀해주셔서    제가    에   kg이거든요   참고로 임신  성관계 경험은 없습니다  그냥 살만 빼면 되는 건가요  아니면 약은 안 먹어도 되는 건가요 ,내분비대사내과
갑상선 암환자는 베타딘 인후스프레이 뿌리면 안되나요 ,엄마가   년전에 갑상선 암 수술을 받고 지금은 완치하셨는데 베타딘 인후스프레가 갑상선질환자는 사용금지라고 되있어서요 완치된 사람들도 사용하면 안되는건가요 ,내분비대사내과
당화혈색소 공복혈당 차이 질문드립니다,얼마전 혈액검사에서 당화혈색소는    로 정상판정이 나왔는데  오늘 아침에 공복혈당을 체크해봤는데 수치가    이 나오네요  어제 늦게 야식을 먹고 자기는 했는데 괜찮은지 걱정이 됩니다   전문가분들의 답변 부탁드립니다,내분비대사내과
갑상선검사 결과지 좀 봐주세요,갑상선검사결과지인데요 어떤걸 봐야하는지 현재 이상없는지 알고싶어요,내분비대사내과
갑상선 기능검사 TSH 수치만 낮은경우,한달전검사지  TSH 수치 정상보다 매우낮고 T 수치 정상보다 높음  한달후 오늘 Tsh 수치 여전히 낮고 그러나 T  T 정상   의사분은 T  T 정상이라 괜찮다고 하는데 TSH 수치 낮은거 괜찮을까요 ,내분비대사내과
뇌하수체 선종 진료비,서울아산병원에서 뇌하수체 선종 수술을 받고 후유증으로 호르몬저하가 생겼습니다  약으로 먹을 수 있는건  개월마다 내원해서 처방전 받았습니다  그리고  주에 한번 주사를 맞아야 해서 집 앞에 병원에 진료의뢰서를 드리고 산정특례 적용해서 저렴한 비용에 맞았습니다   하지만 제가 직장을 다녀야 해서 토요일만 시간이 되어서 주사를 맞았는데 A라는 병원이 쉬면 B라는 병원에 맞아야 합니다   A병원은 진료의뢰서를 처음에 냈기 때문에 할인된 비용에 맞을수 있지만 B라는 병원은 다시검사를 하자고 하였습니다  검사비가 조금 비쌉니다  다시 검사를 받고 맞긴 맞는데 다음에도 이럴걍우가 생기면 어떨데 해야 하나요 ,내분비대사내과
신지로이드 복용질문 드려요 , 년전 갑상선 유두암 반절제 수술후 기능저하증 때문에 신지로이드    mg주 회 복용중입니다 현재 반대쪽 갑상선에      cm 결절 추적관찰중  항상 같은시간에 먹다가 최근  개월동안 신경쓸일도 너무 많았고 극심한 스트레스에 시달려 일주일에    번은 안먹은날도 있었고 원래 아침 시에 먹었는데 최근에는 계속 아침 시반  시반   시 이쯤 먹었습니다 시간을 안지켜서 먹는날이 많아졌습니다   갑상선암 수술후 신지로이드 복용시간 안지켜지거나 몇번 안먹으면 어떻게 되나요  신지로이드 복용 저처럼하면 갑상선암이 재발되는 경우도 있나요 ,내분비대사내과
당뇨 질문드려요 ,다낭성난소증후군이 있고 한  개월 전에 공복혈당      당화혈색소    이 나왔고 공복혈당이 좀 높은 거 같아서  관리를 해서 식단  운동  간간히 정맥으로 혈당 쟀을 때 다 정상범위가 나왔고 한달 전에 정맥혈로 공복혈당     당화혈색소    이 나왔는데  제가 요번 일주일 간에 몇달 간 외부음식이나 배달음식  패스트푸드를 안 먹어서 일주일 동안 한  번 야식 배달음식  외부음식 등을 먹었는데 제가 다음주나 다다음주에 피 검사를 하는데 당뇨 판단을 받는 건 아니겠죠 ,내분비대사내과
