title,content,department
이거 항체가 있는 건가요   ,A형b형 간염 항체검사 mmr 수두,감염내과
대상포진 약 복용,저번주 이맘때쯤 대상포진에 걸려서 일주일동안 약 먹고 지금 딱지가 다 생긴 상태인데 혹시 일주일 더 약을 처방받아야할까요  아니면 나을 때까지 연고만 조금씩 더 바르면 될까요 ,감염내과
코로나 감염후 거품뇨가 나와요 어제 코로나 감염증상 발열 몸살 오한 이 있어서 오늘 확진 받았는데 어제부터 소변에 거품이 끼네요     일시적인,코로나 감염후 거품뇨가 나와요 어제 코로나 감염증상 발열 몸살 오한 이 있어서 오늘 확진 받았는데 어제부터 소변에 거품이 끼네요     일시적인걸까요,감염내과
대상포진인가요 ,일어나보니 왼쪽배에 이런게 생겼는데    몸 컨디션은 항상 안좋아서    대상포진인지 피부염인지 모르겠어요 ,감염내과
수두  대상포진 생백신 접종,수두  대상포진이랑 비슷한 건 줄 알고 급하게 맞은 거라 잘 알아보지 못하고 맞았어요  대상포진 예방접종으로 맞아버렸는데 알고 보니 다르더라구요     대상포진 맞은지 하루 지났는데 바로 다른 부위에 수두 예방 접종이 가능한가요 ,감염내과
코로나  바이러스에 둘째가  월초에 감염이 됐었고 일주일후에 격리해제했구요 나머지가족은 계속 음성이다가 요번주말에 다같이 확진판정을 받았는데요,코로나  바이러스에 둘째가  월초에 감염이 됐었고 일주일후에 격리해제했구요 나머지가족은 계속 음성이다가 요번주말에 다같이 확진판정을 받았는데요 그럼 먼저 확진됐던 둘째랑 이번에 확진받은 나머지 가족이랑 격리해야하나요  아니면 같이 생활해도 되나요    주만에 둘째가 저희로인해 재감염이 가능성이 있을까요  ,감염내과
C형 간염 검시 당일에 나오나요 ,결과가 당일에 나오나요 ,감염내과
성인  계속되는 미열,일주일넘게 계속 미열  몸살   감기증상이 있었어요   타이레놀 감기약 복용하고 감기증상은 많이 좋아졌는데 미열이랑 몸살이 안 떨어져요   참고로  번 신속항원 했고 다 음성 나왔습니다   타이레놀도 먹을때 잠시 괜찮아 지는 거 같고  시간 지나면 또 으슬으슬 삭신이 쑤시고 열도 살짝 나는 거 같은데      검색해보니 감염내과 가서 피 검사 받아보라는 블로그도 좀 보이고 해서요   달전에 종합검진 받고 아무이상 없었는데      감염내과는 일반내과랑 다른 곳이죠  대학병원 가야하나요 ,감염내과
파상풍 주사 부작용 질문,  일 금요일에 손을 좀 다쳐서  바늘 꼬매고 엉덩이랑 팔에 파상풍주사를  대씩  대 맞구요 항생제도 한대 맞앗습니다   근데 엉덩이에 맞은건 괜찮은데 팔에 맞은 파상풍 주사가  손대면 딱딱하게 몽오리처럼 꽤 크게 잇구요 그부위가 열이 나는거처럼 뜨겁고 그러네요 따로 통증이 잇거나 하진 않아요  혹시 잘못된걸까요 ,감염내과
코로나 백신은 무용지물인가요 ,화이자  차까지 맞았는데 오미크론에 대한 저항력이 전혀 없나요  체내에 바이러스가 들어오면 무조건 걸리나요   그렇다고 하면 정부가 진짜 개같은놈들네요 거의 반강제적으로 맞췄는데 중증화율 줄인다는 명목으로 무슨 자행을 한건지 여기 욕은 못쓰지만 화가 너무 나네요,감염내과
단순감기일까요   차감염일까요 ,아는 지인 가족 얘기입니다   월 일에 가족전체 코로나 감염 확진을 받았습니다   월  일에 아이가 열나고 기침하고 누런코에 목아프고 자가키트에 양성이 뜹니다  제가 보기에는  차감염 같은데 첫번째 감염이 장기간 키트에 양성으로 뜬다고 말을 하네요  이런경우 단순감기일까요   차감염일까요 ,감염내과
파상풍 패혈증 질문,축구하다가 친구랑 박았는데 그 친구 이빨에 볼이 긁혀서 생채기가 조금 났습니다  한   분 즈음 뒤에 경기 끝나고 보건실가서 알코올로 소독하고 위에 밴드도 붙였습니다   혹시 패혈증 혹은 파상풍으로 이어질 수 있나요   증상은 두통이 좀 심합니다  이건 어쩌면 피로누적인 상태로 격한 운동을 해서 있는 걸지도 모릅니다    파상풍 주사는 몇 년전에 맞았습니다,감염내과
