0,1,2
사람 많은곳에 가면 어지럽고 두 발이 땅으로 꺼지는 느낌,원래도 불안증이나 강박증도 있고  이석증 거쳐 메니에르 의심 된다는 소견으로 계속 지켜 보는중이에요  그런데 근래 사람 많은곳에 가면 정신이 하나도 없고  어지러운게 순간 순간 와요  아 여기서 조금만 더 가면 메니에르 증상이 오겠다 싶은 느낌이 확 들만큼이요   그리고 무엇보다 발이 땅 속으로 꺼지는 느낌이에요  꼭 바닥이 물컹물컹 한것처럼 발이 확 빠지는 느낌에 더 어지러운게 느껴지는  그러다 순간 너무 힘들어지는데  혹시 공황장애 의심 해봐야 할까요  단순히 메니에르 증상인지 아니면 공황장애를 메니에르로 의심하고 있는건가 싶어서요  그렇다면 정신과 상담후 약을 복용하면 더 나아질까 싶어서요  답변 부탁드립니다 ,신경과
척추 등뼈 변형  신경떨림 몸속떨림 ,안녕하세요  왼쪽부분 몸속떨림이 있어 한의원에 가서 진단을 받았는데 골반이 틀어져서 척추가 꼬여서 신경이 눌려서 몸속떨림 신경떨림 이 발생한다고 하네요  실제로 오르쪽 등뼈쪽에 왼쪽등뼈와 다른게 살짝 올라와 있어요  이 신경 누름이 풀리면 몸속떨림 증상이 발생 안한다고 하는데 실제로 이런 증상이 발생하는 사례가 있는지요  한의원 다니면서 몸속신경떨림이 이전 보다는 좋아지긴 했는데 좀처럼 빨리 낫질 않아 문의드립니다  이곳저곳 찾아보니깐 신경이 눌러지면 떨림증상이 있다고는 하는데 좀처럼 이런 증상이 있는 글들은 거의 없어서 문의드립니다  치료방법이나 조언 부탁드립니다 ,신경과
후두신경통이 어지럼증으로 올수 있나요 ,제가 코로나 걸리고 자가격리를 하는중 넷째날  부터 어지럽기 시작해서 거의 일주일 동안 계속 어지러워 이비인후과 검사해봤을때 귀에는 이상이 없다고 했고  신경외과를 갔더니 후두신경통이 어지럼증으로 나타난거 같다고 합니다 어지럼증도 통증의 일부라고 하시며 뒷목을 만지시더니 후두 신경과 근육이 유착되었다고 풀어주는 주사를 놔주겠다고 해서 머리쪽  뒷목에 주사를 맞았는데 투두둑 투두둑 거리는 느낌이 나더라구요 이게 유착되서 그런거라고 하는데 아무래도 어지럼증이랑은 관련이 없는거 같은데 의사분이 올바른 진단을 한걸까요  치과교정때문에 mri를 찍지 못했습니다,신경과
할머니가 파킨슨병을 앓고계신지  년이 조금 넘었는데요,혹시 이 병이 치매로 이어지기 쉬운 병인가요  찾아보니 조금은 다르지만 치매로 넘어가기 쉽다고들 하셨는데 사람마다 다른 건지 궁금합니다  지금은 약 드시고 계시고 증상은 손 떨림과 잠을 잘 못 주무십니다   치매로 넘어가기 쉽다면 어떻게 해드리면 좋을까요 ,신경과
코로나 이후 휴유증 두통과 치통,전의 증상부터 말씀드리자면 처음에 열과 오한  장꼬임이 있었고 나중에 가래가 끌고 편도가 부었었고 약때문인지 자다일어나면 두통이 있고 그것들이 거의 회복되었습니다   그리고 거의  일차부터 지금은 오른쪽 윗니 어금니와 그 안쪽의로 옆에 이빨한개까지 총 개의 치통이 있고요  치통은 충치 치료하는중에 그 신경건드렸을때의 통증처럼 시립니다  지금은 오른쪽 아랫니 어금니쪽부터 아랫니 중앙 이빨까지 욱신합니다  참고로 왼쪽 아랫입술에 흰 염증이 생겼었습니다  진통소염제를 먹어봤지만 통증에 도움이 안되는것 같더군요  치주염약을 먹으니 통증이 좀 가라앉았지만 살이 붉게 오돌토돌하게 일어났고 노란진물이 나오는 부분도 있더군요  이것도 입오른쪽과 밑 턱까지 크게 번져있습니다  찬물만 먹어도 시립니다  그러고보니 두통도 치통도 얼굴피부도 얼굴 우측만 이런현상이 일어나네요   두통은 정수리에서 오른쪽 앞쪽 대각선으로  cm정도 되는 부근에 찌릿한 통증이 있습니다  지끈지끈이 아니고 순간 찌릿이라는 표현을 해야할 것 같아요  어제 저녁은 정수리에서 오른쪽 밑   cm부근에도 통증이 있었습니다  치통 두통 둘다 거의  분   분 간격으로 오는 것 같아요    약국에서 치통이 두통으로 발전될 수도  두통이 치통으로 발전될 수도 있다고 들었다고 하네요  별개인지 연관있는지 모르겠습니다   질문  이것이 어떤 원인때문에 증상이 생긴 것일까요  통증때문에 쉽게 피로해집니다   설마 뇌 혈전은 아니겠죠  ,신경과
갑자기 말을 못할수가있어요 ,  년 넘게 멀쩡하던 사람이 갑자기 말을 못하는  벙어리       죄송하지만 다른 걸 모르겠어요    가되는 그런 경우도 있어요   뭐 어떤 일 때문인지는 모르겟는데 갑자기 말을 못한다고    안나온다고  다른 생활은 다 정상적인데  하루아침에 말을 못하는 경우가 생길수가있어요 ,신경과
뇌혈류장애 증상인가요 ,머리카락을 누가 잡아당기는듯이 아파요 처음엔 머리를 너무 꽉 묶어서 두피가 아픈건줄 알았는데 머릿속이 찌릿하고 아픕니다  사실 이런 증상이 나타난지는 꽤 됐는데 최근들어 빈도와 통증이 더 심해진것같아요   갑자기 어지러울때도 많아졌고요  또 최근 눈앞이 뿌얘진적도 많고요 뒷목  어깨 승모근도 아프고  어깨는 원래 안좋긴했어요  병원 가보는게 좋을까요   ,신경과
한번씩 멍하고 갑자기 시야가 좁아져요,  세 여성입니다    년 전 인가  몇년전에 한번씩 갑자기 앉아있던 길을가던 이유없이 아웃포커싱 된것처럼 시야가 좁아지는 듯한 느낌과 글을 보면  빛을 보고난후의 잔상같은게 따라다니는 듯 보이고    정신도 멍하고 간단한 단어조차 잘 안읽혀지고 이해가 안되는 증상이 드문드문 있었는데요     잠깐 그러고 돌아온경우도 있고    분이상 지속된적도 있습니다    당시에는 피검사나 눈 검사 받아봤는데  이상이없었고 어느순간부터 증상이 없어져서 그냥 지나쳤습니다   그런데 어제 갑자기 몇년만에 다시 비슷한 증세가 있어서 갑자기 너무 무섭네요     짧고 간단한 카톡 보내는것 조차 힘들더라구요     검색해도 이유가 뭔지도 모르겠고    정확한 병명이나 왜 그런지 아시는분 계신가요 ,신경과
알 수 없는 두통이 지속 돼요,제곧내 입니다 지난주 일요일 부터 거의 일주일 째 매일 두통에 시달리고 있어요    저는 수험생이고 잠은 하루에    시간 씩 자기 때문에 잠 때문에는 아닌 것 같고요   혹시 나머지 시간 모두를 공부에 쏟고 있어서 휴식이 필요해 그런가  모 끝나고    일은 쉰 것 같은데 계속 해서 두통이 있고 속이 미식거리고 어지러워요 목이 아프다던가  열이 난다던가의 다른 증상이 없는 걸로 보아 코로나는 아닌 것 같아요  약국에서 두통약을 사서 계속 먹는데도 효과가 없네요 혹시 큰 병에 걸린 걸까요     아니면 혹시 효과가 빠른 두통약을 추천해주시면 감사하겠습니다 내공     걸어요,신경과
머리가 아프고 어지럽고 귀에서 삐소리들려요 ,몇주전부터 머리가 아프고 어지럽고 귀에서 계속 삐소리가 들려요  머리 아픈 곳은 관자놀이 오른쪽 전체가 아프고 걷다가 어지러워서 멈춰야하고 핑도는 느낌 속이 울렁거리고 토 나올것같고 그럽니다  그리고 뇌가 쏠리는 느낌    일단 움직이면 쏠리는 느낌이 납니다  병원가보니 아마 메니에르병 또는 증후군일거라는 진단을 받았고 의사쌤께서 정확한 이유를 모르겠다고 하셨고 약을 처방해줄테니 먹고도 증상에 계속 지속되면은 대학병원가시라고 하셨습니다  그리고 제가 정신과약을 먹는데 최근에 약이 바뀌었는데 약이 바뀌기 전부터 머리가 아프고 어지럽고 귀에 삐소리는 들렸습니다  귀에 삐소리는 약 먹기 전부터 삐소리가 들렸는데 최근들어 삐소리가 크게 들립니다  제 증상으로 봤을 때 의심되는 병들을 알려주세요 ,신경과
