0,1,2
 주 전에 오미크론 걸렸다가 격리해제됐는데 재감염 가능성,저는  월 초에 코로나 오미크론에 감염되었다가  주전에 격리해제 되었습니다  어제 같이 밥 먹은 지인이 코로나 증상이 있는 거 같은데 저에게도 영향이 있을까요  저는 코로나가 걸리지 않더라도 제가 다른사람에게 바이러스를 옮길 수 있을까요  내일 약속이 있는데 취소해야 하는지 궁금합니다   광고성  성의 없는 답변은 무시합니다,이비인후과
오른쪽 턱밑 혹 물집 같은게 생겼고 물이나 침을 마시면 목에서 두둑 소리가 들려요,침을 삼키거나 물을 마실때 목에서 뚜둑 하는 소리가 며칠전부터 계속 납니다  그리고 오늘 오른쪽 턱 아래에 작은 혹  물집 같은게 있어서 걱정이 됩니다   아프진 않은데 불편한데 증상이 뭘까요  ,이비인후과
아기 곰팡이균제거하다 외이도염에 걸렸어요   ,소아과에서 아기 곰팡이균을 제거해주라해서 이비인후과에 방문했습니다 귀지랑 곰팡이균은 약넣어서 녹이고 제거했는데 다음날부터    아기귀에서 진물이 나오더라구요 외이도염이라네요    아기귀에 곰팡이균은 제거해 주는게 맞는거죠 선생님  괜히제가하다 외이도염이와서 더 고생중인데 아기 귀지랑 곰팡이균은 생길때마다 꼭 제거해줘야할까요 ,이비인후과
오미크론 감염 목젓 상태좀 봐주세요   사진 주의 ,감염  일차인데 두통 하체근육경직 몸살끼   눈아픔은 다 가셨는데 코막힘과  침삼킬때마다 죽을거같이 아파서 후레시키고 목젓 상태를 보니까 목젓에 울긋불긋한 알맹이 뻘건모양이 엄청 많아요   병원에서 처방해준 약  일치 다 먹었는데    또 병원에 연락해야 할까요  이비인후과,이비인후과
비중격만곡증 수술  일차  잠자면서 코를 자꾸 만져요,수술한 지는  일이 지났고 내부 솜은 거의 제거한 상태입니다  코 안에는 플라스틱 만 있는 상태인데  자면서 불편한지 자꾸코 속을 손으로 긁어내거나 코를 만집니다  이런 행동이 크게 문제가 될까요  ,이비인후과
설암인가요 ,작년에 오뎅꼬치 막대기로 혀에 찔려 살짝 패인곳이 뒷 돌기들이 부딪혀서 올라온건지  가운데 하얀 돌기들이 있어서 아주 살짝 부은것 같기도하구요  설암인가요  ,이비인후과
코 안에서 피,몇일째 코 안에서 피가 흐르진않고 그냥 코풀거나  가래 뱉거나 면봉  휴지 돌돌말아서 보면 묻어나는정도로 나는데 안멈추는거같아서 어제 이비인후과를 갔었거든요 가서 기계로 코 안에 보니까 그 둥글게 생긴곳이 빨갛게 되있고 거기서 피가 났다고 하시더라고요 건조해서 그런거같아서 물어보니까 맞다고 하시고 지져준다고 뭐 해주셨는데 오늘 바로 다시 피가 나요   약은 따로 안받고 또 피나면 오라고 하셨는데 또 가야할까요   아니면 다른 방법 있나요      비염은 아니라던데    ,이비인후과
코로나 목구멍 편도,코로나 걸린지  일째 된 날부터  일째인 오늘까지 목구멍 주변이 점점 빨개지고 붓기 시작했습니다 뭘 삼킬 때 진짜 눈물 날 정도로 아파요 코로나 다른 증상들은 진짜 많이 괜찮아졌는데 갑자기 목구멍이 이러네요   왜    이런 거죠   다른 병이라도 걸린 걸까요    ,이비인후과
동거가족 중 확진자 발생 대처법,안녕하세요    오늘 저희 엄마가 자가키트에서 양성이 떠서 방금 신속항원검사를 받으러 가셨는데요  만약 신속항원검사에서도 양성이 뜬다면 PCR 따로 받지 않아도 양성인정이 되나요    그리고 비대면진료  를 통해서 약 등을 배송받을 수 있다고 들었는데     일 소요된다고 하더라구요  보호자가 약국에 직접 방문하면 바로 수령이 가능한가요   또 저희 엄마가   세이신데  진료키트  이런거 지원받는 방법이 없나 궁금합니다  예전에는 모든 확진자에게 지급됐는데 요즘은 또 아니라고 들어서요  ,이비인후과
비염 수술  비중격만곡증 수술,비염 수술  비중격만곡증 수술  비염과 비중격만곡증 수술 후  주 후 실리콘 제거후 생리식염수 코에 넣어도 되나요   상처 덜 아물어 진물  콧물이 나오긴 하는데  상처가 아무는 것에 장애가 될까요 ,이비인후과
비염 수술  비중격만곡증 수술,비염 수술  비중격만곡증 수술  비염과 비중격만곡증 수술 후  주 후 실리콘 제거후 생리식염수 코에 넣어도 되나요   상처 덜 아물어 진물  콧물이 나오긴 하는데  상처가 아무는 것에 장애가 될까요 ,이비인후과
비염 수술  비중격만곡증 수술,비염 수술  비중격만곡증 수술  비염과 비중격만곡증 수술 후  주 후 실리콘 제거후 생리식염수 코에 넣어도 되나요   상처 덜 아물어 진물  콧물이 나오긴 하는데  상처가 아무는 것에 장애가 될까요 ,이비인후과
비염 수술  비중격만곡증 수술,비염 수술  비중격만곡증 수술  비염과 비중격만곡증 수술 후  주 후 실리콘 제거후 생리식염수 코에 넣어도 되나요   상처 덜 아물어 진물  콧물이 나오긴 하는데  상처가 아무는 것에 장애가 될까요 ,이비인후과
비염과 비중격만곡증 수술 후  주 후 실리콘 제거후 생리식염수 코에 넣어도 되나요 ,상처 아무는 것에 장애가 될까요 ,이비인후과
