title,content,department
외후두융기 왼쪽에 하나만 있는데 정상인가요,외후두융기가 왼쪽에만 있는거 같은데 기형은 아니죠 ,외과
위탁학교 질문이요 ,제가 고 인데요 취업을 바로 하고싶어서 위탁학교 알아보고있는데 기숙사있는 위탁학교 장단점좀 알려주세요 ,외과
엄지발톱 아픔,갑자기 엄지발톱이 너무 아파요 내성발톱 없고 부딪친적도 없어요 그냥 냅두면 될까요,외과
머리 작게 보이는 법,제가 머리가 코서 고민입니다 제 머리가 정수리에서 턱까지   cm이고 이마 둘레는 휴지  칸 정도 있니다 저도 대두인걸 아는데 이 머리 큰 것 때문에 놀림도 뚱뚱해 보이고 원래 조금 살 있는 편  그래요   그래서 조금이나마 작게 보이는 방법은 없을까요,외과
눈썹칼에 손,눈썹칼때문에 손가락에 피가 나게 되었는데 아물긴 아물었는데 조금 벌려진 상태로 아물어서요 저렇게 틈이 생겼더라구요 안 붙어질까요  ,외과
티눈인가요,통증은 없는데 혹시 티눈 인가요   티눈이라면 병원에 가지 않고 제거하는 방법은 없을까요   ,외과
봉합한 부위 관리,실밥 제거 후 일주일 지났는데 드레싱 제거하고 일반 밴드 붙여도 되나요 ,외과
선생님 안녕하세요 답변 부탁드려요     ,선생님 저희 엄마가 갑자기 어깨가 몇개월동안 아프셔서 Mri를 찍어보셨는데 화면상 보이는 하얀 부분들이 다 염증이라고 설명하시면서 힘줄이 끊어진 사람들보다 염증 정도는 더하다고 그러셨대요  과격한 신체활동 전혀 없으셨고 백신 맞고 한달 반 정도 뒤부터 아픈거라 백신때문에 염증이 생긴거일수도 있다면서 일단 주사를 맞으신 상태고 최대한 어깨를 쓰지말라고 하시면서  개월에서  년 정도는 통증이 갈 수 있다고 하셨대요  선생님 mri상 염증과 어깨에 생긴 암으로 인한 병변은 구별이 가능한것이죠     보니까 염증과 암이 mri상에서 하얗게 나오는거는 비슷한 것 같아서요    ,외과
선생님 안녕하세요   답변 꼭 부탁드려요   ,선생님 저희 엄마가 갑자기 어깨가 몇개월동안 아프셔서 Mri를 찍어보셨는데 화면상 보이는 하얀 부분들이 다 염증이라고 설명하시면서 힘줄이 끊어진 사람들보다 염증 정도는 더하다고 그러셨대요  과격한 신체활동 전혀 없으셨고 백신 맞고 한달 반 정도 뒤부터 아픈거라 백신때문에 염증이 생긴거일수도 있다면서 일단 주사를 맞으신 상태고 최대한 어깨를 쓰지말라고 하시면서  개월에서  년 정도는 통증이 갈 수 있다고 하셨대요  선생님 mri상 염증과 어깨에 생긴 암으로 인한 병변은 구별이 가능한것이죠     보니까 염증과 암이 mri상에서 하얗게 나오는거는 비슷한 것 같아서요    ,외과
선생님 안녕하세요 답변꼭 부탁드리겠습니다   ,선생님 저희 엄마가 갑자기 어깨가 몇개월동안 아프셔서 Mri를 찍어보셨는데 화면상 보이는 하얀 부분들이 다 염증이라고 설명하시면서 힘줄이 끊어진 사람들보다 염증 정도는 더하다고 그러셨대요  과격한 신체활동 전혀 없으셨고 백신 맞고 한달 반 정도 뒤부터 아픈거라 백신때문에 염증이 생긴거일수도 있다면서 일단 주사를 맞으신 상태고 최대한 어깨를 쓰지말라고 하시면서  개월에서  년 정도는 통증이 갈 수 있다고 하셨대요  선생님 mri상 염증과 어깨에 생긴 암으로 인한 병변은 구별이 가능한것이죠     보니까 염증과 암이 mri상에서 하얗게 나오는거는 비슷한 것 같아서요    ,외과
