title,content,department
대장이 쿡쿡쑤시듯 아픈 느낌은 원인이 뭔가요,진짜 엄청나게 가끔식인데  엉덩이에서 가까운 대장이 딱딱한 응가에 찔리듯이 움찔하고 아플 때가 있는데 자세를 바꾸면 바로 통증이 사라져요 이건 원인이 뭔가요  물리적인 통증같은데 ,대장  항문 외과
우측하복부통증 질문 드립니다,어제 자기전에 우측하복부 통증이 좀 있었는데요 오늘 깨어난 직후 불쾌한 느낌이 있던거 같은데 일어난 직후 통증이나 불쾌감은 전혀 없구요 배를 눌러봐도 통증은 없고 아침밥 먹으면서 배에서 꾸우욱 꾸욱 거리는 가스 움직이는  소리만 들렸어요  최근에 변비도 심했고 먹는 음식 때문인지 장 상태도 안좋은거 같은데요 배에서 꾸우욱 소리 자주들림  탈장도 있는 상태인데 변비때문에 복부에 힘을 자주 줬더니 최근에 안 좋아진거 같고     저같은 경우는 현재 통증이 없고 다른 증상이 없으면 병원을 안 가봐도 되겠죠  어제 변을 보다가 힘을 많이 줬더니 탈장 부분에 통증이 일시적으로 있었는데 혹시 그것과 연관이 있는건지 우측하복부통증은 맹장염같은것도 있길래    제가 강박증 때문에 건강염려증이 있어서 질문 드립니다,대장  항문 외과
치질수술후 일경과 그런데 피가 쏟아짐,자정에 배변감이 있어 변기에 앉았더니 피가 쏟아졌습니다 이후로도 따뜻한 피가 멈추지 않고 계속 쏟아져서 급히 병원을 찾았는데요 이와 같은 현상은 왜 생기고  또 재발하나요 ,대장  항문 외과
제가 모닝똥을 자주도 아니고 매일 싸는데 혹시,제가 모닝똥을 자주도 아니고 매일 싸는데   아침에 싸는 똥이 좋다고 들었긴 했는데 언제까지가 모닝똥인가요   제가 출근이 늦을까봐   일어난 즉시 집에서 싸는게 아닌 출근 후 화장실에서 똥을 싸는데요   아침 새벽  시  분쯤 기상해서 출근하면 정각  시가 되는데요  일어난 후  시간반정도에 텀을 두고 똥을 싸는데   이것도 모닝똥인가요   아니면 일어난 즉시 싸는게 모닝똥인가요   ,대장  항문 외과
항문주위농양제거 수술후 따가움,약  주전 항문주위농양 제거 수술을 받았습니다 수술전 진료에서 치루길은 발견되지않았으니 농양제거 수술만 받으면 된다고 해서 수술뒤  주간 꾸준한 좌욕과 관리로 회복이 잘되어  주뒤인 그저께 병원에서   프로 이상 나았으니 내원을 하지 않아도 된다는 판정을 받았는데 내원 다음날인 어제부터 일상생활중에 묘하게 따갑고 거슬립니다   특히 변의가 왔을때 따갑고 변보기 시작한 이후엔 오히려 따갑지 않습니다   진물이나 피도 안나와서 거즈를 빼고 있는 상태고 좌욕도 꾸준히 하며 거울로 봐도 뭐 하나 부어있다거나 난거 없이 깨끗합니다 치유중이라 따가운걸까요  간지러운 증상은 없습니다  ,대장  항문 외과
치루수술  주차 사진,정확히  주째입니다  근  주정도 쉬지도 못하고 외출만 해서 매우 피곤해 있었는데 이틀전 설사를 하였습니다  원래 수술부위도 거의 다 좋아졌고 거즈에도 소량만 묻어나오고 있었는데 설사 후 변을 닦는데 출혈이 좀 있었고 좌욕을 하는데도 통증이 있어서 아직 상처 치유가 진행중인건지 아니면 무슨 문제가 있는건지 생각되서 여쭤봅니다 ,대장  항문 외과
치루수술해야할까요,농양수술후  달이 지났고  그 과정에 약간의 붓고 통증이있었습니다   어제 대도시 항문외과 방문해서 직장수지검사를 하시더니  복잡치루이고  수술해야한다고 하셨습니다   블로그 많이 찾아봤더니 다들 증상중에 뾰루지같은게 나오고나서 치루확정받던데   저는 지금 통증 거의 없고   뾰루지도 없는데    치루수술하는게 맞을까요     뾰루지는 왜 안나는걸까요  ,대장  항문 외과
치루 재발,치루수술을 올해  월인가  월에 했는데 지금 재발을 한거 같은데 원래 텀이 이렇게 짧나요,대장  항문 외과
항문 바로 옆에 뾰루지 ,  대 중반 남자입니다 술 담배는 아예 안하구요    평상시나 변을 볼때도 아픈건 없구요  직접적으로 만지면 따가운 정도입니다  그냥 뾰루지같은건지 치핵인지 너무 걱정되고 헷갈려서 여쭤봅니다  ,대장  항문 외과
치질 수술 후 치열,치질 수술 한지  년 경과된 사람입니다  수술 하고나서도 계속 치열이 있었는데  현재까지도 치열이 있습니다  요새 치열 통증이 심해져서 변을 보고나면 너무 아픈데  회사에서 변을 보면 좌욕을 할 수도 없고 너무 괴롭습니다  아침 저녁으로 좌욕  손가락 마사지를 해주고 있는데  이렇게 하면 진짜 나을 수 있나요 너무 아파요  ,대장  항문 외과
