0,1,2
족저근막염 달리기  ,안녕하세요 중  학생입니다   제가 족저근막염이 있고 체중도 좀 나가는 편인데 달리기가 너무 뛰고싶은 거에요   방법이 없을까요  발 안 아프면서 족저근막염 악화되지 않으면서 달릴 수 있는 법이요 ,정형외과
왼쪽 갈비뼈 쪽이 아파요  ,제가 한 중  때 후반에 처음 아팠는데 병원 가보니까 엑스레이 같은거를 찍어도 모르시다고 하시더라고요   근데 또 괜찮아져서 잘 지내다가 거의 한 두달위에 아프다가 또 안 아팠다가 이번에 갑자기 또 아파졌거든요     왼쪽 갈비뼈 아래 가 계속 아픈데 뭔지 모르겠어요   저는   살입니다,정형외과
발바닥 뒤꿈치 부분이 아파요,발바닥 뒤꿈치 부분이 아프고 빨갛게 부어올랐어요    왜그런걸까요   ,정형외과
발목 인대 파열 도와주세요  ,안녕하세요   월  일에 축구를 하다가 발목이 돌아갔고  월  일에 병원을 갔더니 의사 선생님께서 인대가 끊어진 것 같다고 했습니다  그때 당시에는 너무 아팠네요   일단 잘 고정을 하고 일주일 뒤에 다시 경과를 보기로 했는데 제가 병원에서 걸린지는 몰라도 갑자기 코로나 확진이 되서 병원을 가지 못하는 상황이 됐습니다    지금은 발목 통증은 사라졌는데 붓기가 빠지지 않고 갑자기 멍이 올라와서 병원을 가지 못하는 상황에 이렇게 지식인으로 질문드려봅니다   복숭아 뼈가 잘 안보일 정도네요  ,정형외과
병원에서 발목인대 완전파열 되었다고 결과가 나왔습니다 ,      주간 지켜보자고 하는데 완전파열 인데 수술 안받아도 되나요      운동을 좋아하고 체력시험도 봐야해서    m달리기 같은걸 다시 할수있을까요      회복기간은 어느정도 될까요        일차인데 붓기는 거의없고 통증도 없는데 파열되도 붓기랑 고통이 별로없나요   발목 다친 즉시 얼음찜질하고 다음날 병원에서 발목에 주사까지 맞아서 붓기와 고통이 없는건가요 ,정형외과
척추 뚜둑 거리는 뼈 소리 내도 괜찮은지 질문입니다 ,장시간 앉아있거나 자기전에 누웠을때 허리를 곧추펴면서 뚜둑 할 수 있는 느낌이 들면 뚜둑 소리를 내는 편입니다   그런데 제가 만약 척추가 휘어있거나 잘못된 방향으로 계속 뚜둑거리게 되었을때 척추가 디스크로 상한다거나 문제가 생길까봐 걱정이 됩니다  아무래도 바른자세를 유지한다는건 쉽지않으니까    디스크로 인한 통증은 없지만 바른자세라고 자랑스럽게 말할 수 있는것도 아니고 저는 주로 다리를 잘 꼬거나 거북목  굽은등이 있기는합니다   최근 들어 자세에 신경을 쓰고는 하는데 척추뼈 뚜둑 거리는 것을 그만해야할지 아니면 오히려 굳은채로 잘못되어있는 뼈가 제대로 펴지는 것인지 궁금합니다 ,정형외과
의자에 왼쪽 엉덩이만 닿는거 같아요,현재 재수 시작하고 있는 학생입니다 고 때는 못느꼈는데 몇개월 쉬고 다시 책상에 앉으니 왼쪽 엉덩이에만 무게가 쏠린다는걸 느꼈습니다 왼쪽 엉덩이뼈만 의자에 닿는거 같은 느낌이 강하게 들어서 공부할 때 불편해 죽겠습니다   왜 이런 증상이 나타나는지랑 어떻게하면 좋을지 조언 부탁 드립니다    추가로 오른쪽 엉덩이만 방석을 덧대는 방법도 괜찮을지 여쭤보고 싶네요   ,정형외과
허리디스크 내시경 시술 후 통증   병원에서 시술 전 안내를 했을 때  시술 후    일 입원하고 퇴원하실 것이다  라고 했습니다  허나  시술,허리디스크 내시경 시술 후 통증   병원에서 시술 전 안내를 했을 때  시술 후    일 입원하고 퇴원하실 것이다  라고 했습니다  허나  시술 후에 이전보다 통증이 더 심해졌고  입원도 벌써  일째입니다  수술은 잘 되었다고 하는데  진짜 이 말을 믿어도 되는지   ,정형외과
허리 펴고 앉으면 통증이 있습니다,  대 후반 남성입니다  평상시 허리 통증은 없지만 앉은 자세가 불량합니다  보통 허리를 굽히고 목을 앞으로 내밀고 앉아 있습니다  아직은 별 문제가 없지만 자세 교정을 위해 허리를 신전시키고 앉으려고 해봤는데요  평소처럼 앞으로 굽히지 않고 뒤로 신전시켜서 앉으니까 허리 부근에서 위아래로 누르는 느낌이라고 해야되나 하여튼 통증이 있네요  그냥 무시하고 오래 앉아있을 순 있는 정도입니다  그래도 혹시 제 자세가 잘못됐나 싶어서 질문드립니다  아래 사진에서 왼쪽이 평소 자세인데 오른쪽처럼 자세를 바꾸니까 오히려 통증이 있는 상태입니다 ,정형외과
발목인대 콜라겐 주사,발목다친지는 작년  월달로 지금  개월이 지났는데요 인대파열이라  개월은 지켜보자해서  개월 후 MRI 찍고 확인해보니 여태 낫지를 않아서 병원에서 콜라겐주사 권유받아 두번 주사를 맞았는데 주사가 맞고 나서 아플거라고해서 맞고나서는 엄청 아프고는 괜찮아져서 현재는 일상생활하면서 지켜보는중인데 주사맞기 전과  차 주사 맞은 후 보다 지금 똑같이 일생생활을 해도 갈수록 발목이 점점 아파오는데 이게 낫는 과정일까요   염증을 만들어서 인대를 강화하는 주사라고 맞은 다음날은 아플거라곤 하셨는데 그 이후에도 전보다 더 아파오는 이유는 뭘까요   낫는 중인거 맞겠죠   ,정형외과
