0,1,2
발바닥에 난거 뭘까요,일주일정도 전에 갑자기 한 번에 이렇게 났는데 눌렀을 때 물집  잡힌것같은 통증이긴 한데 물집같진 않아서요  ,신경외과
특별한 이유없이 걸을때 다리 근육통 허벅지앞쪽 전체  종아리 이 너무 심합니닼,보행시 이유없는 허벅지 종아리 근육통 허벅지 앞쪽 종아리 이 너무 심합니다  가만히 앉아있거나 누워있으면 다시 없어지는데 다시 쫌 걷기 시작하면 급격히 허벅지 앞쪽과 종아리에 근육통이 생겨서 보행조차 어려울 정도네요   직업이 헬스트레이너라 왠만한 근육통은 적응을 하는데도 불구하고 걷는거조차 힘들정도로 통증이 심하네요   저림증상이 아니라 근육통입니다  누르면 전형적인 근육통 통증으로 아프네요   수요일 오후부터 그랬었는데  다음날 자고 일어나니 괜찮아서 출근하려다 다시 통증이 너무 심해져서 출근도 못했네요   출근 포기하고 바로 정형외과 갔더니 신경과로 다시 가라고 해서 신경과 진료를 받았습니다  허리 X ray촬영후 큰 문제를 모르겠다고 해서 다시 허리 C T까지 촬영했는데 약간의 디스크 증상이 있지만 문제는 안된다고 하시네요   그래서 물리치료  회랑 약 진통제 근육이완제등 다른 것도  알 있네요   주일치 처방 받았는데 별로 효과가 없는거 같네요   지금도 집에서 생활하는데는 큰 지장이 없다가 밖에서  분정도만 빠르게 걸으면 갑자기 근육통이 올라옵니다   너무 고통스러워서 보행이 힘들정도구요   그러다 집에 들어와서 한시간정도 쉬면 또 근육통이 사라지는게 반복되네요   목요일부터 계속 그러네요    큰 충격이나 다친거라도 있으면 모르겠는데 아무이유없이 이러니 정말 답답하네요   조언 부탁드립니다 ,신경외과
온몸에서 뼈소리 루게릭,숨을 들이 마쉴때도 뼈소리가 나고 어깨돌려도 뼈소리가 나요 루게릭은 아니겠죠 근육떨림도있는데  일전부터시작됬네요 병원에서는 다발성 신경병증이 의심된다고 했구요,신경외과
손목이 이상해요  ,손목에 없던 파란 핏줄이 튀어나와있고 멍든것처럼 아파요    뭐죠   ,신경외과
목이 아픈데 아픈이유를 모르겠습니다  ,작년 월달부터 지금까지 목이 일상생활에 지장이 갈정도로 통증이 계속되는데 아픈이유를 모르겠어요   개인병원 곳 대학병원 곳 한의원 안가본곳이 없고 도수치료도     회에 추나요법 진짜  개월간 병원만 수도없이 가봤지만 mri검사상 하나같이 멀쩡하다고만 하니 진짜 미칠꺼 같습니다 일상생활도 불가능하고 돈만계속해서 빠지니 심적으로도 너무 힘듭니다 뼈랑 신경쪽은 멀쩡하다는데 아픈 이유가 뭘까요   ,신경외과
앉아있다가 허리 갑자기 통증오고 다시 사라짐이 반복돼요,공부하다가 갑자기 허리에 충격오는  찌릿하는  느낌이 들고 바로 다시 사라지고 좀만 더 앉아있으면 통증이 다시 오고 그러는데 왜그럴까요    그리고 등 뻐근함이 계속돼요,신경외과
위경련,  대입니다  특히 잠자고 일어나자마자 극심한 통증이 있어요  속너무쓰리고 당장이라도 음식을 쳐넣어야 될거같아요   몇년전에 같은증상이 처음 보여서 위내시경 했는데 깨끗하다고 의사가 스트레스성이라 해서 그런가보다 했는데  요즘에는 몇년전 아픈거보다 더 심하게 아파요   하루는 응급실 불러야될까 생각될정도로 일어나자마자 위가 너무아파서 식은땀 엄청 흘리면서 화장실에서 속에 남은 변 다 봤어요   어떻게해야할까요 너무 심하고 아파요  속쓰려서 일어나자마자 먹을거 음식 쑤셔넣는정도에요,신경외과
외측상과염 으로  년간 주사 및 체외,외측상과염 으로  년간 스테로이드 및 인데강화  회 주사 및 체외충격 물리치료 다해보고 좋아지다가도 더심해지고 이렇게 반복하다  년 정도 됬습니다 어느날 잠을 자는대 팔이 접었다 펼때 통증도심해지고 팔이 제팔이 아닌거같은 느낌이들어 mri찍어보니 파열됬다해서  년 치료해봐도 않되니 수술 하자해서 할려구 날 잡았는데 스테로이드 주사를 맞으니 통증이 많이 사라지고 좋아진거같은데 수술을 해야 되는건지 처음에도 스테로이드 맞고 한달정도는 통증없이 좋아젔지만 한달후에 통증이 다시 시작되더군요 그후 인대강화해주는 주사 회 이것도 한달정도,신경외과
발목뒤꿈치뼈금이가서깁스후 주지난후부기가안빠저요지도해주세요,발목뒤꿈치뼈가금이가서 김스하고김스제거후 부기가안빠저요 지도해주세요,신경외과
발을접질린 후로 잘때 극심한 통증이생겨요,발등부분을 접질렸는데 이상하게 평상시에는 고통이 없는데 잘때 잠이 들고 한시간 후부터 송곳으로 찌르는듯한 통증이 생겨서 계속 잠에서 깹니다 정형외과에서는 단순 염좌라는데 이런식의 통증은 처음이라   왜그런걸까요,신경외과
근육 아픔,피곤하거나 스트레스받는날 온몸근육이 아파요 막 아파서 죽겠는정도는 아닌데 손으로 살을 스치기만해도 근육이 아프고 심하면 걸을때도 허벅지부분이 아파요 몸을 움직이면 걍 아파요 근데 운동하고 알베겨서 근육통있는 그느낌은 아니고 머랄까   근육이 결대로 찢어지는느낌  배를 만지면 배 근육이 아프고 팔을 만지면 팔 근육이 아파요 심한날은 얼굴까지그랬던거같은데 보통은 목까지만 그래요 한번 아프면 삼사일은 가는거같아요 이건 멀까요 왜아픈거죠 넘자주이래요,신경외과
견갑골통증 어느과에가야하나요 ,작년여름부터 왼쪽갑골이 담걸린것처럼 통증이 있었어요 역류성식도염이 있어서 내과에서 위내시경복부초음파후 담낭염진단을받아 복부ct촬영하고  월에 담낭제거수술 받았습니다 담낭염이 원인일수있다해서 수술후 지켜보고있는데 점점 통증은 지속적으로 있었고 한의원도가보고 정형외과도가보고 최근엔통증의학과가서 주사 번맞았구요 목엑스레이도 찍었지만 일자목이라는 진단과 근육이완제 약 주일먹었습니다 문제는 나아지질않고 왼쪽 등에서 시작된 통증이 이젠 윗몸통전체의 통증으로 번졌습니다   갈비뼈며 왼쪽쿡쿡 찌르는 증상에 팔저림까지 도대체 뭐가문제인지모르겠어요   어느과를가봐야하는걸까요 ,신경외과
기립성 편두통  일어설 때마다 오른쪽 머리가 아픕니다,평소에 앉아있거나 누워있다가 빠르게든 천천히든 일어나면 가끔씩 편두통이 느껴집니다 다른 사람들은 보면 머리가 띵하거나 눈앞이 캄캄해진다면서 기립성 저혈압을 호소하는데 저는 편두통만 느껴져서 이게 증상이 약간 다른 것 같은데 전혀 뭔지 감을 못잡겠네요   특히 딴 곳도 아니고 항상 오른쪽 머리만 아픕니다      요런 경우에는 무슨 증상으로 의심할 수 있을까요   그리고 무슨 병원으로 가야할까요  ,신경외과
엄마가   세시고 며칠 어지럼증이 있으셔서 어제 뇌 mri mra 중풍검사 까지 받으셨는데 의사선생님이 결과보시고 큰 이상은 없고 동맥류가 살짝,엄마가   세시고 며칠 어지럼증이 있으셔서 어제 뇌 mri mra 중풍검사 까지 받으셨는데 의사선생님이 결과보시고 큰 이상은 없고 동맥류가 살짝 보이고 뇌혈관이 조금 넓고 종양 물혹같은게 보이지만 양성인것 같아서 크게 걱정은 안해도된다는데 사진상 어떤결과인지알고싶어서요,신경외과
한번씩 몸 미세한 근육떨림 튕김,뭘까요 한  년된거같은데 일상 생활에 큰 지장은 없구요 다리랑 팔 엉덩이 좌우 안가리고 한번씩 몸 미세하게 근육튕김이 있네    초정도요   허리디스크 때문에 다리 쪽 근전도 신경전도 했었을 때는 결과에 큰 이상 없었습니다  ,신경외과
갑자기 두통에 울렁거림,목요일부터 갑자기 누워있다가도 두통이 심하게오면서 울렁거림까지 같이오는건 뭔가요   단음식 들어가거나 대중교통 버스 지하철  심해져요 갑자기 멀미가 생기거나 그럴수도 있나요  아니면 피임약 부작용이 없다가 생길수도 있나요,신경외과
