0,1,2
점상출혈  자반증 질문,  월   일부터 갑자기 발등과 발목에 점상출혈이 생겼습니다  그러다 며칠 지나니 무릎 뒤쪽 접히는 쪽에 생겼습니다   며칠전엔 잠깐 옅어지는 듯 하더니 갑자기 어제 굉장히 심해졌어요  너무 걱정이 됩니다  현재 강직성척추염 자가면역 의증으로  면역억제제  소염진통제  위보호제  판막잘뛰게 도와주는 약을  달째 먹고있어요  일시적으로도 점상출혈이 생겼을수있다는데 뭐때문일지 너무 걱정입니다  자가면역질환으로서 자반증이나 혈관염이 왔을까봐요      자가면역질환의증으로 약 복용중 낙소졸정  조피린장용정  엔테론정  아미스정     온도차이  뜨거운 물로 많이 씼어서       면역억제제때문에 면역교란으로 일시적    화이자 맞은지  달되고 생김  어떤 것이 영향을 주었을 확률이 높나요   일시적으로 생긴걸수도있나요  지금  일째 지속중인데 더 기다려봐야할까요    진짜 자반증 너무 무섭습니다   홍보글을 거절하겠습니다,류마티스내과
유소릭정   mg 과다복용,제가 통풍때문에 페북소스타트   mg을 매일 섭취하는데  혼동해서  시간만에 약을 하나 더먹어서 하루만에    mg을 섭취했는데 문제가생길까요   ,류마티스내과
강직척추염 산정특례 재연장때뮨에 질문드립니다 ,  년도  월에 강직척추염 판정을 받고 산정특례 신청을 하여 적용받고 있습니다    년  월에 만료가 되어서 재연장을 하려고 하는대 현재 이직한상태라 지역 대학병원 정향외과에서 진료를 받았습니다  피검사 CT등을 통해서 강직성척추염 이라고 하는대 재연장 등록이 불가능하다고 합니다  류마티스쪽으로 진료보라고 어설프게  얘기하던대  원래 안되는게 맞나요  과는 같은데   병원은 틀린상태입니다  초기에 좀 심해서 약물치료와 운동해서 증세가 많이 호전되어 몇년동안 병원 안갔습니다   재연장때문에 진료본건대   이상하네요 공단고객센터에서는 말그대로 다른진료과에서 진료보거나 아니면 이전병원을 방문하여 연장신청 하라고 합니다   거리도 좀 먼거리라서   어떻게 해야하나요 ,류마티스내과
저는 강직성 척추염 grade 단계 환자입니다  현재상태는 발목 손목에 통증이 있긴 하지만 운동은 다 할 수 있습니다 강직성 척추염에 좋은 운동,저는 강직성 척추염 grade 단계 환자입니다  현재상태는 발목 손목에 통증이 있긴 하지만 운동은 다 할 수 있습니다 강직성 척추염에 좋은 운동이 뭐가 있을까요 ,류마티스내과
아버지가 석회성건염 비수술치료를 받으신거같은데,수술하고  일뒤에  통증이 완화되실거에요    라고 했는데  일째 극심한 통증이 재발하신거같아서요 희명병원에서 수술받으셨다는데 워낙에 어깨부분을 많이쓰는 직업이라 방법이 더 있을가요 ,류마티스내과
통풍 초기 증상,일요일                아침 기상과 동시에 걸을때 갑작스러운 발목 안쪽 통증을 받았고   도보시 딛을때 지속적인 통증이 생깁니다  그리고 사진의 빨간색부분 발 내측의 살짝 단단한  뼈  부분  살짝 톡 튀어나와있는 부분 을  눌렀을때 통증이 있습니다  현재 화요일 오후   시                정형외과 방문하여    지속적으로 복용하는 약 없고  지병없고  무리한운동한거 없고  맥주 안마셨음에도 불구하고    일요일부터 급작스러운 통증이 지속되고 있다  라고 말씀드렸고    X ray 상 아무 이상 없으며  이런 경우 급작스러운 통증은 통풍일 수 있으니  채혈 후 혈액검사하고 결과는 차주에 확인토록    이라는 진단을 받았습니다    너무 걱정되어 이렇게 질문남깁니다  유튜브나 이런데 찾아봐도    대부분의 통풍 초기증상은   붓고  열감있고  새벽에 극심한 통증을 유발  한다고 되어있는데     붓기도 없고  열감도 없고 정형외과 과장님께서 계속만지시다가 있나없나 갸우뚱 하시더라구요   새벽이라고 극심한 통증이 있는것도아니고     그냥 딛고  접촉할때만 통증이 있어요   흠   통풍의 초기증상일까요    다음주 화요일까지 결과 기다려야하는데    심적으로 급 너무 고통스럽네요  ,류마티스내과
통풍 통증에 진통제 뭘 먹어야할까요 ,급작스럽게 오늘 아침부터 발에 통증이 오더니 점점 붓고 아파지네요  약간 저려오는것 같기도 하고요   당장 아파서 병원도 못가겠습니다   일단 진통 소염제 라도 먹으면 도움이 될까하는데   임시로 지금 먹을 약 알려주시면 감사하겠습니다   집에 아스피린     과 타이레놀     이 있네요 ,류마티스내과
류마티스 통풍 질문드립니다 ,류마티스 통풍 질문드립니다   발바닥작은통증 발등열감 손바닥통증으로 인해 류마티스내과를 찾아갔습니다  하지만 발을 보고 만저보시고 통증을 확인해보시고 만져도 아프지않고 눈으로 보기에도  붉어지거나 부은증상이 없으니 요산이 높더라도 통풍이 아니다라고 말씀하시더라고요 통풍 또는 류마티스염은 아니고 혈액검사시 염증수치나 요산수치가 높아도 직접적인 통풍이나 류마티스 증상이 아니므로 혈액검사도 필요없다고 하시더라고요  요산이   이 넘어도 증상이 통풍증상이 아니므로 의미없고 염증수치가 나와도 류마티스염이 아니고 위치도 아니고 증상도 아예 아니여서 혈액검사조차 필요없다고 하시고 진료를 맞췄습니다   같은병원 다른과에서 혈액검사한 내용은 아마 보셨을꺼같은데  저는 충분히 인정은 됐으나 조금에 의문에 다른선생님에 답변도 궁금합니다  혈액결과표 봐주시고 다른선생님들도 같은내용으로 그렇다고 생각드시는지 알려주세요,류마티스내과
곧 수면내시경을 해야 되는데,병원에서 아스피린을 먹지 말라고 하는데요 펙소스타  mg정 페북소스타트  통풍약 하노마린    간약 바르디핀정      mg 혈압약 이렇게 먹고 있는데 이 중 아스피린이 들어가 있는게 있나요 ,류마티스내과
건강검진결과 류마티스관절염,수치상 어느정도 심각한건가요 ,류마티스내과
