,15,16,17
0,턱 멍울 질문드려요 사진있음,지금 사진상 손으로 누르고 있는 곳에 멍울이 만져지는데요  현재까지 편도염 치료 받고 거의 다 나았는데 이틀전에 턱쪽 통증이 살짝 있어서 만져보게 되다가 알게 되었어요  지금은 통증은 좀 가라앉았고 만졌을때만 살짝 불편해요  볼거리인가요  아니면 이하선염일까요  왜 그런건가요  진료를 보게되면 어느 병원으로 내원해야할까요 ,마취통증의학과
1,어느 병원에 가야할까요  ,증상이 있는데 어느 병원에 가야할지 몰라서 도움 요청 드립니다   양쪽 엄지발가락에 찌르듯 날카로운 통증은 아니고 뻐근 한 통증이 있어서 발가락을 보다보니 발톱이 덮고 있는 안쪽 피부색이 일부분 변해 있었습니다   평소 운동화를 주로 신고  부딪힌적도 없으며  건드리지 않아도 통증이 느껴집니다  주물렀을때 통증이 완화되거나 시원한 느낌이 아니고 통증의 강도가 좀더 심해집니다  계속 생각해서 그런지 간간히 종아리부터 살짝 저린것도 같고         언제부터 시작된지는 모르겠지만 제가 발톱 피부색이 변한걸 알게된건   일 정도 됐습니다      화살표 부분을 경계로 색이 변했는데 색이 사진보다 진하게 보일때도 있고 약하게 보이기도 합니다  어느 병원을 가봐야 할까요 ,마취통증의학과
2,대상포진인가요 ,이게 뭘까요 ,마취통증의학과
3,손가락쪽에 볼록하게 튀어나왔는데요 아픕니다,주먹주고 움직이는데는 이상없습니다 근데 저부분에 언젠가부터 아파서봤더니 볼록하게 튀어나와있고 눌러보니 조금딱딱합니다 병원가봐야할까요,마취통증의학과
4, 차 맞고   일 됐는데,머리가 밤만되면 띵해요 손도 저려요,마취통증의학과
5,병원을 가봐야 할거 같은데 부위가  ,여기가 정확히 어딘가요  엉덩이 부분 중앙 만져지는 뼈쪽있잖아요 그 뼈 아래부분이 아픈데   부딪히거나 엉덩방아 찐 적도 없구요 꼬리뼈인가요  아니면 다른 부위 인가요,마취통증의학과
6,갑자기 손가락 한 손가락 혹은 두손가락  마디 사이가 아플 때가 있습니다   초 정도 통증 있고  통증은 살 속에 있는 관절   을 누르는 느낌,갑자기 손가락 한 손가락 혹은 두손가락  마디 사이가 아플 때가 있습니다   초 정도 통증 있고  통증은 살 속에 있는 관절   을 누르는 느낌이에요  오른손 검지 중지에 통증이 느껴지고  이런지는 몇년이 지났습니다  딱히 걱정은 안하는데 혹시 병일까봐 질문 남깁니다 ,마취통증의학과
7,유두 유방 통증,이틀전에 유두가 닿기만해도 아픈거에요 제가 생리할때 가끔 유두가 아프거든요 근데 아직 생리할때가 안됐는데    오늘은 유두 근처가 누르면아프네요 양쪽다 통증있구요 유두 위쪽은 누르면 안아픈데 아래쪽 옆쪽 누르면 멍든데 누른거같이 아파요 생리를 빨리하려나요  오늘이  일째 통증인데 통증계속되면 언제쯤 병원가야할까요  아프다해서 병원가면 별일아니라 염증같은거면 민망하거든요 꾀병부린거같고,마취통증의학과
8,발목을 접질러서 복숭아뼈 근처에 있는 인대가 파열됐다고 해서 인대재생주사도 맞고 있는데 복숭아뼈 위쪽이 좀 당기듯이 아프고  발 뒤꿈치에 통증이,발목을 접질러서 복숭아뼈 근처에 있는 인대가 파열됐다고 해서 인대재생주사도 맞고 있는데 복숭아뼈 위쪽이 좀 당기듯이 아프고  발 뒤꿈치에 통증이 있습니다  누를때는 괜찮고 걸을 때만요  이러한 통증과 증상도 인대파열 된 부분으로 인해 오는 통증인가요 ,마취통증의학과
9,정강이 누를시 통증,예전에 축구를 좀 무리하게 하다가 정강이뼈 안쪽에 통증이 심해져서 병원을갔더니 엑스레이상 이상 없고 쉬면 괜찮아 질거라고 했는데    개월 이상 푹셔도 다시 축구 하다가보면 다시아프고 최근에는 거의 반년정도 쉰거 같은데도 정강이 안쪽 누르면 통증이 남아있네요 추가로 정강이 안쪽 앞쪽 따라서 만져보면 약간 오돌토돌하게 튀어나와 느껴지는 부분들이 있고 여기도 역시 누르면 통증이 있습니다  뭐가 문제인걸까요 ,마취통증의학과
