title,content,department
발목인대봉합술 mbo  후  개월 지났는데 수술부위 및 뒷꿈치 통증이 있습니다,우측 발목에 있어 발목불안정증  거골경사각   도가 측정되고 몇개월동안 보존적 치료를 하였지만 전진이 없어   월 인대봉합술을 진행하였고  개월 반 정도 발목 보호대 착용하였고 물리치료를 받았습니다  현재는  개월 조금 넘은 상태이고 병원 내원이 힘들어 물리치료를 받고 있지 않고 있습니다  가볍게 걸을때는 이질감이 있는 정도인데 걷는 시간이 길어지거나 체중을 부하한 상태로 짧은 시간 걷기  방향전환에 있어 수술부위 부근과 뒷꿈치쪽으로 찌릿한 통증이 옵니다   평소대로 스트레칭 냉찜질 정도만 유지하면 되는것인지 궁금합니다  ,마취통증의학과
목디스크 진단 MRI밖에 없나요 ,목디스크 진단을 받고 싶은데 꼭 MRI를 찍어야만 알 수 있어요  아니 아닐 수도 있는데 비싼 돈을 내고 목디스크 진단을 받아야 한다는게    좀 그래요  사실 저는 증상이 애매하거든요  검사는 제가 다이고 있는 병원 원장님이 하자고 하셨고요  목디스크 진단 받을 수 있는 다른 방법 없을까요 ,마취통증의학과
일자목 디스크도 있는듯  ,제가 일자목인데 처음에는 뻣뻣하고 약간 아팠거든요  근데 지금은 증상이 심해진걸 보니 디스크도 생긴거 같아요  그럼 디스크치료를 먼저 해야 하나요  아님 일자목 교정을 해야 하나요  아님 일자목랑 디스크 같이 치료할 수 있어요 ,마취통증의학과
발목 불안정증 한 발로 서기 힘들어,발목 불안정증이 있어요  병원에서 진단을 받았고 운동치료를 받아보자고 했는데 너무 비싸서 한두번 받고 말았아요  그리고 발목 불안정증 운동 집에서 해도 좋다길래요  근데 최근에 제가 요가를 시작했는데 발목 불안정증때문인지 한 발로 서는 동작이 어려운데 이거 운동하면 저절로 좋아질까요 ,마취통증의학과
발가락이 아파요 신발에 눌리면서,발가락이 아파요   제 생각엔 신발에 눌리면서 생긴 통증인거 같은데    이거 병원에 가서 치료받으면 좀 나아질까요  아니   큰 맘 먹고 산 신발인데 이거만 신으면 발가락이 아파요    아픈데 신발은 포기하기 싫거든요  그리고 이거 신고 아프면 한동안 다른 신발을 신어도 발가락이 아파요  이 신발이 저한테 안 맞는 건가요 ,마취통증의학과
손목 부러짐 TFCC도 같이,손목 부러짐으로 질문드려요  손으로 바닥을 짚으면서 부러졌고 손목 부러짐은 엑스레이 찍어서 확인을 했어요  근데 어제 MRI를 찍어서 TFCC도 있다는 걸 알았는데 담당쌤이 손목 부러짐으로 TFCC가 생기는 일도 있대요  아무튼 이거를 수술해야 한다고 하는데 저는 문제가 두 개라 수술이 잘 끝날지 걱정이 됩니다   어려운 수술이 될까요 ,마취통증의학과
팔꿈치 엘보 통증 염증인가요 ,팔꿈치 엘보 통증이 있는데 이거 염증이 생겨서 그런걸가요  집안일만 해서 다른 원인은 모르겠고 청소하고 빨래하면서 많이 사용해서 팔꿈치 엘보 통증이 생긴 거 같은데 찾아보니깐 염증생겼을 때 증상이랑 지금 제 팔꿈치 엘보 통증이랑 비슷해요  동네에 자주가는 정형외과가 있는게 거기 가도 되죠 ,마취통증의학과
팔꿈치 관절 통증 익숙하지 않음,팔꿈치 관절 통증이 있는데 익숙한 통증이 아니라 어떻게 해야할지   할일 좀 끝내고 오후에 병원에 가려고 하는데 팔꿈치 관절 통증 이유가 뭔지 궁금해서요     계속 아프니 신경이 쓰여 팔꿈치 관절 아픈 원인 찾고 있는데 넘  많아서 모르겠어요 ,마취통증의학과
무릎 물리치료 효과있긴 하나요 ,무릎 물리치료를 일주일에    번 받고 있는데 통증이 여전해요   엑스레이 찍고 진료봤는데 무릎 물리치료받고 약 먹어 봅시다  이랬는데 아무런 효과가 없으니 답답하고 뭔가 안에서 문제를 키우는 느낌  무릎 물리치료를 받을게 아니라 MRI라도 찍어봐야 하는거 아닌가요 ,마취통증의학과
연골손상치료 관절염에도 하나요 ,제가 관절염 초기인데요  연골손상치료를 하자고 합니다  이런저런 설명을 들었는데요  정말 연골손상치료를 하고 좋아질 수 있을지 의문입니다  병원에서는 연골손상치료를 하자고 하는데 그게 아니라 나중에 인공관절 수술을 하는게 맞지 않나요 ,마취통증의학과
전방십자인대 군인 동요 심해짐,전방십자인대 군인인데요  완전파열은 아니고 부분파열이라고 진단을 받아서 치료를 받고 군생활을 하고 있습니다  근데 전방십자인대 군인이기 때문에 충분히 낫지 않고 훈련을 받아서 그런지 상태가 더 나빠졌어요  통증이 있기도 하고 무릎이 흔들리는 동요 그게 심해졌는데요  전방십자인대 군인이라고 나름 배려를 해주는 것 같은데 계속 나빠지니 짜증나도 답답합니다  어떻게 해줘야 안 나빠질까요 ,마취통증의학과
학교에서 유연성 검사후 다리 통증,어제 체육시간에 앉아서 미는 유연성 검사를 했는데 너무 무리해서 했는지 다한뒤 뒷목이 진짜 아팠는데   오늘 아침에 일어나보니까 다리통증이 좀 심한것같아요   걸을때도 아프고  계단 오르거나  내려갈때 아픈것같아요     그리고 무릎굽히거나 아픈 부위를 누르면 통증이 와서 굽히기도 힘들어요   왜 이런걸까요      ,마취통증의학과
손가락 힘줄쪽 통증,제가  년전쯤에 검지손가락을 무리하게 꺽다가 손가락 마디에 통증이 있었는데 그게  년 지나니까 통증은 많이 사라졌는데 지금도 계속 살짝 거슬리는 통증이 있습니다 그리고 특히 밖에나가서 찬바람 맞을때 더 아프고 실내에 들어오면 통증이 많이 줄어듭니다 그리고 손가락 마디를 만지면 딱히 별로 통증이 많이 느껴지는 않는데 손가락 마디를 툭툭 치면 그 부위에 통증이 느껴집니다 그리고 딱히 손가락 움직임에 제한은 없음니다,마취통증의학과
새끼손가락 통증,갑자기 새끼손가락 마디쪽 이 겁나 아픈디 이걸 우째야쓰까요   지끈거린다 해야하나 누가 이빨로 깨무는가 같은 통증이에요 ,마취통증의학과
척추협착증 걸으면 다리 터질거같음,엄마 허리가 아프고       분 걸으면 다리가 다리가 터질것처럼 아프다고 하는데 척추협착증이 맞아요  허리를 숙이면 좀 좋아진다고 하니 디스크보단 척추협착증에 더 가까워 보이긴 하는데 맞을까요  참고로 저희 어머니 나이는   세 입니다 ,마취통증의학과
무지외반증 보조기 효과 없음 ,무지외반증인데 인터넷 광고보고 보조기 샀거든요  근데 열심히 사용하고 있는데 무슨 아무런 효과가 없어요  무지외반증 그대롭니다  좀 기대하고 착용하기 전에 무지외반증 사진을 찍어뒀거든요    진짜  도 효과 없어요  이럴 수 있나요 ,마취통증의학과
소건막류 수술할까요 ,소건막류가 있는데 가끔씩 구두를 신고 걸을 때면 너무 괴로워요 아파서   그래서 소건막류 수술을 하고 싶은데 제가 수술을 할 정도인지 잘 모르겠어요  보통 얼마나 아프고 얼마나 휘었을 때 소건막류 수술해요 ,마취통증의학과
발목 통증 특히 걸을 때가 제일,발목 통증이 있거든요  가만히 있어도 좀 아픈데 특히 걸을 때 제일 심하게 발목 통증이 생겨요  그래서 외출도 가능한 하지 않고 있고요  혹시 관절염일까 싶어서 발목 통증을 참고 있는데 진짜 관절염이면 어쩌죠 ,마취통증의학과
팔 엘보 증상 낫지 않음,팔 엘보 증상이 낫지 않아 괴로워요 병원에서는 제가 팔을 많이 움직여서 생긴거라고 하는데 팔 엘보 증상이 사실 납득이 가지 않고 어쨌든 아프니 치료를 했는데도 팔 엘보 증상이 낫지 않으니 답답해 미치겠어요 ,마취통증의학과
손목터널증후군 수술 후 재발도 하나요 ,손목터널증후군 수술 후에 재발하기도 하나요  아니 많이 재발하나요  엄마가 식당을 운영하시는데 매일같이 음식을 해 손목터널증후군 수술을 하는 상황까지 되어 지난달에 했습니다  근데 또 일을 시작하면 손목 많이 사용할텐데 손목터널증후군 수술 또 받아야 하면 어쩌죠 ,마취통증의학과
팔꿈치 바깥쪽 통증 염증 맞죠 ,팔꿈치 바깥쪽 통증이 있거든요  처음 겪어보는데 이게 테니스엘보  염증이 생긴 건 확실히 알겠더라고요  취미로 테니스를 쳐서 전부터 알고 있었고 어쩌면 나도 팔꿈치 바깥쪽 통증이 생길 수 있다는 생각을 하고 있었거든요   근데 지금 팔꿈치 바깥쪽 통증이 심해서 테니스를 못 칠 정도는 아닌데    세트 정도만 치면 괜찮지 않을까요 ,마취통증의학과
삼각섬유연골 넘어져서 파열,넘어지면서 손목을 다쳤는데 MRI 찍어보니 삼각섬유연골이 파열되서 수술해야 하는 상태라고 합니다  찾아보니 파열이 심하면 삼각섬유연골수술을 해야 한다고 봤는데 혹시 모르니 검사자료 갖고 다른 병원에 가면 삼각섬유연골치료를 하자고 하진 않을까요  수술이 최선일까요 ,마취통증의학과
원판형반월상연골치료 못하는 거 사실인가요 ,원판형반월상연골치료를 원했거든요  근데 병원에서는 수술로만 가능하다고 합니다  정말 원판형반월상연골치료를 할 수 없다면 통증치료만 받고 조심히 살고싶은데    근데 또 이미 파열이 되서 원판형반월상연골치료도 못하고 수술을 해야 한다고 하는데 멘붕입니다  치료로 좋아지는 경우는 없나요 ,마취통증의학과
밤만 되면 수술부위 통증 심해지는 이유,안녕하세요 제가 아는 사람이 간암 때문에 간부분절제 수술을 했는데요 낮에는 괜찮다가 밤  시쯤만 되면 통증을 호소하네요 특별한 이유가 있을까요  의사선생님들 제발 알려주세요,마취통증의학과
연골주사맞은후 통증,무릎퇴행성 초기라서 무릎이많이아팠거든요 그래서 연골주사 일주일에한번씩  주간맞았어요 맞고난뒤 통증이거의없어지네요 그래서  주정도있다가 안아파서 축구를했거든요 그런데 왠걸 무릎이 다시아프네요 아 이걸 어떡하면좋죠   주사맞고 무릎이멀쩡했는데 괜히 축구했나봐요   어떡하면 되나요 너무 속상하네요  ,마취통증의학과
척추협착증 수술 조언좀요 ,시엄마가 척추협착증으로 고생하고 계신데 치료로 안되겠는지 수술을 하겠다고 하시네요  근데 전 가능하면 척추협착증 치료를 해보고 안되겠음 시술을 하자고 했거든요  근데 척추협착증에 지치셨는지 완곡하게 딱 수술을 하겠다고 하십니다  근데 병원에서는 아직 수술 이야기도 안했거든요   어떡하죠  저는 말리고 싶습니다 ,마취통증의학과
발목 염좌 통증 이 정도면 괜찮죠 ,발목 염좌때문에 한동안 집에 있는 찍찍이 보호대  그거 해줬거든요  그러고 오늘 오후 좀 늦게 약속이 있어서 나갈건데 집에서 걸어보니깐 발목 염좌 부위가 많이 아프진 않아요 걸을 때 살짝 욱씬거림  이 정도면 보호대 안해줘도 발목 염좌 괜찮겠죠  걷는 건 큰 문제없습니다 ,마취통증의학과
발목인대파열불안정성 재건술밖에 없다고,발목인대파열불안정성때문에 생겼거든요  병원에서는 재건술밖에 방법이 없고 더 나빠지기 전에 수술해야 한다고 하는데 맞아요  저처럼 발목인대파열불안정성이 되는 분들이 많다고 하는데 치료만 받고 발목인대파열불안정성 좋아진 사례는 없을까요 ,마취통증의학과
회전근개증후군 주사 큰 효과 없나요 ,회전근개증후군인가  그 뼈가 부딪히고 있어서 통증이 있다고 하는데 그래서 병원에서 주사도 맞아봤어요  근데도 계속해서 회전근개증후군 증상이 있네요  이거 원래 이렇게 효과가 없나요  다른 분들도 주사로 회전근개증후군 좋아지는 분도 있고 저처럼 아닌 분들도 계시더라고요 ,마취통증의학과
무릎 접을때 통증 특히 쪼그려 앉을 때,무릎 접을때 통증이 있고 특히 쪼그려 앉을 때 아파요  제 나이가   대 후반이라 아직 무릎이 나쁠 나이는 아니잖아요  그런데 무릎 접을때 통증 검색해 보니깐 연골파열이랑 관절염이 계속 떠서 걱정됩니다  저는 왜 무릎 접을때 통증이 있을까요    관절염은 아니겠죠  제발요  ,마취통증의학과
