0,1,2
교정 중 하악 어금니 바깥쪽 잇몸에 미니스크류를 식립했는데,그 식립한 쪽의 어금니로 딱딱한 음식물을 좀 세게 씹으면 같이 움직이는 느낌이 나는데 이 부분에 대해서 치과에서 문제없다는 듯이 말할 수 있는 부분인가요 ,치아교정
유지징치 중인데 치아미백 생각중  ,안녕하세요 저는  년의 기나긴 치아교정을 끝내고 작년   월 달에 장치 제거 후 상  하 각 앞니  개에 유지장치를 장착하였습니다 물론 앞쪽에는 투명 철사 유지장치를 부착 하였고 안쪽에는 일반 철사로 유지장치를 부착 중입니다  그런데 평소에 일반인들 보다 치아가 많이 누런 상태여서 누런니가 너무 신경 쓰이네요 또 투명유지장치도 색이 착색되어 오히려 투명이란 의미가 없어지는 기분입니다   이게 투명유지장치인지   카레색 유지장치인지   제가 양치를 제때 못한 실수이기도 합니다   그래서 치아미백 받고 나면 잘 관리하기 위해서 요즘 식사후 바로 양치하는 습관도 들이고 있습니다  그만큼 치아미백을 꼭 받고 싶습니다  그치만 여기서 문제는 치과에서 앞니의 유지장치는  년 정도 부착을 해야한다고 하더라구요 그러면 이 시간을 기다리고 앞니에 있는 유지장치 제거후 치아미백을 해야하나요    이런 경우에는 부착되어있는 유지장치를 어떻게하고 미백 시술을 받을 수 있을까요 ,치아 유지  관리
과개교합인가요 ,제목이곧내용이요,치아교정
치아 교정  치아 뒤쪽 갈림,앞니 뒤에가 아랫니에 자꾸 닿아서 갈려가지구 뿌리가 좀 보인다든데 어떡하죠   찬 음료나 아이스크림 먹으면 이가 시리고 따뜻한 거 먹으면 이 느낌이 좀 이상해요   교정하거나 나중에 나이들면 임플란트 하라는데    앞니 뒤쪽에 뭘 발라서 덧씌울 수 없나요   교정하기엔 이미 한 번해서 뿌리가 너무 짧아서 위험하지만 이대로 두면 앞니 뒤가 계속 갈린대요   진퇴양난입니다  ,의치  임플란트
남양주시 야매 틀니,남양주시에 사는 사람입니다   야매로 틀니좀 하고싶습니다   연락처 아시는분있으면     알려주시면 감사하겠습니다   치과는  너무 비싸서요   ,의치  임플란트
 더러움 주의 님들 저 양쪽 아래 이빨 충치 있는 거 같은데 어케요    ,한    년전  그때부터 있었는데 양쪽 아래 어금니  저 사진이랑 똑같이 있는데 저 엄마한테 말해야 될까요    제가 너무 귀찮아서 하루에 양치 저녁에  번하고 안 할 때도 있는데 저 양치 안 해서 생긴 거 같고 단 거 많이 먹어서 생긴 거 같은데  딱히 아프지는 않는데 저 어떻게 해요  앞으로 양치 계속하면 괜찮아 지는 걸까요 ,충치  치아질환
치과치료후 받은 약과 인플란트치료후 받은 약이 똑같은데 일반치료 처방전의 약은보험이 되고 임플란트 치료후 받은 처방전 약은 왜 보험이 안되나요 ,치과치료후 받은 약과 인플란트치료후 받은 약이 똑같은데 일반치료 처방전의 약은보험이 되고 임플란트 치료후 받은 처방전 약은 왜 보험이 안되나요  치과마다 틀리나요 ,의치  임플란트
치아 크랙 질문있습니다 ,통증이 있다고 하더라도 무조건 신경 치료 하지 않는 다고 하던데   일단 치아삭제 후 크라운 씌우기 전에 임시 치아 씌워보고 통증이 그래도 있으면 신경  치료를 진행 하는 건가요     그리고 크라운을 씌웠을 경우 있던 통증이 사라지는 건 왜 그런건가요    말 그대로 씌운건데 이빨에 무리가 덜 가서 그런거라고 봐야 되는 건가요  ,충치  치아질환
무턱인거 같은데 교정해야 할까요 ,고등학생인데 옆모습을 보면 턱이 무턱인거 같거든요  무턱은 성형이나 교정말고 어떻게 해결할 방법이 없나요  너무 스트레스라 답변 좀 부탁드려요,의치  임플란트
어금니 발치 후 매운거  ,선생님들 제가 오늘 교정한다고 작은어금니 두개를 뺐습니다 그런데 수요일 급식으로 짬뽕이 나와요   매운거에 환장하는 저는 이 짬뽕을 놓치면 정말 두고두고 후회하고 밤에 잠도 못잘거같습니다    일정도 지난 수요일에 제가 짬뽕을 먹어도 아무런 해가 없을까요  된다고 해주세요  플즈  ,치아 유지  관리
