0,1,2
승모근 목  어깨  쪽이 뭉쳐서 일주일 넘게 돌처럼 딱딱합니다 ,안녕하세요   제목 그대로 일주일 넘게 현재 오른쪽 승모근 쪽 어깨 목 이 뭉쳐서 돌처럼 굳어서 풀리질 않네요   짓누르고 있는 것 처럼 상당히 쑤시고 뻐근합니다   만지면 상당히 딱딱하고 아픕니다   이 통증이 시작될때쯤 좀 일상에서 피곤한 상태이긴했고 입술 옆에 포진이 생기기도 했는데 포진은 거의 다 가라앉았습니다만  통증이 너무 심하게 아직 가네요   무슨 경우인지 싶어서 여쭙습니다  큰 일이 생긴 건 아닌가하고요     신경외과로 가서 진료를 받으면 되는지  아니면 큰 병원 응급실을 가야하는지 궁금합니다   소중한 의견 부탁드립니다  살면서 이런 경우는 처음입니다 ,운동치료
운동한지  개월 하체운동질문이요,제가 운동한지  개월이지났는데 하체를강도있게해도 하체근육이 떨리거나 무릎이 떨려요 처음에 익스텐션할때 수축은 괜찮은데 이완할때 대퇴사두가 세로 결로 떨려요 그다음 종목으로 브리스퀏을하면 무릎  아니면 근육 이 떨려요 그리고 중반쯤 서서 다리힘을 주면 무릅이 덜덜떨려요 어케된걸까   ,운동치료
리버스 백덱플라이할때 중부승모근 사용해야하나요 ,김명섭이라는 유튜버분이 할때 중부승모근을 사용해야한다던데 다른사람들보면 최대한 안쓰려고 하더라구요 뭐가 맞는거죠,운동치료
메디신볼 던지기,채대입시에서 메디신볼 던지기를 하는데 기록을 늘릴려면 어디 운동을 해야 할까요  전완근 운동하면 되는거 맞나요 ,운동치료
가슴 위쪽 부분이 아파요,가슴 위쪽이 너무 아파서 숨 쉴 때도 너무 아프고 답답하고 체조 할 때도 너무 아파도 가만히 자세로 돌아오는 동안에도 너무 아파요 조금만 움직여도 아프고 목을 움직여도 아파요,운동치료
바디프로필 준비기간 눈바디인바디봐주세요 ,다이어트랑 운동 시작한지  달 되 가는   살 여자입니다 운동 제대로 시작해서 운동은 꾸준히 할 것 같은데 바프 준비 기간    일정도면 될까요    제가 체지방이 너무 많아서   인바디 및 눈바디 한번 봐주세요    ,운동치료
고 인데 아직 성장판이 조금 남아있다고 하는데 어떻게 운동해야 할까요  ,고  남자 인데 키가    입니다  아직 성장판이 남아 있다고 해서 좀 더 크고 싶은데 어떤 운동을 해야 할까요   그리고 기숙사 학교에서 생활하고 있습니다  고 라서 시간이 많지도 않습니다  제발 알려주세요  그리고 근육도 같이 키울 수 있는 키크는 운동도 아시는 분은 알려주세요,운동치료
인바디 체지방율,제가 인바디를 재봤는데 체지방율이      나왔어요 근데 제 몸에서   프로는 아닌거같아요    제몸이 체지방    로 보이나요 ,운동치료
한손풀업 통증,한손풀업 연습시 팔꿈치 안쪽 통증이 느껴집니다  통증없이 연습하는 방법이있을까요,운동치료
벌크업 하고 싶어요 ,제가  년전쯤에 운동 미쳐가지고 운동다가 고  되니까 운동도 안하고 여자친구 생기고 하니까 계속 먹고 먹고 하다가 거울을 보니 줘 패고 싶게 생겼더라구요    하    그래서 이번에 마음먹고 다시한번 군대 가기전까지는 운동을 하고 싶습니다  근데 막상 할려니 다 까먹어서 뭘 해야할지 벌크업 식단은 어떡해 해야할지 아무것도 모르겠더라구요     도와주세요     몇시에는 뭘 먹고 점심은 머머머 먹고 운동은 몇시에 하고 등등 자세하게 알려주세요       몸무게   키로 키    ,운동치료
배틀로프 운동효과,전신운동으로 알고있는데 상체 앞쪽 부위 탄력에도 도움이 될까요 가슴쪽이나 이런 쪽에,운동치료
렛풀다운 어깨뼈 통증,렛풀다운할때 오른쪽만 어깨뼈가 너무아파요 이유가 뭐뭐있을까요 원래안그랬는데 어느순간부터 아프더라구요 헬스  년차인데 이거때매 광배가 계속 줄어들어요 그리고 이두운동할때 전면삼각근쪽이랑 어까근육이 통증이와요 원인이 무엇일까요    진짜 너무 억울하고 눈물나올거같아요 갑자기 안되니깐 지금 한달째이런느데 어떡하죠 이두운동할때 어깨근육이 통증오고 렛풀다운할때 뼈가 너무아파서 운동이안되네요,운동치료
골질량 골격근량에 대해 질문,  키로 고 학생입니다 오늘 인바디를 쟀는데 골질량이     kg 나오고 골격근이      kg가 나왔는데 골질량이 좀 많이 낮은편 인거 같아서 질문드려요 골질량이 뼈무게를 말하는거 같은데 골질량이랑 골격근이랑 상관이 있나요  상관이 있가면 골질량 무게가 높으면 골격근이 더높게 나오나요 ,운동치료
상체 키우기,키     몸무게   인데요  하체는 괜찮은데 상체가 갈비뼈 라인이 희미하게 보일정도로 말랐거든요 상체만 키우려면 어떻게 해야할 지 알려주세요 피해야 할 음식들도요 ,운동치료
허벅지 운동하는데 옆벅지에 딴딴한 근육이 촥 달라붙어수 툭 튀어나왔는데  ,허벅지 운동 유튜브에서  유명하다는거 효과 쩐다는 것들만 골라서 오늘부로 일주일동안 하루에 두 번 씩 허벅지만 조지는 홈트를 했거든요 키    에   키로라 통통하기도 한데 근육 위로 살이 찐거라 굶어서 빼지도 못하는 건강한 돼지          허리는 몰라도 허벅지가 진짜 완전 말벅지랄말이에오   근데 홈트가 다리 후덜거리고 힘들고 땀도 엄청날 정도였어서 그랬는지 다리 사이가 동그랗게 조금 파인 것 같긴 한데 옆벅지가 툭 튀어나어  어요    원래는 걍 전체적으로 다 튀어나왔긴 한데 진짜 옆벅지에 튀어나온 거 만져보면 딴딴한게 근육같단 말이에요 얘 좀 어떻게 해볼 수 없을까요       옆벅지에 좀 튀어나온 것만 좀 없애도 좀 다리가 그나마 이뻐질 수 있을 것 같읃 데 살로주세요,운동치료
인체에 대해 팔근육의 움직임 내공   ,팔에는 앞부분의 근육과 뒷부분 팔꿈치 쪽 의 근육이 있잖아요  그럼 팔을 폈을때는 앞부분의 근육이 늘어나고 뒷부분의 근육은 줄어들고  팔을 굽혔을때는 앞부분의 근육이 줄어들고 뒷부분의 근육이 늘어나니까 근육은 위치에 따라 움직임이 달라지는거 아닌가요 ,운동치료
멸치탈출   ,고 이고        왕멸치입니다  집에서 운동을 하며 살을 찌우고 몸도 만들고 싶은데 현실적인 식습관과 홈트 방법 좀 알려주세요    집에 형이 쓰는 치닝디핑과 아령 매트 정도는 있습니다,운동치료
고등학생 벌크업,   에   키로 멸치 고등학생입니다 방학을 통해서 무에타이를 배우는겸 키도 좀 크고 살도 찌우고 싶은데 어떻게 해야할까요  젤 중요한건 키입니다 사람이 달라 보이고 싶어요,운동치료
종아리에 불규칙적인 열감이 들어요,  세 초반의 여성입니다 스트레스 시험끝나서 없음  잠 하루   시간씩 잠   저번주 길가다가 갑자기 오른쪽 종아리 하단부   에 난로를 너무 가까이 쬐는듯한 열감과 화끈거림이 있었고  가렵지는 않았음   분정도 있다가 사라져서 별 생각 없이 넘겼는데 이틀에 한번 꼴로 불규칙적인 시간에 같은 부위에 같은 증상이 발현되더라고요     사실 일상생활에는 별 지장이 없고 그냥 놀라고 살짝 불편한 정도이지만 제 나이가 아직 젊기도 하고 반복적으로 같은 부위에 증상이 생기는게 이상해서 질문합니다,운동치료
콜레올로지 다이어트 보조제,한달동안 먹어보려고 하는데 후기보면 대부분 몸무게가    키로 정도밖에 빠지지 않았더라구요 눈바디는 큰 차이가 보이던데 무게말고 체지방 빼는 효과가 있는 보조제인가요 ,운동치료
높은 곳에 착지 시 이상 통증, 남성입니다   학교 스탠드에 서 있었는데 운동장 바닥으로부터 높이가  m 넘습니다  스탠드 한 칸 위에 서 있었습니다   체육 수업 끝나고 집합하려는데 돌계단으로 내려가기 귀찮아서 그 지점에서 앞으로 점프했습니다  넘어진 것은 아닙니다  너무 높으면 착지할 때 발쪽이 아프잖아요  그런데 착지 시 생식기관과 엉덩이 사이 안쪽에 통증을 많이 느꼈습니다  그 당시 생식기관 쪽에도 통증을 느꼈는지 기억이 안 납니다  이건 이상이 있는 건가요    광고는 신고합니다  ,운동치료
등근육성장에 있어서,등근육 보디빌딩에 있어서  등을 넓히는 거랑 등을 채우는 거랑 어떤 게 먼저인가요   물론 이렇게 딱 두개로 나뉘지 않는 건 알고 있습니다 ,운동치료
