,0,1,2
0,코로나 확진경로,  일부터 코막혔고   일부터 목이 칼칼하고 근육통도 있었습니다  시간이 지날수록 오한이 있었고요  그래서 자가키트로 양성 보고 기숙사에서 집으로 왔습니다    일에 확진받았고 오늘로 격리  일차 됐습니다  솔직히 마스크 잘쓰고 다녔고 학교 기숙사에서 잘때도 마스크 잘 끼고 잤는데 걸려서 억울하거든요    그래서 어디서 걸렸는지 생각을 해봤는데 마음에 걸리는부분이  개정도 있는데 어떤게 걸릴 확률이 높았는지 알려주세요       일에 롯데몰가서 향수 시향을 했습니다  마스크 잠깐 내려서 향만 맡았습니다  그 사람이 확진인지는 모르겠지만 그 사람이 손으로 막 비벼서  만져서  시향지를 줬는데  그 사람이 확진이라면 가능성이 있을까요      기숙사에서 이미 룸메 두 명이 확진이였습니다    일에 한명 확진    일에 다른 친구 확진  이렇게 두명이 확진되고  인  실에서 저포함  명은 음성나왓습니다  그러고   일에 확진됐던 애가 격리 해제되고 일주일동안 생활했는데 그 사이에 그 친구 오빠도 확진됐다고 들었는데 주말에 집을 다녀왔습니다  일요일에 기숙사에서 그 친구가 제 음료를 빨대로 마셨는데 제가 그걸 깜빡하고 그대로 입대소 마셨습니다   격리 해제됐지만 집에 확진자가 있어서 전파력이 있을 수 있지않나요    저는 솔  히  번인거 같은데 잠복기 생각하면 아닌것 같구  어떤게 확률 높은 지 알려주세요  아 그리고 지금 제가 오미크론인것같은데 오미크론과 그냥 코로나 차이점도 적어주시면 감사하겠습니다  내공   걸게여,가정의학과
1,코로나 격리해제후 일상생활, 일 격리하고 그 이후   일이 되었는데요   일   일   일 지났어요  미확진 가족들 마스크 벗고 활동해도 될까요 ,가정의학과
2,유방암 수술 앞두고 체력 보강 어떻게 하면 좋을까요 ,유방암 수술을   일 앞두고 있습니다  면역력도 약해서 감기도 잘 걸리고 쉽게 피곤해지는 체질입니다  단백질 섭취 위해 고기를 먹어도 될까요  안좋을 거 같아 안먹으려고 하는데 살고기 위주로 조금씩 먹는것은 괜찮을까요  수술 앞두고 주의해야할 음식과 좋은 음식 알려주세요 그리고 비타민C와 비타민D 메가도스를 하고 있는데 괜찮은지요 ,가정의학과
3,당뇨병초기 발에통깁스 운동량제로 ,나이는  세 남성입니다 몸무게  kg 신장   cm 이라 비만에 해당된다고 인바디에 나옵니다 최근 혹시 당뇨가아닐까싶어 당체크기기로 피뽑아 테스트른 해보니 공복에        이정도 왔다갔다하며 식사후    정도 됩니다 혈압은       정도 전후이구요 건강검진결과 지방간 콜레스테롤이 수치가 높아 체중조절중에 있었는데 발목인대수술을 해서 통깁스를 한상태입니다 운동량이 전혀없어 하루에 한끼식사만 하고 있지만 그래도 살이찌는것같고  혈당이 너무 오르는거 같습니다 이대로 한달을 가만히 있다가는 만성당뇨와 고혈압환자에서 벗어날수없을거같은데 걷지를 못하는 한달 어찌 관리하면 될까요  저는 당뇨초기일까요  살려주세요  참고로 어머님이 당뇨고혈압 있으십니다,가정의학과
4,중  급 복통, 일 전 부터 복통이 시작되면서 열이     도 이상 나고 계속 토할 거 같아서 보건실만 들락날락 하고 계속 춥더라고요 병원가기엔 좀 애매해서 물어봅니다  코로나는 이미 걸렸었고    학년 때 사고치고 다녀서 공부도 안했는데  학년 때 갑자기 열심히 하다보니 학업 스트레스도 받고 항상  시에 일어나니 피곤하기도 하구요  막상 학교가면 잠은 안오는데 공부 해야하니 너무 스트레스 받고 계속 배가 아파요 병명같은 게 있을까요    ,가정의학과
5,그냥 목감기인가요  코로나인가요 ,어제 화요일 아침부터 목이 너무 아팠어요  두통도 심했고  몸이 뜨거운 것 같아 열을 재니   도 정도 나왔어요   몸은   도 정도였고요   그날은 학교에 가지 않고 신속항원검사를 받아보니 음성이였어요  오늘 아침 열 인후통 증상이 있었지만 자가키트에서 음성이 나오는 걸 확인하고  학교에 갔는데요  학교가 끝난 뒤 집에 오니 열이 펄펄 끓었고요  목은 칼칼하고 침 삼킬 때마다 목이 너무 아팠어요   잠이 왔고 일어나보니 몸이 심각하게 뜨거웠고요  현재 열을 재니   도네요  약 먹기 위해 밥을 먹는데요  음식 맛이 느껴지지 않아요   진짜 미세하게 느껴져요   그냥 심한 목감기 일까요  개인적으로 양성인 것 같은데 엄마는 그냥 목감기라네요  양성이 맞다면 왜 신속항원검사에서 음성이 나왔을까요   긴 글 읽어주셔서 감사합니다,가정의학과
6,배꼽 관리하는법,전에 누구한테 들었는데 배꼽 때 파다가 기절했다고   실제로 기절하나요 그냥 더러운채로 놔둬야하나요,가정의학과
7,담관담석 제거후 발열,아버지가   세이시고  년전 힘이 빠지시면서 걸음이 불편하셨는데 일주일전 고열이 나시면서 걷지를 못하셔서 응급실로가서 검사한결과 담관결석이라고 응급실에서  틀동안 금식을 하시면 기력이 떨어져 아에 움직일수 없을정도로 힘이없다고 하시며 고열이 안떨어져  일동안 항생제를 맞으시고 열이 떨어져 바로 특수내시경을 하셔서 담관에 담석을 제거 하셨습니다 담즙배양관을 하셨고 특수 내시경마치고 다음날부터 미음으로 식사를 하시고 계시는데 갑자기 고열과 오한이 오시며 산소포화도가    까지 떨어져 산소호수를 코에 달고 산소포화도    으로 안정되셨는데  내시경 마치고 하루지나 열과오한 산소포화도의 증상이 나타나는 이유가 궁금합니다  그리고 앞으로 식사와 영양섭취로 기력을 되찾을수 있는지 담즙배양관은 언제 제거가 되는지 궁금합니다   ,가정의학과
8,코로나 증상,제가 저번주 수요일날 밀접접촉을 하고 나중에 열이랑 목이 아프고 기침도 나왔는데 항원검사  번이나 했는데도 계속 음성이 나오는데 대체 뭘까요   내공   ,가정의학과
9,과수면  오한  두통 등이 있어요 왜 그런걸까요  ,증상이 시작된 지는 얼마 되지 않긴 했는데 잠을 정말 하루종일 잡니다  온종일 잤어요   한 이틀 전엔가 스트레스를 받아서 그런지 잠을  시   이 되도록 잠들지 못하고  시   에 일어났거든요  그 당일에는 괜찮았는데 다음날부터 하루 종일 잤어요  원래 이렇게 많이 잔 적은 없어요  오한도 있고 소름 돋듯이 계속 그러고 머리가 아파요  오한 같은건 꽤 됐는데요    체중도 원래 좀 고무줄 같았는데 쪘다가 다시 막 한  키로 정도   이번달에 빠진 것 같아요  원래   에서   정도 되고 그랬는데 살이 빠지기 시작하더니 지금은   키로예요   배도 안 고프고요   근손실일까요 아님 그냥 일시적인 스트레스 때문에 그러는걸까요   제가 새로운 학교로 진학하긴 했거든요  ,가정의학과
