,12,13,14
0,옆구리 통증,왼쪽 옆구리에 딱딱한게 있는거 같고 왼쪽 옆구리가 아츤데 무슨 증상 인가요  암인가요  아시는분은 댓글로 알려주세요,마취통증의학과
1,가슴위쪽 쇄골아래 통증,그림처럼 저쪽부위가 눌러도아프고 몸좀 움직여도아프고 그쪽부위에 힘이들어갈때도 짓누르는통증과 찌르는듯한 통증이 동반됩니다 숨을 크게 들이쉴때도 아픕니다  개월정도 된 거 같은데 무슨문제가있는걸까요 심할때는 잠도 못자겠습니다 어느부위인지도 궁금하네요 병원을  군데나 다녀도 이유를 잘 모르겠다고 합니다,마취통증의학과
2,왼쪽 목구멍 통증,어제부터 오른쪽 목구멍은 아무렇지도 않은데 왼쪽 목구멍만 아프고 열도 안나요 역류성 식도염 가능성 있나요 ,마취통증의학과
3,허벅지 바깥쪽 통증,오늘 코로나 검사 받는다고  시간정도 서있고 쪼그려있으면서 한번도 못앉았는데 집에 와서 스쿼트하니까 바깥쪽이 조금 아픈데 멀까여   나이는   여자입니다,마취통증의학과
4,문제있는걸까요 ,안녕하세요 이제 중 되는 여중생입니다 제가 허리꺽어서 머리에 다리붙히는 스트레칭을 자주하는데 원래는 입까지 닿았는데 요즘에 안해서 그런가 머리에도 안다길래 요즘에 좀 무리해서 허리를 꺽었는데 허리 윗쪽이 퍽 하고 꺽이는 느낌이 들고 누워만 있어도 허리가 아프고 평소에 고개를 앞으로 숙이면 진짜 너무 아픕니다 그래서 최근 일동안 파스도 사서 붙히고 적당히 하고 했는데도 허리 윗쪽 어깨쪽이 아픕니다혹시 문제 있는건가요  ,마취통증의학과
5,왼손 손목에 튀어나온 뼈 이거 뭔가요,사진에 보시면 제 왼손 손목에 뼈가 약간 둥그러면서도 뾰족하게 튀어나왔습니다  오른쪽 손목은 안 이렇거든요    이거 뭔가요  병원에 가봐야 한다면 어느 과에 가야 할까요 ,마취통증의학과
6,가슴 날개뼈 통증,  살 여자이구요 왼쪽 가슴 밑  옆라인을 따라 콕콕 쑤시는 통증이 있습니다  왼쪽 옆구리 쪽에도 있구요  왼쪽 어깨와 날개뼈까지 통증이 있습니다  제가 골반이 좀 틀어져 있고 왼쪽 어깨 근육이 많이 뭉쳐있는 상태에요  심장문제일까요  아님 다른요인때문일까요 ,마취통증의학과
7,여자 왼쪽옆구리 골반 통증,일주일 전 부터 옆구리 골반이 아팠는데 사실 그때는 별로 많이 아프지도 않구 조금 있으몀 괜찮아지겠거니하고 방치해뒀는데요   오늘 진짜 너무 걸을 때랑 가만히앉아 있을 때 마저도 너무 아파서 글 올려봐요    대체 뭐 때문에 아픈걸까요       내일이라도 병원에 가봐야할까요    너무 가만히 있어두 아픈데   ,마취통증의학과
8,배꼽 통증 정액,자위하고 정액이 배꼽에 들어갈때마다 꼼꼼하게 닦지는 않았는데 오느날 부터 배꼽 윗쪽에 통증이 있는데 원인이 뭘까요    ,마취통증의학과
9,백신맞고  일뒤에 통증주사,지금 거북목으로 인한 통증때문에 목에 통증 주사를 맞고 있는데 백신 맞고  일쯤 지나고 맞아도 되나요  정확히 어떤 성분의 주사인지는 모르겠어요,마취통증의학과
10,왼쪽 옆구리 통증,자주는 아니고    주에 한 번씩 왼쪽 옆구리가 쥐난거 처럼 아픈데 왜 그러는 걸까요  ,마취통증의학과
11,오른발 엄지에 무지외반증이 좀 있는데 엄지바로 위에 뼈가 가끔씩 찡하고 아플때도 있고 만지면 아파요 왜그럴까요,오른발 엄지에 무지외반증이 좀 있는데 엄지바로 위에 뼈가 가끔씩 찡하고 아플때도 있고 만지면 아파요 왜그럴까요,마취통증의학과
