,0,1,2
0,화상 물집잡혔는데 병원 가야할까요  ,집에서 화상연고 잘 바르면 되겠죠    번째 사진  어제밤   번째 사진  오늘 아침 ,응급의학과
1, 도 화상,건조해서 위에 붙어있던 갈색껍질   이 떨어졋더라구요 연고를 계속 바르고 잇긴한데 흉터 남을까요     ,응급의학과
2, 도화상에 통풍 필요하나요  ,화상입은 다음날 코로나에 걸려 병원을 가지 못하는 상황입니다   다행히 간호사 지인에게 병원에서 쓰는 치료제들을 받기는 했는데 방수밴드를 계속 붙여놔도 되는지 궁금합니다 죽은피부가 벗겨져서 속살이 보이는 상태고 빨간약으로 소독한 다음에 향균 연고를 발라준후 리도아가아제라는 거즈를 올리고 집에 붕대가 없어 방수밴드를 붙이고 생활중입니다 통풍이 아예 안되는 상황인데 이렇게 둬도 괜찮나요 ,응급의학과
3,얼굴화상과 피부색변화,팔팔끓는 물에 한쪽얼굴 전체가 데였습니다  피부과애서 치료를 받고 있는 중인데요 대략 치료 일후부터 상처부위애 흰색의 긴띠 모양의 선이 두줄이 생기고 그 옆부분은 군대군데 불규칙한 원형모양의 흰색으로 피부색이 변했습나다  얼굴화상으로 이런증상이 생긴 것인지 걱정스럽고 궁금합나다  전문가님의 속 시원한 답을 기대합니다,응급의학과
4,배아프더니 정신 혼미,배가 갑자기 너무 아프더니 배에서 꾸륵꾸륵 소리 계속 나다가 갑자기 앞이 뭔가 진짜 무슨 마약한것처럼 계속 움직이고 어지럽고 귀에선 주변 소리가 잘 안들리고 이명이 들리더라구요   좀만 더 참았다간 진짜 쓰러지기 직전이었는데 그래도 화장실 갔다오니깐 조금 괜찮아졌어요 그래도 좀 아픈데 또 그럴까봐 걱정이 돼요   학교라 편하게 쉬기도 좀 그런데 무슨 증상인가요   ,응급의학과
5,발톱옆에가 아파요  ,제가 오늘 점심시간 전부터 발이 아파도 그냥 있었거든요  학원을  시 쯤에 갔는데 좀 많이 아팠어요  아픈 부위는 오른쪽  번쩨 발가락이고요  발톱 아래쪽이 빨간색으로 부었어요  발톱 오른쪽은 물집 이 잡혔는지 빨간색으로 부었어요  건들이면 아파요   최대한 빠르게 답변 부탁드리겠습니다 ,응급의학과
6,손톱이 중간에 끊어졌어요,손톱이 원래 조금 중간에 끊어졌는데 씻다가 걸려서 더 깊이 중간에 끊겼어요    아픈데 이게 어떡게 해요,응급의학과
7,사타구니 근처에 딱딱한 뭔가가 생겼어요  내공   ,  살여자구요 사타구니쪽에 딱딱한  cm정도의 뭔가가 생겼는데 언제부터 있었는지는 잘모르겠는데 오늘 갑자기 아픈게 느껴지더라구요 원래 사타구니쪽에 뭐가 잘나는 편이긴 한데 평소엔 통증이없어서 걍 냅뒀는데 이번거는 좀 아파서 병원에 가야할까 생각이드는데  이게 뭔지 알수있을까요  그리구 병원에서 무슨치료를 하나요  또 어느병원에 가야할까요 ,응급의학과
8,어제 조퇴하고 오늘 결석했는데 진단서,어제  교시 끝나고 조퇴를 하고 병원에 갔어요 진단서를 쌤한테 보여주고 조퇴한거는 인정이 됐거든요 오늘 일어났는데 열이 안 내려가고 목도 계속 아파서 결석을 했는데 쌤이 진단서인가 처방전인가 를 갖고오래요 어제 약을  일치 받았는데 또 병원에가서 진단받고 약타야 되나요 ,응급의학과
9,dur 중복처방   ,중복처방    dur이 뜨면  어느 지역  어느병원에 갔다온지 알수있나요 ,응급의학과
10,제가 어떤거에 물린 걸까요 , 개월 전   월  일에 택시 타고 오는길에 발목이 따갑고 굉장히 가려워서 집에 와서 보니까 어떤 벌레에 물린듯 두 개의 물린 흔적이 있어요  한 일주일 정도 엄청 가려웠고 지금은 흔적만 남아있어요  어떤 벌레한테 물린걸까요 ,응급의학과
11,오래된 잔가시 빼주는 곳은 어디인가요  ,  년  월에 산에서 잔가시가 박혔는데요 동네피부과랑 동네정형외과에선 못 뺀다고 소독만 해줬는데요 그 손으로 샤워를 했더니 가시들이 몸에 이곳저곳 박히더라구요  그래서 병원을 다녀도 가시가 있어서 집에서 소독하면서 가시를 핀셋과 테이프로  년 개월 했어도 안 빠지는데요 이렇게 평생 살아야 되나요  어떻게 해야 하나요   안 빼면 아픈데 오래된 잔가시도 빼줄 수 있는 병원이 있나요  제발 살려주세요 인천 근처 병원 알려주세요  ,응급의학과
12,화상 입었는데 운동,어제 손가락 마디에 물집 잡히는  도 정도의 화상을 입은 것 같은데 지금 연고랑 밴드만 붙이고 있습니다 오늘 운동해도 될까요  한시간 정도 유산소 운동 하고 싶습니다,응급의학과
13,캡샤이신 화상 코,베트남 고추 손으로 찢고 코 만졌는데 너무 따가워요 캡샤이신 화상인 거 같은데 지금 우유에 코 넣고 이써요 혹시 더 좋은 방법 있을까요  인터넷에는 다 손이더라고요  코 풀면 조금 낫기는 해요  식염수하면 나을까요 ,응급의학과
14,깊이 파인상처 치료에 대해서 ,의족을 착용하고 있습니다  동근란  cm정도의 상처가 있는데 아물지않고있네요  상처는 그대로 인데 깊이가 점점 깊어지네요  지금은 한    mm정도로 깊어지고있습니다  상처가 있다보니 아파서 걷기도 힘드고 먹고 살아야해서 의족을 착용해야하니     저같이 의족을 착용한 상황에서 생긴 상처를 아물게 하려면 어떻게 해야하나요 ,응급의학과
15,내성발톱 안 쪽 곪았,내성발톱 안 쪽이 곪아서 진물 나오는데 어케해요   저 낼 학교 가야 하는데 응급처치 방법이라도 알려주새여  발톱 자라는 부분이 살에 파고든 게 아니라 발톱 틀  원래 나 있던 발톱 자체가 살 안에 들어갔어요   ,응급의학과
16,찰과상   파상풍,이틀 전에 아스팔트에 갈려서 복부  팔꿈치  손가락  무릎 부분에 찰과상을 입었습니다   복부는 아스팔트에 쓸렸고  복부를 제외한 부위는 옷 위로 쓸렸습니다   상처는 깊진 않습니다   혹시 이런 경우에는 파상풍 주사를 맞아야 될 필요가 있나요   Tdap는 맞은 적이 있습니다   차 추가            ,응급의학과
17,새끼손가락 통증 고름,아버지께서 손가락에 가스레기를 때고나서 틍퉁붓고 아프고 고름이나서 일반의원가서 나은듯했는데 완전하게 낫지를않고 계속 아프시다네요 어느병원을 가야할지모르겠습니다,응급의학과
18,상처 물집, 주 전쯤에 급하게 구두를 신을 일이 있었는데 평소에 신지 않던 구두를 스타킹 없이 신다가   뒷꿈치가 까졌습니다 단순히 까진 줄 알았는데  주가 지난 지금도 가만히 있어도 통증과  상처 부위가 붓고 물집 처럼 잡히기도 합니다 어떤 증상이며 치료방법이 궁금합니다 ,응급의학과
19,녹슨 커터칼에 베였습니다 ,뭘 자르다가 커터칼에 베였습니다  어느정도 깊이인지는 모르겠는데 상처를 벌리면 피가 좀 코피 쏟아지듯이 날 정도  입니다     잠깐 상처부위를 입에 넣은 상태로 바로 싱크대로 달려가 찬 물에 세척을 했습니다  그런 다음 알코올 솜으로 상처를 소독한 다음 지혈을 하고 마데카솔 바른 다음 밴드를 붙이고 있는 상태입니다  그러고 커터칼을 봤는데 끝부분이 좀 붉게 붙어있는게 녹이 슨 것 같습니다  마지막으로 파상풍 예방접종 Td 를 한 것이     년인데 별 문제 없을까요  재질문합니다   의사분들 답변해주시면 감사하겠습니다  ,응급의학과
20,종기 관련 질문인데 빨리 답변해주세요  ,오늘 종기 때문에 학교 마치고 병원을 갔는데요 여러 후기들 보고 좀 쫄아서 병원을 갔는데   역시나 아프더군요 뭔 주머니 를 제거하진 않고 칼로째서 고름 그런거 짜냈는데 아파죽을뻔 했습니다     내일도 병원오라그러는데 내일가면 소독할까요  칼로짼 곳 소독하면 너무 아플것 같은데 걱정되네요  ,응급의학과
21,찰과상 피부,어제 손가락이 조금 까졌는데 피부가 찢어지긴 했는데 붙어있을 때 어떻게 해야하나여  사진처럼 돼있습니다 상처부위 피부를 떼내야하나여 ,응급의학과
22,기름 화상 물집 관련,어제       식당에서 셀프 계란 프라이를 하던 중 프라이팬이 엎어지면서 발등에 기름을 쏟아 화상을 입게 됐습니다     기름을 쏟은 후 급히 화장실에서 물을 끼얹어 살짝 식히고  찍은 사진입니다          am         경      그 이후 택시를 타고  집까지 온 후에 다시 찍은 사진입니다          am         경       택시에서 내려서 집으로 들어와 찬물로 열감을 어느 정도 식힌 후 찍은 사진입니다          am         경      열감을 식힌 후  하이먼 밤 잘라 쓰는 타입 이란 약사님께 상황을 말씀드리고 사 온 제품을 붙였습니다          pm         경           해당 제품 붙인 후 자고 일어난 후 사진입니다          pm         경      약국에서 제품 구입 당시 약사님께서 수포는 절대 터트리지 말고  만약 터지면 병원에 가라 말씀해 주셨고 이후 이래저래 검색해 본 바로 도 수포는 터트리지 않는 게 좋다 하여 방치하고 있긴 한데  수포가 지금 더 커진 상태인데  괜찮은 건지 잘 몰라서 글 남겨봅니다   추가로 수포 주변 살을 눌렀을 때 살이 하얀색으로 변색이 되긴 합니다  변색이 되지 않으면 죽은 살이여서 바로 병원에 간다고 봐서 추가 코멘트로 남깁니다   현재 상태가 어떤지 수포는 터지지 않는 이상 제품을 붙인 후 흡수될 때까지 방치하면 되는지 궁금합니다 ,응급의학과
23,표재성  도화상인가요  ,심재성  도화상부터 보험가능하다던데 이건 표재성  도화상인가요   혹시 흉터가 남을까요  ,응급의학과
24,생식기 화상 입었는데 어떻게 해야하나요   ,방금 끓인 뜨거운 물을 딱 그 부위에 쏟았어요   옷은 입고 있었구요 샤워기 찬물로 몇 분 뿌려주다가 허벅지에는 화상연고를 발랐거든요 그런데도 지금 허벅지랑 사타구니랑 소음순 부분이 너무 따가운데 어떻게 해야하나요    병원은 가기 싫어요  ,응급의학과
25,화상 알레르기,안녕하세요 저번주에병원갓다왓는데 화상흉터에 알레르기가생겻어요   일주일동안 약먹고 연고잘발르고 소독하면나을줄알앗더니 그대로인것같아요   다시병원가서 쎈약을 주라해야됳까요,응급의학과
26,찰과상 붓기,다리에 길게 찰과상을 입었는데 상처의 깊이가 깊지않아 습윤밴드를 붙혀 두었습니다  그런데  일차부터 다리가 전체적으로 부어 정상적인 다리와 비교해보면 차이가 보일 정도입니다  상처에 열감은 없고 누워있다가 일어섰을때 통증이 있고 걸으면 통증이 없어집니다 ,응급의학과
27,화상 입어서 밴드 한동안 붙였다가 떼니 이런 흉한 자국이 생겨서 사라지지 않아요   이건 뭐고 어떻게 없앨 수 있나요,화상 입어서 밴드 한동안 붙였다가 떼니 이런 흉한 자국이 생겨서 사라지지 않아요   이건 뭐고 어떻게 없앨 수 있나요,응급의학과
28,화상입었습니다,패스트푸드점에서 튀김 튀기는 일하다가 바스캣이 팔에 닿아서 화상을 입었는데 병원에 방문해서 치료를 받아야 할 정도인가요  아니면 약이나 연고를 바르면서 집에서 치료하면 될까요 ,응급의학과
29,저온화상 흉터    ,겨울에 난로에 다리를 대고 있었더니 생겼는데 통증이 있거나 하지않아서 방치했는데 몇달이 지나도 흉터가 지워지지 않네요 없앨수있는방법없나료 혹시 미보연고가 도움이될까요,응급의학과
30,화상 후  개월  통증이 심합니다 ,어머니께서     년  월에 불에 탄 비닐에 팔꿈치 부위에 화상을 입었습니다  집이 제주도라 화상전문병원이 없어 일반외과에서 약 일주일간 입원하시고 거기서는  도 화상이라고 함  퇴원하셨고  별의별 방법으로 상처치료 하셨습니다  화상이 심해서 통증을 그닥 못느꼈는지는 모르겠지만 그간 상처로 인한 통증만 있다가 새 살이 돋아나면서 작년   월 부터 팔꿈치 부위   cm정도가 칼로 베이는 듯한 통증을 느껴 잠을 제대로 주무시고 못하고 계십니다  올해  월에 부산 화상전문병원에 가보니 초기 치료가 제대로 되지 않았다고 하며  수술 할 단계는 아니고 겔시트를 붙인 후 압박토시를 하라고 하였습니다   본인은 답답해서 그런지 며칠 안하고 벗은 후 통증 때문에 한의원가서 침도 맞아보고 혈 돌리는 데 가서도 관리도 받아봤는데  계속 통증이 심해 잠을 못 주무시고 계십니다  원래 화상 통증은 오래 가는 거라고 하긴 하는데 화상이 발생한지  개월이 됐는데도 심한 통증이 계속되니 보기에 안스럽습니다  화상 성형은 안해도 되니 통증만 나을 수 있으면 좋겠습니다  혹시 유사 사례로 치료 받으신 분이나 관리를 어떻게 하면 좋은지 아시는 분 있으시면 노하우 부탁드립니다  현재 팔꿈치 상태입니다 ,응급의학과
31,머리를 부딪혔는데,오늘 점심쯤 뭐가 떨어져서 줍다가 무거운 철에 머리를 크게 쿵  부딪혀서 아팠습니다    부딪힌 부분은 뒷통수이긴한데 왼쪽 정수리 밑쯤 이고 정수리와 뒷통수 사이  이구요 무거운 통으로된 철이라 엄청 아팠어요 아프고 조금 어지럽다가 괜찮아지더니  이렇게 밤이 되니 너무 아파서요   바로 진료 받아볼걸 후회되네요   지금 뭔가 왼쪽 얼굴이 재리다고 해야나  머리통이 싸해요 하  내일 진료 받으러가면 될까요  아니면 응급실을 가야될까요 ,응급의학과
