,15,16,17
0,발톱이 이상하게 자라요  ,언젠가부터 소지발가락 발톱만 상태가 이상해졌는데 왜 이런걸까요    치료법좀 알려주세요,가정의학과
1,화이자  차 백신 부작용,안녕하세요 어제 화이자  차 백신을 맞은 학생입니다  제가  차 백신 화이자  맞았을때는 정말 멀쩡했어요 타이레놀도 안먹고 아픈곳이 한군데도 없었는데 상술한대로 어제  차를 맞고나서 맞은 당일날은 멀쩡했는데  새벽에 어쩌다가 눈을 떴는데 갑자기 오한이 엄청 들어서 타이레놀  시간짜리를 먹고 잤어요  그런데 일어나서 보니까 열이       도로 올라가서 오전   시쯤 다시한번  시간짜리를 먹었습니다  아침에는 열만 났다면 오후에는 머리까지 조금씩 아파지더군요  머리가 쿵쿵 뛰는 것 처럼 아파서 열을 쟀더니       가 나왔어요  그 뒤로 한  시간쯤 자고 일어났더니 땀이 나있더라구요  그래서 살짝 안심하면서 일어나서 다시한번 열을 쟀더니       이 나와서 놀랐습니다  흔히 말하는 몸살기가 도는 것 같구요  그래서 지금 타이레놀    밀리그램을 먹었습니다  그리고 그냥 쉬고 있는데  제가 알고 싶은 것은 열이 계속 올라가니까 무섭고  또 언제까지 이렇게 아파야 하는지 알고싶어서 글 올려요  한숨 다시 자고나면 내일 아침에는 나아질까요  옆에서 가족들이 죽을까봐 무섭냐고 놀리는데 전 걱정이돼서  빠른 답변 부탁드립니다 ,가정의학과
2,스케일링 할때 물을 삼킴  ,스케일링 할때 물을 모르고 삼켯는데 그뒤부터 지금까지 거이 한달 가까이 목에 가래가 너무 자주생기고 불편해요   ,가정의학과
3,코로나 걸렸는데 음성,코로나 걸렸는데 음성으로 나올수가 있나요 친척집에서  일동안 지내고 집으로 갔는데 친척이 코로나에 걸렸대서 검사를 받았는데 음성으로 나왔어요 그러고  일  이 지났는데 두통이랑 열이 나고 목이 부었어요  코로나 일까요  ,가정의학과
4,코로나 증상인가요,안녕하세요 독일사는 학생입니다 이틀 전부터 목이 심하게 아프더니 마른 기침이 나오고 드랬어요 근데 제가 환기를 자주 시켜서 방이 정말 춥습니다 근데 그냥 장판 침대에 깔아놓고 잤는데 자기 전부터 온몸이 으스스 떨이면서 추웠어여     이였나 그렇게 잠 설치면서 자는데 아침에 일어나니까 머리가 지끈거리고 열나는 것같아 재보니까     나오네요   분정도 기다려도   도이하로 내리질 않습니다 일단 타이레놀  알 먹고 누워있는데 단순 오한이나 열이 난 걸까요 아니면 코로나에 걸린 걸까요 최근에 주변에서 하도 코로나가 많이 걸려서 제가 굴려도 이승하진 않늘 정도이긴 합니다   ,가정의학과
5,B형간염 결과값좀 봐주세요 ,HBs Ag정밀   Negative       HBS Ab정밀   Positive         이게 무슨뜻인가요  쉽게 풀이해서 설명해주세요  ,가정의학과
6,겨드랑이 통증 윗배 볼록 답답 어느 과,오른쪽 겨드랑이가 좀 붓고 아파요 근처에 갈비뼈 날개뼈 등 통증도 있어요 림프절이 부은건가요  다리나 무릎 뒤쪽도 가끔 아파요  자고 일어나면 머리가 묘하게 아프고 자주 편두통이 생겨요 먹는 양은 줄었는데 윗배가 빵빵하고 답답해요  검사 받아보고 싶은데 어느 과를 가야할까요 ,가정의학과
7,도와주세요  ,자가격리중입니다    아침에 화장실에서 씻고나왔는데 마스크를 벗었거든요 씻는내내 입 안열었어요 그  바이러스  묻거나 그런거 없겠죠       동생이랑 같이사는데 지장없겠죠   ,가정의학과
8,비타민 d 햇빛이요 두꺼운 옷입고 햇빛 받으면 비타민 d생성에 아무런 영향 없는거 아닌가요 ,요즘 같은 겨울에는 낮 돌아다녀도 무의미하는거 아니에요  옷이 두껍잖아요 ,가정의학과
9,팔이 따끔하면서 아프고 뭔가에 스치기만해도 아파요,팔이 옷에 스치기만해도 따끔거리면서 아파요   팔을 봤는데 상처 하나없고 깨끗한데 왜그럴까요 ,가정의학과
10,카페인   ,카페인이든 녹차나 커피 이런거 조금만 마셔도 갑자기 답답하고 심장이 빨리뛰고 불안해져요  한번씩은 심각할정도로 숨쉬기도 힘든데 왜그런가요 ,가정의학과
11,백신 부작용 비만이랑 관계있나요   ,제가 좀 많이 뚱뚱한데    곧 백신을 맞는데 혹시 비만이랑 부작용이랑도 관계가 잇나요     ,가정의학과
12,질병분류기호 문의,질병분류기호  M        병명이 무엇일까요   지금은 쓰지 않는    코드라고도 하는데  이 코드로 분류된다는건 뭘까요   검색해봐도 나오질 않네요  답변 꼭 좀 부탁드러요 ,가정의학과
13,백신 차 접종전 운동,예비 고 입니다  내일 백신 차를 맞는데 오늘 줄넘기   분하고   분 뛰었는데 이정도면 심한 운동도 아닌것 같은데 아무일 없겠죠 ,가정의학과
14,백신부작용 피,저희 엄마가   대 폐경을 하셨습니다  일전 백신  차 부스터샷을 맞고 당일 날 아랫배에 통증을 호소했고 피가 나온다고 했습니다 백신 부작용 일까요 아니면 몸에 이상이 있는 걸까요 병원을 가자고 해도 절대 안 가신다고 그러네요 큰 문제일까요  만약 병원을 간다해도 어딜 가면 좋을까요 ,가정의학과
15,코로나 검사,식구중 한명이 어제  일 친구를 만나고왔는데 그친구가 며칠전에 만났던 다른친구가 코로나확진이라서 어제 만났던 그친구도 소식을 듣고 코로나검사를 받고왔다고 하는데 결과는 아직입니다  이런경우 우리집도 모두 격리들어가야할까요   일단 그소식을듣고 모두 일찍돌아와있긴한데 당장 내일출근은 어찌해야할지  그리고 지금 코로나 검사받으면 진단이 제대로 나을까요    날짜가   잠복라는것도 있다고하고 여러모로 머리가복잡합니다  조언주세요  만약 확진자를 만나고왔다면 다음날바로 양성결과가 나오나요 ,가정의학과
16,승마살 질문 드려여,승마살 생기는 이유가 걸음걸이랑 골반틀어짐이랑 식습관 때문이라 하는데 이 중에서 골반틀어짐이 계속 있으면 살을 빼도 그대로 인가요      ,가정의학과
17,코로나 퇴소 전날 증상   이 나타날까요,제가 코로나 확진되어서 센터에 있다가 이제 이틀후  즉   일에 퇴소 하는데요   지금 열도     이고 가래나 기침  인후통 같은 증상은 하나도 없어요  지금 걱정이 되는건 내일이나 퇴소날 열이 갑자기 오를수도 있을까요    사람마다 다르겠지만 너무너무 불안해서요   열은 하루이틀정도 아프고 일주일이 지난 지금 열은 안나는데도 갑자기 날까봐      너무 퇴소하고 싶어요 혹시 그러신분 있으실까용   ,가정의학과
18,코로나 확진 질문이요 ,어디 물어볼곳도 없고 답답하고 놀란 마음에 글을 올립니다  올해   살 남아로 만  세입니다  다니던 학원에 확진자가 나와 시간이 비슷하여 검사 권유 받으러 갔는데 오늘 양성판정 나왔어요  엄마인 저도 같은 양성이 나왔어요  저는 딱히 이렇다할 증상은 없는데 아이가 검사 받고 와서부터 고열에 시달리고 있어요      도까지 올라가서 해열제 먹이고 수건으로 몸닦아 주는것 밖엔 할수가 없어요  잔기침도 하는데 가슴 통증을 물어보니 기침이나 숨쉴때 간질간질한 느낌이 난대요  열도 잘 안떨어지고 증상이 악화 될까봐 너무 겁이나고 걱정이 되지만 아이가 더 놀라할까봐 괜찮다고 달래주고 있어요  이렇게 어린아이가 확진이 되어 고열로 고생하신분 있을까요  확진 문자만 주고 아무 조취도 없으니 정말 속이 타들어가요     제발 비슷한 경험 있으신 분들이라도 계신다면 답변좀 부탁드려요 ,가정의학과
19,말싸움하다가 갑자기 휘청 거렸는데 병원 안가도 되죠  ,동생이랑 말싸움하다가 도중에 무의식적으로 앞 뒤로 머리가 흔들렸는데 혈압이 올라서 그런거겠죠  ,가정의학과
20,코로나 증상 제발,오미크론 증상에 두드러기가 나는 중세가있던데 오늘 아침부터 두드러기가 나기시작했습니다  딱히 코로나 오미크론  증세와 연관된 열 기침 등 이런 증상은 전혀 없습니다  그라서 자가진단을 해보니 음성결과가 나왔습니다  그냥 안심하고 샹활해도 될까요   두들거기가 원래  년에  번 정도 나는 수준입니다 정확한 답변 부탁드려요     ,가정의학과
21,선별진료소 PCR검사 서울 ,학교에 확진자가 나와서 코로나 검사를 선별 진료소에서 가능한가요  방역체계가 바뀌어서 헷갈리네요,가정의학과
22,백일해 항체검사 ,백일해라는 예방접종 종목이 있는지 몰랐다가 최근에 애 낳은 친구가 말해줘서 알은  인 입니다   제가 최근에 백일해를 맞았는지 안맞았는지 몰라서 아기 있는 집안을 잠시 들러다가 빠져나왔습니다   그 친구 아기 아녀도 앞으로 볼 여러 친구들의 아길 위해 짚고 넘어가야할 부분이라 판단이되는데요     어릴 때 맞았는지 엄마 뱃속에 있을 때 맞았는지 모르는데 그냥 바로 접종을 해도 될까요 ,가정의학과
23,코로나 백신 맞아도 괜찮음 ,님드라 제가 천식이 있는데 코로나 백신을 맞아도 괜찮을 까요 ,가정의학과
24,건강검진 크레아틴키나아제 수치가 높다고나왔는데요 내공 ,안녕하세요   살 요식업하고있는 남자입니다  얼마전 건강검진을 받았는데 병원에서 크레아틴키나아제 수치가 정상수치가    인데    이 나왔다고 재검받으라고 연락이와서요  검사받기전에 일이 좀 고되고 헬스도 같이병행하긴했고든요    이면 많이 높은건가요   높다면 대충 어디쪽에 문제가 있는걸까요 ,가정의학과
25,어떤 면역 관련 의사쌤이 그러는데 백신 맞으면,확산세가 오르는게 의학적으로 당연하다고 하는거같던데 정확한가요    백신패스 관련 해서 반박하는 내용 영상이였습니다 ,가정의학과
26,백신 접종후 소염진통제 복용했는데 주기적 으로 상복부 통증,백신 접종후 소염진통제 복용했는데 복부가 주기적 으로 통증이 발생하는데 원인과 방법이 있는지요  참고로 저는 만성 위축성위염과 장상피 화생이 있습니다 감사합니다    ,가정의학과
27,코로나 신고하는 법,코로나 신고하는 방법 아시나요  전화로 말하긴 좀 그런데 자료 제출 같은 것도 다 할 수 있습니다 무슨 방법 없을까요,가정의학과
28,혹시 장염일까요 ,제가 햄버거를 먹고 소화 불량인 기분이라 소화제를 먹고   알  잤습니다 오늘 새벽에 토를 하고 설사를 할 거 같은 느낌이 들었는데 약간 토끼똥처럼 변이 진짜 조금 나오고 화장실에 가도 가스만 나오더라고요  그 다음 열도 나고  어지럼증  오한이 드는데 이거 장염일까요  ,가정의학과
29,식욕억제제 복용중인데 건강검진,일반건강검진 받을 계획인데요 식욕억제제를 장기 복욕중이여도 상관없는건가 해서요 현제도 복용중이고  지금 일을 쉬고 있어서 검진받아보려고 합니다,가정의학과
30,디에타민 처방방법,안녕하세요 현재 단기간에 다이어트를 할 일이 생겨서 디에타민을 처방좀 받으려고 하는데 일반 내과에서 처방해달라고 하면 해줄까요  부작용도 알려주시면 감사합니다 ,가정의학과
31,압박스타킹 배아픔,서서 일하는 직장인이라 발목부터 종아리까지 오는 의료용 압박스타킹을 구매했는데 옛날에도 압박스타킹을 신고 일하다 배가 아팠던적이 있어서 안신었다가 다시 구매해서 신고 있는데 또 배가 아픈거 같아요 압박스타킹이랑 배아픈거랑 관련이 없지 않나요     다리 혈액순환이 잘 안돼서 종아리 저림이 심해서 신고 일 하고싶은데 이렇게 배가 계속 아프면 못신을거 같아서요   압박스타킹이랑 배아픔이랑은 상관 없죠 ,가정의학과
32,겨드랑이 멍울,안녕하세요 중  여학생 입니다 이틀  전부터 겨드랑이가 쓰리더라구요 처음에는 쓸렸나 했는데 오늘 보니까 지름이 약 cm보다 좀 더 큰 멍울이 만져지더라구요 팔을 붙이고 있으면 약간 열감도 있는 것 같구요 저희 엄마께서 유방암에 걸리셨던 적이 있으신데 왜 생긴 걸까요     만지거나 닿으면 아프고 구슬처럼 만져져요 아 그리구  원래 가슴 가운데 몽우리  같은게 만져지는게 정상인가요 ,가정의학과
33,빈혈 검사 결과,이번에 건강검진 했는데 혈청철      높음  UIBC    낮음  철포화율    높음  TIBC     정상  이외에 혈액검사는 정상으로 나왔습니다  걱정할만한 수치인가요   건강검진 전날에 바빠서 아침 조금먹고 그 이후에 계속 굶었습니다  잠도  시간도 못 잔 상태에서 검진받았는데 이런 요소가 빈혈 검사에 영향이 있었을까요 ,가정의학과
34,쇄골 불편,안녕하세여 몇일전부터 쇄골이 마침 튀어나올듯이 뭔가 밖으로 땡겨지는 느낌  이럴때는 어떻게 해야하나요  반신욕을 해여하나요  아니면 파스를 붙혀야 하나요 ,가정의학과
35,자다가 갑자기 승모근에 통증이 생겼습니다 ,  오늘 자다가 갑자기 승모근에 통증이 느껴져서 깼습니다  계속 아프고 숨쉬기가 힘들어서 괴롭습니다  숨쉬기 힘들어서 잠 못드는 것도 짜증나는데 가장 큰 문제는 몸에 힘을주면 승모근 통증이 점점 커진다는 것입니다      어떤 증상인가요 ,가정의학과
36,이거 코로나 증상인가요 ,어제 학원에 확진자가 발생해서 학원샘들 모두 확진검사를 했는데 한 분이 양성이 나오셨어요  근데 저도 어제부터인가  그저께부터 속이 좀 더부룩하더라고요  갑자기 이래서 코로나인지 잘 모르겠는데  위가 좀 공기로 꽉 찬 느낌  엄청 아프거나 하진 않는데 좀 아파요   열도 좀 있다고 하고 ,가정의학과
37,남자지방흡입 질문이요,요즘 밖에 못나가고 집에만 있다보니 살이   kg정도 찐거 같아요    유독 뱃살이 심한데 바지가 잘 안맞아서 살을 빼야 할판이에요  식단하고 운동은 생각만큼 잘 안되네요    그래서 남자지방흡입 해볼려고 하는데 복부만 할수 있을까요 ,가정의학과
38,눈 앞이 하얘지고 어지러워요,앉았다가 일어나거나 누웠다 앉을때 일어설때 눈 앞이 하얘지고 어지럽고 머리가 띵 해요 병원 가야하나요  내공    드려요   ,가정의학과
39,다이어트 강박증인데 키크고싶어요 도와주세요 ,안녕하세요  개월동안   kg을 감량한 초등학생입니다  전 다이어트 강박증이 있습니다  맨날 체중계에 운운하며 살고 밥먹고 체중계에 올라갔을때 몸무계가 늘어나있으면 스트레스를 받고먹토 욕구와 우울감이 들때가 수시로 있습니다  매일 전해둔 운동을 하지 않으면 자책감이 들고  심할때는 왜 살지 까지 생각해본적 있습니다  이제 그런행동들을 그만하고싶어서 올려봅니다  다이어트 식단을 주로 먹고 많이 배고프지 않을때는 굶습니다  키가 크려면 단백질 섭취가 중요하지만 이런 제 습관 때문에 키크는것에 불가능할거같습니다   생리 시작한지  년 하고 개월정도 됐습니다  어떻게 해야 스트레스 안받고 키가 클수있을까요  키가 클수는 있을까요   ,가정의학과
40,건강검진결과 질문,  살 여자인데요         우하엽 폐결절  mm  흉선비대 중등도 지방간 소견  이렇게 결과 나왔는데 우하엽 폐결절은 무슨뜻인지  중등도 지방간이면 얼마나 위험한지   알수있나요   아버지가 간암으로 돌아가셨는데 유전일가능성이있나요  이슬 톡톡 한캔먹고 취햐요    저는  술잘안먹는데 왜 지방간이 생긴건가요 ,가정의학과
41,역류성 식도염이면 이런 증상들이 있나요 ,장난스러운 답변이나 광고성글은 삼가 부탁드립니다   글 내용이 많을수도 있으나 내용 정독 후 답변 부탁드리겠습니다  아직까지도 고생을 하고 있고 여러 병원을 다니면서 검진을 해보았지만 뚜렷한 병명이 없는 상태이며  약을 복용하고 있지만 호전 또한 없는 상태입니다  그러니 제발 장난스러운 글이나 광고성글은 제외하고 제대로된 답변 부탁드리겠습니다      화이자  차 백신 접종 후 그날 저녁 잘려고 누웠더니 오한 및 가슴두근거림  통증이 발생하여 대학병원 응급실 내원하여 피검사  심전도  MRI 검사를 하였으나 이상 소견이 없어 퇴원하였습니다      차 접종 시 팔 뻐근한 정도만 있었고 나머지는 이상 없었음     차 접종 후 대기 시간동안 이상 없었고 집에 와서 밥먹고 타이레놀 먹고 취침 후 외부 활동하고 자기전에 타이레놀 섭취 후 취침함     그 뒷날 다른 병원을 방문하여 심장 초음파  심전도  MRI 재 검사 후 이상 소견이 없었습니다      자택에서 휴식 후 회사 출근을 위해 주말에 회사 기숙사에 올라와서 취침하다가 새벽에 코피가 났었고  코피를 정리하고 다시 잘려고 하니 가슴두근거림 증상 및 호흡이 가쁜 증상 재발하여 응급실 재방문하였고 똑같이 심전도  피검사  MRI 검사 시 이상소견 없었습니다      경기도에 있는 대학병원 재방문 후 위장약 먹으니 가슴두근거리는 증상이 없어진것 같아 집 근처 병원으로   번에서 검사 했던 병원  가서 경기도에 있는 대학병원에서 위장약 처방받고 괜찮아 진것 같다고 하였고  위내시경 검사를 진행함  위 내시경 검사 시 담즙이 많이 올라와있다고 하여 제거 하였고  위장약  소화불량 관련 약  가슴 두근거림 줄여주는 약  인데놀정  등을 처방 받아서 복용하고 있음     경기도에 있는 대학병원 재방문하여   시간 홀터 검사  MRI  심전도 검사를 진행하였고 응급실을 많이 다녔다고 하여 위장약 처방 받은 후 귀가함    검진 결과는 회사 출장으로 인하여  달 이후에 결과를 들었고   시간 홀터 검사 중 제가 아프다고 느낀적이  번 있었는데 그것을 기록한 결과로 보았을때  번 정도 부정맥 처럼 보이는게 약하게 나타났다고함   번 병원에서 처방받은 약이 있으니  달 이 후 다시 검사 해보자고 하여 약 복용하며 있는 중   마지막  번  번의 내용은 경기도에 있는 대학병원 먼저 방문 후  번 내용으로 이어지는 부분 입니다     현재 먹고 있는 약  약을 바꿔가면서 먹고 있지만 하기에 작성한 약으로 현재  달 가까이 먹고 있는 중     가스모틴정 mg  인데놀정   mg  무코스타정  바이오탑디캡슐  란스톤엘에프디티정   mg    현재까지 증상    가슴 두근거릴려고 하는 증상  가슴 뻐근함  현재는 없는것 같음   가슴답답  왼쪽 가슴 통증  쿡쿡 하는 느낌   왼쪽 오른쪽 날개뼈 및 등 중앙쪽 통증  목이 쪼이는듯한 증상  가끔   가슴을 압박하는 듯한 동작을 하면 답답해지고 두근거릴려고함     월   일 금일 느낀 증상    회사 퇴근 후 가슴이 탁 막히는듯한 느낌과 동시에 숨쉬기 어려움  잠깐     문의사항    상기 내용을 보았을때 역류성 식도염도 동일한 증상들이 있는지     역류성 식도염을 제외한다고 하면 어떤 병과 증상이 비슷한지     역류성 식도염 or 다른 의심가는 병이 있다고 하면 어느 병원에서 진료를 보는게 좋은지 ,가정의학과
42,NSAIDS 소염진통제랑 위장보호를 위해같이복용하는데 가장 효과적인 위장보호 개념의 약 어떤걸 복용하는게 가장좋나요 ,NSAIDS 소염진통제랑 위장보호를 위해같이복용하는데 가장 효과적인 위장보호 개념의 약 어떤걸 복용하는게 가장좋나요   그런데 될수록 위산억제제는 피하고싶습니다 제가 위산억제제는 소화에 방해가되고    다른 위장보호 개념의 약 어떤걸 복용하는게 가장좋나요 ,가정의학과
43,총 콜레스테롤 수치 관련 질문,총 콜레스테롤     중성지방이    hdl 콜레스테롤이     키    에 몸무게     저밀도 콜레스테롤 수치가 얼마인지 총 콜레스테롤 수치가 위험한 수준인지 그리고 수치 관리가 필요하다면 어떻게 관리를 하면 좋을지 알려주세요   아 그리고 중성지방 수치는 반년전에는   였는데 수치가 낮아졌는데 심각한건 아니겠죠 ,가정의학과
44,식이장애 어떡하죠,안녕하세요 저는 올해   살 학생입니다 곧 고 네요 초등학교  학년 때까지는 뭘 얼마나 먹든 살이 잘 짜지 않아 별 생각이 없었고  학년때 처음으로  년사이    키로 가량이 쪘어도 그냥 먹은만큼 꽤 쪘다고만 생각했었습니다  그후 제가 중 이 되어 점심 먹고 친구따라 동네병원에 갔다가 그냥 궁금해서 키 몸무게를 쟀었고    에   정도 되었는데 그때 제가 제가 친구들에 비해 너무 몸무게가 많이 나가는거 같아 처음에는 간식을 줄였습니다  그리고   키로 정도되었을때부터 점점 밥양도 줄이게 되었고 운동도 항상 먹은 것 칼로리를 다 태우기위해 엄청 했습니다  하지만 그때까지도 외식이나 약속있을때는 잘 먹으러 다니고 즐거웠습니다 소화불량으로 잘 때 속이 좀 더부룩해서 고생했지만요  그러다가 중 여름 이후 점점 제가 식이장애 증세를 보이더라고요 그러다가 중 이 되어서는 훨씬 심해지고 말았습니다  보통 식이장애하면 생각하는 증상 모든 것이 한꺼번에 왔다고 생각하면 될거 같아요  별로 적고 싶지는 않습니다 먹고나서 속에 음식물이 있으면 그냥 괴롭습니다   잘때도 배부르면 너무너무 짜증나서 항상 폭식하고 후회하고 밥은 안 먹고 입 심심함을 달래기 위해 더 칼로리 높은 간식거리들은 끊임없이 입에 달고삽니다   키로 정도 되었을때 건강이 염려되어 부모님과 병원에도 다녔고 살찌기 위해 억지로도 눈물을 흘리며 많이 먹었습니다 그래도 고쳐지지 않는 지 습관으로 아예 약을 지어먹어 그것만 먹었더니 옷입고도   키로라는 숫자를 보고나서 이건 저도 심하다는 생각에 이젠 즐겁게 먹어보자 해서 다시   까지는 찌웠습니다   까지는 잘 오다가   키로를 보니 더 찌우고 싶지가 않아서 아직도 식이장애를 앓고 있습니다 솔직히 제 몸은 정말 볼품없기 때문에 찌우고 싶습니다 키도 안커서     그대로이고 갈비뼈도 앙상하며 가슴은 빈약하고 허벅지는 얇고 배만 볼록 제기준 합니다  그올라가는 숫자가 왜이리 보기 싫은지 그냥 숫자일 뿐인데  그렇게 아직까지도 이어지고 있는 이 생활에 정말 죽고 싶도록 제가 싫습니다 중학교때는 병원 다니고 치료 받아서 공부에 소홀해도 쉬워서 조금만하면 성적이 잘 나왔는데 고등학교 올라오니 병원 안다니고 중딩때보다도 열심히하는데 성적은 오를 생각을 안하니 더 힘들고   공부할때도 배부르면 집중이 안되고 배고파야 잘되서 잘 안먹고 나가서 많이 걷고 운동해요   더 이상은 이러고 싶지 않은데 정말 어떻게 해야할까요  병원은 이미 다녀보았기 때문에 추천해주지 마세요  저는 정말 극복해서  키로는 무조건 찌우고 될 수 있으면 더 찌우고 싶습니다 자존감이 너무너무너무 낮아졌거든요,가정의학과
45,코로나 검사,제가 기침이랑 미열 나는데 코로나 검사 했는데 음성이 나왔는데 아직 미열이랑 살짝의 기침이 나와요 이거 뭐죠 친구 가족이 양성인데 친구가 음성인데 그래서 코로나 검사 받았거든요    만난지 한    일만에 증상 나타나서 검사 했어요,가정의학과
46,다이어트 방법,이제 중 올라가는 학생입니다 다이어트로 고민이 많은데요       인데 너무 살빼고싶어요 최근에 방학도 했고 코로나도 시작해서 더 살찌는것 같아요 작년에 비해서   키로정도 쪘습니다 너무 많이는 바라지도 않구요 근데 이제 중요한 시기니까 공부를 하니 같이 다이어트하기엔 너무 힘들더라고요 지금은 식욕이 제일 문제인 것 같아요 배불러도 더 먹고 제가 배부를때까지 계속 먹습니다 원래는 햄버거 하나도 다 못 먹었었는데 지금은 햄버거 더블사이즈를 먹고도 배고픕니다 오늘도 점심으로 밥먹고 라면 하나 혼자 다먹었습니다 위 작아지는 방법이나 음식 그만 먹는법 알려주세요 방학 끝나기 전 까지   키로 때로 가고싶은데 공부도 같이 할수 있고 건강하게 다이어트 하는방법 알려주세요 진짜 이대로 가다간   키로 될것 같아서 너무 무섭습니다 키커야한다고 살빼지 말라는 답변은 거절합니다,가정의학과
47,코로나 증상 ,원래 생리 할 때 설사는 하는데 이번에는 양쪽 팔 근육통이 심하고 토 할거 같고 소화가 안되요     열은 안나는데 설마  코로나인가 의심 되네요  이런 경우도 있나요 ,가정의학과
48,코로나 백신  차,팔 말고 다른 아픈곳은 없네요 정상이죠  ,가정의학과
49,점 빼는 방법 내공    ,손바닥에 점이 났는데 저번에 주사기 같은걸로 뺐는데 이번에 다시 생겨서  주뒤에 빼려고 다시 주사기로 해보니까 안되요   약국 같은데서 점 빼는 약 같은거 안파나요  알려주시면 내공     드릴게요 레이저 시술에 대한 내용은 바로 신고 합니다 ,가정의학과
50,귀에 물 빼는법,아까 워터파크가서  시쯤 나왔는데 아직까지 귀에 물이 안빠졌어요     물들어간쪽 귀로 누워서 자기도했는데 안빠지네요  아까 워터파크에서 집오자마자 면봉으로 귀후벼서 더 깊숙히 들어간느낌  물어케 빼죠     고개숙이고 한발로 콩콩뛰는것도 안 고 손으로 압력으 줘서 하는것도 안되고 귀를 옆으로해서 자는것도 안되고  휴지를 돌돌말아서 귀에 넣는것도 안되요    어떡하죠  귀가 손으로 막고있는거같이 잘안들려요  ,가정의학과
