,15,16,17
0,작년 직장인 건강검진 결과 유소견 검토 부탁드립니다  ,작년 말 건강검진 결과입니다   년 다 되어가는줄 모르고 바쁘게 지내다보니    뒤늦게 내용이 궁금해 열람해봤습니다   상복부 초음파 결과는 제가  년간 체중을   키로 이상 배면서 지방간 수치를 저하 시켰습니다만 하복부 초음파 결과와 갑상선 초음파 결과의 경우 제가  년 방치한 샘인데  혹시 늦어졌을 경우 크게 문제가 될까요   조만간 산부인과 내원 예정인데 갑상선은 어찌 확인해야 할지    조언 부탁드려요   ,영상의학과
1,췌장 MRI 검사시 치아 브릿지 문의드립니다  서울 강서   대중반 남 MRI ,췌장 MRI 검사를 받고 싶은데 치아에 브릿지가 되어 있습니다   치료 받은 치과에 문의하니 금속 성분이 포함되어 있고  여러 성분의 금속이 합쳐져 있다고 하는데 교정 장치와는 다르게 분리가 불가한 상황입니다   MRI 검사 진행이 가능할지 문의 드립니다 ,영상의학과
2, 개월 전부터 좌우측 종아리 근육경련으로 인한 심한통증을 호소하고 있습니다   경기도 남양주   대후반 여 종아리근육경련  통증 ,안녕하세요   세 어머니이고  년전 뇌경색으로 좌측편마비며 휠체어를 탑니다    개월 전부터 좌우측 종아리 근육경련으로 인한 심한통증을 호소하고 있습니다   하루에 한번이상 근육경련이 일어나고 있으며 짧으면    십분  길면    시간 근육경련이 반복되고 있습니다   집근처 병원 재활의학과와 신경과에서 약처방을 받고 복용하고 있으나 효과가 좋진않습니다   지인분 소개로 상담을 신청합니다 ,영상의학과
3,양다리 초음파검사결과 표재성혈전성정맥염과 정맥부전있고 전체적인 정맥상태와 정맥혈관벽이 좋지못하다고 합니다   남양주시   대중반 여 하지정맥류 ,오른쪽발목부분에 붓기와 발진 심한통증으로 병원에가서 봉와직염이라고 진단받아 항생제를  주동안 복용했지만 붓기만 가라않고 통증은 나아지질않았습니다   정형외과에서 진뢰의뢰서를 받아 혈관외과에 가서 양다리 초음파검사결과 표재성혈전성정맥염과 정맥부전이 있고 전체적인 정맥상태와 정맥혈관벽이 좋지못하다고 했습니다   최종적으로 막힌혈관부분은 제거나 폐쇄수술밖에 없고  현재는 정맥순환제와 압박스타킹착용을 하고 있습니다    년전부터 다리무거움과 피로감을 매일 느꼈고  년전에는 족저근막염 진단도 받아 약물치료만 해왔습니다    가지 수술방법중 고주파나 베나실 클라리베인으로 양다리 수술을 했을시 수술비용과 입원기간  입원시 보호자도 반드시 있어야하는지 알려주시고  수술날짜예약은 최소 몇일전에 해야하는지도 궁금합니다   빠른답변 부탁드립니다 ,영상의학과
4,폐와 간에 의학적 지식이 필요합니다,제가 얼마전에 종합검진을 받았는데여  흉부ct를 찍었는데 우하엽에  mm크기의 결절이 관찰된다고 하는데 폐결핵인가여  그리고 간에    cm크기의 저음영 병변이 관찰된다고 하는데 이것도 안좋은 건가여  간암인가여 ,영상의학과
5,CT 사진 관련질문 ,CT를 찍었는데요  CT를 찍은지  개월정도 지난거 같은데 다시 사진을 볼수있을까요  ,영상의학과
6, 년전 건강검진하고 콩팟 양쪽에 혹이있다하여 오른쪽은 물혹 왼쪽은  센칮정도에 혹이있는데 물혹이 아닌거같아  개월 추적관찰 했습니다   월 일, 년전 건강검진하고 콩팟 양쪽에 혹이있다하여 오른쪽은 물혹 왼쪽은  센칮정도에 혹이있는데 물혹이 아닌거같아  개월 추적관찰 했습니다   월 일 조명술ct찍구 결과나왔는데  미리정도 자랏고큰병원가서 검사를받으라고의사쌤이 암으로갈확률은  프로도없다시는데 불안해요,영상의학과
7, NEW  chest HR CT 검사 결과 좀 해석해주세요     급해요   ,진단검사 결과 하나씩 해석 좀 해주세요    급합니당     Report  Chest CT without CE    Finding    No dular opacity at RUL    Organzing pneumonia D D Lung tumor  Atelectasis of RML GB stone   No evidence of mediastinal mass No evidence of significant lyphadenopathy No visible pleural effusion,영상의학과
8,복부 ct 검사 결과 시간,방금 조영제 맞고 ct 를 받았습니다 받고나니  병원이 문을 닫을 시간이여서 마지막 순서로 내과 원장실에 들어가서 진료를 듣는데 원장님께선 정밀검사 까진   분이 걸린다고 합니다  근데 대충 봤을땐 간과 췌장에 문제는 없어보인단 말과 함께 영상의학과로 다시 가봤더니 아무 이상이 없다는 검사결과지를 받았습니다   전 그럼 검사 받자마자 정밀검사도 없이 그냥 정상이라는 결과를 통보 받은건가요 ,영상의학과
9, 추가내공 mri촬영 주기,제가 일주일 간격으로 조영제 써서  머리 mri 복부 간  mri   촬영이 각각 다른 병원에서 잡혔는데   둘 다 찍어도 몸에 이상 없을까요 ,영상의학과
10,대학병원 mri 찍은적 있는지 알수있는법,안녕하세요 저는  년전에 수술을 했었는데 어제 그냥 진료만 보고 나와서 물어보는걸 잊어서요 예전에 그 당시에 mri를 찍은적 있는지  자료가 존재하는지만 알고싶은데 이거도 담당의사 예약을 따로 해야하나요  외과 카운터   가서 얘기해도 이정도 확인이 불가한가요  ,영상의학과
11,흉부 x ray 촬영할 때 핸드폰,오전에 흉부 X ray를 찍었는데 바지 뒷주머니에 핸드폰을 넣어놨는데요  괜찮은가요  기기가 고장난다거나 결과가 이상하게 나오진 않죠 ,영상의학과
12,X ray와 CT 검사결과 해석좀 부탁드립니다 ,chest PA    Finding  Consolidation in the LLL             Conclusion  Pneumonia  LL CT   mild edematous wall thickening Rt  T colon   T ileum with small nesocolic LNs 내원하여 시행한 physical 상  low abdominal pain      tenderness       그리고 x ray를 찍었는데 왜 CT를 찍은 건가요 ,영상의학과
