,3,4,5
0,손가락이 쥐어지는건되는데 펴는게 잘안되면,왜 그런 현상이 있나요 ,재활의학과
1,발목 인대 파열,제가 군대에서 훈령을 뛰다가 발목 인대가 파열이 되었는데  심한 건 줄 모르고 방치해두다가 뛰질 못 하겠어서 민간병원 가서 주사치료  세트 받고 군병원으로 와서 mri 촬영을 했는데 발목 인대가 파열된 건 맞는데 불안정성이 있는 건 아니라서 외측 인대를 강화하는 운동을 군병원 와서 받으라고 했습니다  그래서 제가 그걸로 충분하냐고 물어보고 싶었지만 이미 나온 후여서 물어볼 수 가 없었고 저는 그대로 쓸쓸히 복귀하고 말았습니다   물론 물리치료를 받으러 가서 다시 물어볼 거긴 한데 혹시 이 쪽 관련인 분께 물어보고 싶어서 글을 남겨봅니다   인대 파열이란게 불안정성만 없으면 재활치료만으로도 뛰어다닐 수 있을 정도로 완치가 되나요   아니라면 수술을 받는게 가장 효과적인 선택이 맞는지도 궁금합니다  이 불쌍한 군바리를 도와주세요   ,재활의학과
2,Ict물리치료,허리에 협착이 있어서 물리치료를 받으러 갔다가 ICT라는 기계로 물리치료를 했는데  개를 붙였을 때 평소 더 아팠던 부위에 붙인게 더 자극이 있었습니다 기계가 움직일 때 마다 뭔가 번쩍거리는 느낌으로  이런 효과가 좋은건가요 아님 거기를 피해서 해달라고 해야하는건가요 이 물리치료가 협착에 도움이 될까요,재활의학과
3,뇌경색환자 코로나감염,저희 아버지가 뇌경색이 오셔서 병원에서 치료받으셨는데 퇴원후 재활치료를 위해 요양병원을가려고 했는데 오기전에 pcr검사받고 입소가능하다고해서 검사를받았는데 양성판정을 받았습니다 그래서 입소가 안되는데 코로나 격리환자 입원할곳이있을까요 보호자 없이  주일 입원해야됩니다,재활의학과
4,장애인등급가능한가요 ,엄지손가락지관절 절단입니다,재활의학과
5,군인 수술 재활 병원,국군 양주병원에서 수술 진단을 받았는데 병원엔 팔꿈치 전문 수술 군의관이 곧 전역이여서 수술 할 사람이 없답니다  수술 받을거면 곧 전역하는 군의관이 가는 병원으로 가 봐라 이렇게 말 했는데 그 병원이든  민간병원가서 수술 받으면 재활을 확실하게 보장 못해준다고 여기서 받아야 재활을 보장 해 줄 수 있다 해서 여기서 받고싶다 했는데 수술 누구한테 받을거냐고 해줄 사람이 없다고 합니다   국군 수도병원으로 가도 재활 보장을 못 해준다는데 어떻게 해야하나요    ,재활의학과
6,팔꿈치  삼두 통증과 운동 관련 질문드립니다 ,안녕하세요   과거에  년전쯤 취미생활 중 처음 팔꿈치쪽 통증이 왔었고  당시에 여러 병원을 다녔지만 크게 차도가 없었습니다  정형외과  한의원  통증의학과를 다녔으나 염증  인대 손상 등 얘기 후 약간의 치료    어쨋든 그 이후로 흐지부지 지나왔는데 최근에 헬스를 시작하니 이 팔꿈치가 말썽입니다   하체나 등 운동 시에는 문제가 없는데 가슴운동 시 프레스 동작에서는 가슴에 자극이 들어가기 전에 팔꿈치가 먼저 통증이 느껴져서 운동을 할 수가 없네요   최근 정형외과를 가서 엑스레이 찍고 진찰을 받아보니 뼈에는 이상이 없고 힘줄에 염증이 의심된다고 해서  주일간 염증약 먹고 물리치료를 받았습니다   허나  주정도 상체 운동을 안하고 다시 가슴을 운동해도 차도가 전혀 없네요    트레이너 얘기로는 팔꿈치보다도 삼두 근육이 문제가 있는거 같다고 합니다   현재 pt가 종료 되어서 새로 등록을 해야되는데요     제가 궁금한 것은    pt를 계속 하면서 치료를 병행하며 나아지길 기대하는지     혼자 운동을 하면서 완치할떄까지 가슴 운동을 하지 않아야 하는지     아예 운동을 쉬고 치료에 전념해야 하는지     물리치료 및 약물치료는 크게 차도가 없는데 장시간 받아야 하는지 아니면 주사를 맞아야 하는지   일상생활은 크게 문제가 없으나 운동 및 취미생활 할때 문제가 있어서요     운동을 계속 하고 싶긴 한데 장기적으로 봤을떄 어떤게 도움이 될지 알 길이 없습니다  모쪼록 조언 한번씩 부탁드리겠습니다  감사합니다  ,재활의학과
7,  대 관절이 아플 때,저는   대 중반이고 어렸을 때부터 많이 걷으면 발 목이랑 발등에 발가락 뼈 사이가 아프고 시간 지나면 괜찮아 졌어요 그러더니 작년 여름 때부터 발이 한 번 아프더니 어릴 때 없었던 발과 똑같이 손에도 통증이 오고 오늘은 무릎에도 오기 시작했어요   통증이 팔목 발목 무릎 쪽으로 오는 데 약간 시린  느낌이 들고 제가 잘 때 아파서 잘 못 잘 때가 있었어요 근데 제가 요족 발이기도 보통 체격이라서 혹시 무거워서 그런가 싶었는데 초등학교 때 까지   키로 초반 체중이였기에 무거워서 그런건 아니거 같더라고요 스트레스도 받긴 받는데 심하게 힘들 정도로 받은 적이 없어서 스트레스도 아닌거 같아요   진짜 어렸을 때 보다 통증도 여러곳에서 오니까 너무 힘들고 병원을 어디로 가는 게 좋을 지 고민입니다  ,재활의학과
8,종아리 운동을 하면 변욕이 생기는데 왜이런거죠  ,건강에 문제있는건가요   농담하는게 아니고 최근에 운동 루틴에 카프레이즈를 추가했는데요 카프레이즈 몇 세트 하고나면 운동 중간부터  변욕이 엄청 생깁니다 운동하기 힘들정도로   그렇다고 진짜 마려운게 아니고 보통 아침에 해소하고 외출하거든요  무슨문제죠      이유가있나요  ,재활의학과
9,팔이랑 다리가 허하게 아파요,어렸을 때부터 가끔씩 다리랑 팔이 허하게   아플 때가 있었는데 요즘따라 잠을 제대로 못 잘만큼 통증이 심해져서요  제가 아직 학생이라 성장통이 아닐까 생각도 해봤는데 뼈가 쑤시는 느낌은 없고 그냥 팔다리 근육에 힘이 빠지는 듯한 느낌이 들면서 아파요  요즘은 화끈거리는 느낌도 들고요 혹시 무슨 문제라도 있는 건가요  ,재활의학과
10,친구들 선톡,제가 이번에 새로 친해진 애들한테 선톡 하랴고 하는데 선톡하면 갑자기  이렇게 반응할 거 같기도 해서 어떤식으로 선톡해야 자연스러울까요 ,재활의학과
