,18,19,20
0,흉부 ct 검사 판독 부탁드리겠습니다,폐렴으로 고생한후 검사한 흉부ct 결과지 입니다  결과지 판독이 궁금합니다,영상의학과
1,대학병원 ct 자료,제가 대학병원 치과에서 턱관절 ct를 찍었는데 다른 치과 갈 때 의사 선생님한테 ct 찍은 거 보여드리고 싶은데 대학병원 치과에서 찍은 ct 개인적으로 받아볼 수 있나요   받아볼 수 있으면 치과에 연락해서 직접 받으러 가야 하나요 아님 보내주시나요  ,영상의학과
2,무슨검사 인가요   ,MRI stroke  BWI  FLAIR  GRE   기본검사 동시실시 MRI angio carotid  Enhancement  MRI Brain MRI angio Brain Prohance inj   ml   ,영상의학과
3,병원에 MRI 찍었는데 CR MR,허리디스크와 과 고관절 이 아파 MRI 두군대 찍었는데  그안에 MR은 MRI같은데  CR은 뭔가요   CT인가요   뭔가요  ,영상의학과
4,간유리 음영 추적관찰 중입니다 , 년째 폐ct 매년 찍고 있는데 올해 검진에서 간유리 음영  mm발견하여 흉부외과 진료를 봤어요  크기 모양 변화가  년째 없어서 추적관찰만 하면 될 것 같다 하시고  걱정되어 여쭈니   이게 선암 전단계로 선아미 씨앗일수도 있고 아니면 더 긴 시간 변화 없을시 섬유증으로 추정할 수도 있다  지금은 갑자기 크기가 변해도    년은 걸릴 것 같고 악성 보다 아닐 확률이       라고 본다   궁금한건 제가 순수 간유린데 뒤에 기관지 영상이 껴서 비어 보이나 실제 결절은 아닐 것이다 했어요  영상 보기에 순수간유리 맞죠   그리고 이렇게 변화없는 간유리의 경우도 나중에 선암으로 클 수가 있는지   확률적으로는 어떤가요  평생 모르기에 관찰만 죽을때까지 해야되는건가요 ,영상의학과
5,Ct촬영 질문,기본적으로 Ct촬영하면 흉부 복부 다해주나요   이번에 백신부작용으로 숨쉬는게 힘들어서 응급실갔을때 ct촬영을했는데 흉부만한건지 복부도했는지 궁금하네요  제 기억으로는 촬영할때 깊게들어가기도 한거같은데  끝나고는 의사선생님이 장기에는 문제없다고하신거보면  복부까지 찍은걸까요,영상의학과
6,뇌에 대한 질문,네가 뇌 mri에서 소뇌가 약간 밑으로 쳐졌다고 하는데 그것 때문에 두통이 자주 오나요 그리고 예전에 뇌진탕 진단한번 받았고 최근엔 없었지만 예전엔 머리에 충격이 만,영상의학과
7,머리중간부분쪽통증,교수님안녕하세요     년도  월  일쯤에교수님한테두개골과혈종제거수술한사람입니다 수술이후일상생활시작하면서우울증과두통이와서교수님한테 몇번호소하며 정신과약을복용하고있습니다  작년 월달에 병원가서 CT검사했는데지주막하낭종이라고 하시더라고요 아픈 부위는 머리중간부분쪽부터 왼쪽머리수술한부위도 아프고요 약을 먹으면 덜아프다가 안먹으면 아프고 합니다  CT찍은 사진보내드릴께요 ,영상의학과
8,Brain MRI   MRA 결과 해석 부탁드립니다 ,       Brain MRI  MRA     MRI of Brain Clinical history headache 후두부통증  Sequences  Axi T   FLAIR  Gradient echo image  Coronal T WI  Sagittal T WI and MRA No contrast study  There are a few nodular T   in both FLAIR High SI   T  low periventricular deep white matter along both frontoparietal lobe DDx chronic nonspecific ischemic change  There is mild asymmetric enlargement of  Lt lateral ventricle body   slight off midline of septum pellucidum but temporal horn  frontal horn is symmetry without dilatation There is no evidence of abnormality in size  SI in basal ganglia such as atropy gliosis  There are no abnormal mass like lesion nor torous signal void representing tortous vascularity in both CPA  Incidentally noted both maxillary  ethmoid sinusitis and dehiscence of lamina paphyrace  Rt showing herniated orbital extraconal  fat and medial rectus muscle  Rt  No extraaxial space widening is noted On MRA aplastic Lt ACA A   but relatively well noted distal branches by anterior communicating A Both ICA MCA Rt ACA PCA  vertebrobasial A are unremarkable  Otherwise unremarkable   IMP   Chronic nonspecific ischemic change in both frontoparietal lobe          Mild asymmetry lateral ventricle  Lt Rt without adjacent basal ganalia gliosis  atropy                   DDx normal variant can cause headache           Incidentally noted both maxillary  ethmoid sinusitis and dehiscence of lamina paphyrace  Rt showing herniated orbital extraconal  fat and medial rectus             muscle  Rt           On MRA aplastic Lt ACA A   but relatively well noted distal branches by anterior communicating A REC Clinical correlation and F U  if clinically warranted   급하게 해석 부탁드립니다    ,영상의학과
9,뇌 MRI 결과   우측 뇌 운동담당분야,뇌 MRI 결과   우측 뇌 운동담당분야가 까맣게 나온다고  정밀 MRI받아봐야된다는데    어떤 병명이 가능성이 높을까요   MRI찍는데도 시간이많이걸리고  나오는데도 시간이 걸리니   미리 짐작이라도 하고싶네요,영상의학과
