,15,16,17
0,확진후 외출을 할경우 예전엔 위치추척기 등등 있다고 하던데  월 일자로 그건 없어졋다는소리는 들었습니다 그런데 자가재택자가 외출시 어떻게 위반됫,확진후 외출을 할경우 예전엔 위치추척기 등등 있다고 하던데  월 일자로 그건 없어졋다는소리는 들었습니다 그런데 자가재택자가 외출시 어떻게 위반됫는지 확인 하는지 알려주세요,재활의학과
1,재활병원 경과기록지상에,household ambulation with care giver supervision   이라고 기재되어있는데 감독하 보행한다는 말일까요  ,재활의학과
2,누우면 목이 너무 불편해요  ,제가 거북목  라운드 숄더  온몸이 비대칭에   뭐하나 바른데가 없거든요 학생이라 하루종일 앉아있기도 하고   잘때라도 편하게 자야하는데 베게를 높지 않은걸 베도  높은걸 베도  아예 안베어도 목이 너무 아파서 못자요  자세를 바꾸면 또 괜찮은 것 같다가 몇분 있으면 다시 한쪽 목이 아파오고      거북목이라서 이런건가 옆으로 누워도  위로 누워도 똑같이 너무 아파요 진짜 좀 안아프게 잘 수 없울까요 ,재활의학과
3,영어 번역 좀 , 우유 냄새나는 종이  번역 부탁드려요 ,재활의학과
4,재활의학과에서 검사 소견 해석 부탁드려요,검색해봐도 안나오네요   부탁드립니다 ,재활의학과
5,발목에 핏줄,사진에 보이는 핏줄이 움직일 때 저릿한 느낌이 납니다  어떤 문제인가요 ,재활의학과
6,척추측만 골반 틀어짐,왼쪽가슴옆을 수술해서 아파서 병원에 있는동안 왼쪽으로만  이런식으로 몸을 굽히고 어깨도 왼쪽으로만 내리고  일동안 그랬는데 지금은 괜찮아져서 똑바로 자세하고  있늨데 수술전엔 하나도 안그래 는데 갑자기  일만에 배꼽이 왼쪽쪽으로 치우쳤고 허리도 왼쪽허리만 쏙들어가져 있고 오른쪽은 거의 일자가 됬어요 이거 정상 생활하면 다시 돌아오겠죠 ,재활의학과
7,장기요양병원 선택할 때는 어떤걸 위주로 생각하고 선택해야 할까요   신사동   대초반 남 장기요양병원 ,아버지께서 질환이 있으셔서 장기요양병원을 알아보고 있습니다   아무래도 짧게 입원하는게 아니라서 오랫동안 아버지께서 편하게 계실 수 있는 곳을 알아봐야할 것 같은데요   이런 장기요양병원에 입원하는 경우에는 주로 어떤걸 보고 병원을 선택하는게 좋을까요 ,재활의학과
8,상태가 어떤건지 궁금합니다,체온으로 염증정도와 이런걸 판단한다고 하더라구요 그래서 검사를 받았는데 의사가 설명을해주는게 아니라 재활치료사가 설명을 똑바로 못해주더라구요  지금 상태가 어떤건지 일고 싶습니다 다음에 병원가서 의사만나보려구요 그전에 너무 궁금해서 여쭙니다,재활의학과
9,코로나 감염,친구가   일 가족들과 만나    시간 식사 등을 했고 그날 저녁 저를 만났습니다   근데   일 검사에서 조카 확진   조카 부모님 음성   일 검사에서 부모  명 양성 판정 받았습니다   친구와 전 키트로 일단 음성 나왔는데 코로나일 확률이 높을까요     만약     전까지 친구와 저 모두 음성이고 아무 증상도 없다면 만나도 될까요  그 전까진 병원에서 키트 검사 계속 할 예정입니다,재활의학과
10,코로나 목감기,양성인데 목에 가래가 많이 끼고 따끔거리고 목도 쉬고 열도 나는데 아이스크림 먹어도 되나요  아이스크림이 목감기에 좋다는 사람도 있고 더 악화 된다는 사람도 있어서 모르겠어요,재활의학과
11,왼쪽 어깨 통증,올해   살로 제가 척추측만증이 있고   도 정도 틀어졌다고 하는데 골반이 왼쪽이 틀어지고 안좋은 상태입니다 제가 중 부터 중 까지 게임을 양반다리로 오래동안 해서 골반이 안좋아진거 같아요 그때문에 측만증까지 간거 같구요 지금은 경각심을 가지고 양반다리와 게임을 일절 끊었습니다 그런데 측만증 때문인지 왼쪽어깨가 위로 살짝 올라가 있고 서있을때 어색함 왼쪽만 쇄골이 들어간듯이 안보이고 왼쪽 어깨쪽 관절에 소리도 나고 날깨뼈나 어깨에 전체적으로 뭉치고 아프고 서있거나 거를때 왼쪽 어깨로 삐딱한 느낌이라 불편합니다 유튜브에서 척추측만증은 고칠수가 없다는데 사실인가요  골반을 고치면 되지 않을까요 어깨가 너무 아파서요    아버지가 못고친다는거에 홀린듯 답이 없다는 식으로 말해서 좀 무섭고 앞길이 막막하네요    아직은 성장판이 있고 이때 치료하면 나을 수도 있다는데 저는 측만증은 몰라도 어깨 비대칭이랑 통증만 나으면 좋겠어요   어떡하죠,재활의학과
