0,1,2
치아교정 마무리단계에서의 치아이동,비발치교정 거의 년이 지나서 의사쌤이 교정 마무리단계라고 하시는데요 앞 아랫니 한쪽이 안쪽으로 비스듬히 있는데 이게  년 쫌 안되게 그상태 그대로예요 의사한테 말해도 기다리라는 말밖에 안하시는데 이게 맞는걸까요   원래 예상기간이  년 개월이여서  년 넘게 하고있을거라고 예상못했네요   교정 진짜 빨리 끝내고 싶어요  ,치아교정
치아교정 중 신경치료한 치아통증,치아교정을  개월째 하는중이고요 교정하던 중에 위 오른쪽 끝에서  번째어금니  를 신경치료했는데 교정중이라 크라운은 못씌우고 그냥 레진으로 막아두기만 했거든요  근데 지금 신경치료한 치아가 씹을때마다 너무 아파요 시리거나 찬거먹어도 신경쓰이는건 없는데 유독 씹을때만 엄청아프네요   신경치료한건데 신경이 남아서 염증이라도 생긴걸까요  아니면 그냥 레진으로 막기만해서 그런걸까요    신경치료한지는 두달정도 됐어요,치아교정
교정 스크류 고무줄,제가 오늘 고무줄로 하면 너무 오래 걸릴것 같다며 왼쪽 윗쪽 어금니에 스크류를 박고 왔는데 그럼 왼쪽은 고무줄을 안 끼워도 되나요  오른쪽은 고무줄 끼우고있어요 ,치아교정
치아에 끼운 고무줄 끊어짐,교정 준비 중인 학생입니다 치과에서 치아 벌어지라고  치아와 치아 사이에 작은 고무줄을 끼워주셨는데 그게 끊어진 것 같아요 제가 다니는 치과가 멀고 학생이어서 가기가 힘든데 어떡하죠  그냥 동네 치과 가도 될까요 ,치아교정
치과 와이어 질문,저 브라켓옆에있는거 어떤 용도로 쓰이는 건가요 ,치아교정
교정할 때 아픈 장치,교정  년  개월 인데요 혀가 나온다고 아픈 장치를 했는데요 어떻게 안 아프게 말 하나요 ,치아교정
턱이 좀 부정교합인데 발음이 샐수 있나요 ,저는 듣는 입장이 아니라서 잘 모르지만 남들이 가끔 제가 반말을 한줄 알거나 그러더라구요  ,치아교정
고  돌출입 문제,치과를 가야하나요 성형외과를 가야하나요  단순히 치아교정만으로 해결되나요  동네치과를 가야하나요 잘하는데를 가야하나요  보통 몇년정도 걸리나요,치아교정
교정기 뗄때 두번오라는이유,일주일 간격으로 두번 오라고했는데 왜인가여   유지장치는 첨 갔을때 떼주나요 ,치아교정
돌출입 턱 교정,제가 돌출입인데 교정하면 부정교합도 나아질까요 ,치아교정
치아 교정,지금 설측 교정중인데요 의사가 외측에 다시 교정기 달아서 설측외측에 전부 교정기를 달아서 빨리 끝내자고 하는데 살다살다 양쪽 교정기 사용한다는건 처음 들어봐서요 이런식으로도 교정을 하는지요 ,치아교정
교정기 뗄때  번 오라는 이유,곧 교정기를 떼는데요  치과에서 뗄때는  주에 한번씩  주동안 오라고했거든여 왜그런건가요  그럼 장치를 떼는건  번째때 가야 떼줄까요 ,치아교정
돌출입 이빨교정,제가 오늘부터 이빨교정 시작했는데 위에 앞니 두개가 튀어나온 이빨이고 돌출입인데 발치안하고 고정시키는 교정인데 앞니 들어가고 돌출입도 좀 괜찮아질까요    내공   겁니다  ,치아교정
하악왜소 상악돌출 교정 질문드립니다 ,이번에 교정을 하기로 한 성인 남성입니다 교정은  월달부터 시작했고 현재는 발치하기 전  차적으로 상악만 교정중입니다 그런데 한가지 걱정스러운 점이 있는데 저는 아래턱 뼈가 윗 입몸뼈보다 짦은 경우에 해당합니다 이 차이가  mm 라고 하더군요 그래서 문제는 턱뼈에 있는거니 양악수술을 하는것이 맞지만 전 교정만 하고싶어서 교정을 진행하기로 했습니다 발치는 상악만  개를 발치하고 또 의사분께서 옥니가 될 수 있기때문에 옥니 방지용 나사  개를 박기로 했습니다 여기서 궁금한게 생기는데요     일반적으로 상 하악 치아  개씩 발치후 교정을 많이 한다고 하는데요 저같은 경우는 상악  개만 발치해도 되는건가요      인터넷에서 찾아보니 일반적인 돌출입이 하악이 왜소한 경우는 수술을 하지 않는 이상 교정으로는 딱히 큰 변화가 없다고 하더라고요 의사분께서는 수술이    이라고 치면 교정은      정도로 변화가 없는건 아니다 단지 수술보다는 효과가 낮을 뿐 이라고 설명해주셨는데 무엇이 맞는 말인건가요   질문 답변 부탁드리겠습니다 감사합니다 ,치아교정
돌출입인가요,얼굴 옆 모습 봤을 때 입이 튀어나와서 이상해보이는데 돌출입 맞나요  어떤 치료를 해야 개선될까요,치아교정
돌출입 턱 아픔,제가 돌출입인데 입을 다물면 턱이 아프고 노래를 부를때도 턱이 아픔니다 원래 그런가요 ,치아교정
하관나옴,제가 초 때 아랫니가 앞니보다 나와서 제가 그냥 아랫니를 앞니 뒤쪽으로 계속 넣어서 자가치료   를 했습니다 그런데 턱이 조금 나와서 이게 교정을하면 하관이 다시 들어갈수 있나요 ,치아교정
턱 부정교합 교정,제가 왼쪽으로만 씹어서 그런지  치과 가는데 왼쪽만 턱이 나와있다고  하더라구요 당분간 오른쪽으로 씹을려고 하고  왼쪽으로 베고 잘려고 하는데요  오른쪽으로 자던 습관이 있어서 그런지 자다가 자꾸 잠을 설쳐요  좋은 방법 없을까요 ,치아교정
 주 전에 치료한 충치 통증, 주 전에 치료한 충치가 엊그제부터 불편함이 생겼어요 보통 음식 씹을땐 괜찮은데 차가운 물 마시거나 깍두기같이 차갑고 단단한 음식 먹을때 시린 증상이 있네요    찬물을 머금고 있을땐 안 아픈데 한  초 뒤 다 삼키고 나서야 시린 증상이 있습니다   일반적인 증상인지 재치료 받아야하는지 궁금합니다,충치  치아질환
잇몸이식수술후 잇몸 빨개짐,잇몸이식수술한지  일차인데 건들지도 않았고 아무것도 안했는데 저렇게 빨개지더니 부었더라고요  혹시 잘못됬거나 수술실패하진 않았겠죠   ,잇몸질환
임플란트 수술 후 식사 밥 ,제가 임플란트 수술을 받았는데 받은 부위가 송곳니 양쪽으로 두자리 받았거든요 보통 한쪽에 받고 안받은쪽으로 식사를 하는거 같은데 저는 양쪽으로 받아서 이게 밥을 먹어도 괜찮나요  첫날은 죽이랑 스프나 유제품을 최대한 조심해서 어금니 위주로 씹기는 했는데 뭐 자리잡을때까지 조심해야한데서,의치  임플란트
탁센 치통  정복용했는데,치통이 심해서  정복용햇는데 몇시간이지나도 만지면 아프고 아픈데  정바로 복용해도 되나요  왜 효과가 안나오져   정 더먹으면 효과가 올까요 ,충치  치아질환
치아 빠짐,전에 신경치료하고 씌워놨는데 그때도 치아가 거의 죽었다며 사실 씌우는것도 필요없을정도다 하셨는데 씌우고 있다가 게장먹다가 이빨이 깨지더니 이빨이 완전히 뽑혔는데 지금 아프진않고 구멍이 나있는데 임플란트 해야하나요    근데 현재 임신중이라서요   ,의치  임플란트
잇몸염증으로 치아벌어짐 치료,잇몸염증으로 이 사이가 벌어졌는데 치과치료하면 다시 예전처럼 될까요 보기 싫어요 치료방법이 있을까요,잇몸질환
임플란트 식립 후 음식,임플한트 식립한지  일차고   일차에 실밥 뽑는데  지금은 고기나 질긴음식을 제외한 일반식 먹고 있는데 햄버거같은건 언제 먹을 수 있을까요     ,의치  임플란트
잇몸에 뭐가 났는데   ,어제 양치질을 잘못해서 칫솔 그 플라스틱을 잇몸에 박아버렸더니 잇몸에 뭐가 났는데 턱을 코 쪽으로 당기면 잇몸 있는 쪽이 아프고 그 뭐 난 거 손으로 건들이면 진짜 아파 죽을 거 같아요 약간 잇몸에 구내염이 난 거처럼 겁나게 아픈데 이거 괜찮은 거 맞나요     얘가 구내염 만큼 크지도 않고 되게 작은데 뭐라고 해야 하지    물집처럼 생겼어요 이게 뭘까요 염증인가 설마   ,잇몸질환
치아크랙 재질문입니다 ,답변 주신 분 감사드리는데  제가 궁금한 게 해결이 안돼서  질문 내용에 맞는 답변 부탁드려요  치료 과정이 비슷한 건 알고 있습니다      통증이 애매한 경우 임시치아 크라운 씌우기 전 단계  를 씌우고 통증 정도를 본다 괜찮으면 바로 크라운을 씌운다   이게 맞는 건가요        염증이 뿌리 까지 있는지 진단 방법이 치아 삭제를 통해서만 확인이 가능한건가요  x레안 CT는 알 수없는 건가요     간혹 신경치료 없이 크라운 씌웠는데 알고보니 뿌리 염증이 있었다 이런 경우가 있는건 아닌 거죠  ,충치  치아질환
치아에 금감, 주전부터 양치할때 차가운물쓰면 시리고 해서 치과갔는데 아무이상 없다고 스케일링만 하고왔거든요 근데 오늘보니까 이에 금이 간것 같은데 금 간게 맞나요   치료하는데 얼마나 들까요 ,치아 유지  관리
운동선수교정,복싱   진짜 맞이 맞고요 마우스피스 안끼면 이 부러질 정도로 맞을건데 교정 못할까요       앞니 좀 튀나왔고 앞니가 좀 벌어졌는데 이것때문에 카리스마가 없어보이네요    할 수 있는 방법없을까요 어떻게든지,치아교정
