0,1,2
tfcc는 아니겠죠 ,손목이 아파요 사진에 빨간 동그라미 부분이 아프고요 초록색 동그라미 부분 뼈를 눌르면 좀 아파요 가끔 저기 파란색 동그라미 부분 손등까지도 약간 아프고요 진짜 가끔은 피도 안통하는 듯한 느낌도 와요 손목도 돌릴때마다 뚝뚝 소리 계속나고요 볼링칠때 글씨쓸때 자주 아파요   그리고 tfcc자가진단 법 해봤는데요 몇개가 포함돼서요  tfcc는 아니겠죠  병원 가도 아무문제 없다할까봐 안가고있어요  ,운동치료
림프절 부었을때 도수,최근 두통이 심해 병원에 갔더니 일자목이라 그렇다고 도수치료 받으라길래 받고있었습다 도수치료랑 병행하여 집에서 운동이나 스트레칭도 해줬는데요 도수  번정도 받았는데 목 옆에 동그랗게 튀어나와있네요 예전에 림프절이 부었던적은 있어요  같은위치인지는 기억안남      이럴때 도수치료 받아도 괜찮을까요     평소에 운동을 전혀 안하다가 도수 받으면서 운동을 좀 무리했는데 그래서 림프절이 부은걸까요 ,운동치료
스트레칭 같은거 전혀 없이 오랜 시간 연속으로 같은 동작을 취하면 근육 반응속도가 떨어지는데 왜그런가요 ,스트레칭 같 은거 전혀 없이 오랜 시간 연속으로 같은 동작을 취하면 근육 반응 속도가 떨어지는데 왜 그런가요   그러니까  게임 마우스를 크게 크게 팔 위주로 움직이면서 반복 동작 등 이나 운동 같은걸 전혀 쉬지 않고 쭉 하면 어느 시점부터 근육의 반응이 느린 느낌이 들면서 원하는 움직임 데로 안 움직이는데 그런데 정확히 어떤 조직 문제 인대 힘줄 근육  인가요 ,운동치료
운동할때 옆구리 아픔,제가 춤이랑 피겨스케이팅을 취미로 하는데 별로 안 했는데도 옆구리가 계속 아파요 일시적이진 않고 아주 어릴적부터 이래왔는데 하다가 아프니까 자꾸 흐름이 끊겨서 짜증이 나요 위의 운동 말고도 달리기 같은것만 해도 쉽게 아파지더라고요 안 아플 방법은 없을까요,운동치료
핏줄을 누르면 뭔가 파스를 붙인 느낌이 드는데 왜그런가요 ,오른손 엄지손가락쪽에 위치한 손목에 있는 핏줄을만지면 파스바른 시원한  물이 닿은듯한 느낌이 들어요 정말신기하게 주변을 만지면 전혀그런느낌이 안드는데 딱 그 팟줄에만 가볍게 닿아도 그래요 멍든건가요    ,운동치료
타바타 상체운동 관련,제가 지금 타바타 상체운동을 작성하고 있는데 푸쉬업 빼고 하나도 모르겠습니다  최대한 빨리 타바타 상체운동  가지만 알려주세요          ,운동치료
어깨 좁아지는법,제가 어깨가 좀 넓어서 떡대가 있는편인데 좀 뚱뚱한편인데 예전에 말랐을땐 어깨가 좁았엇는데 지금 살쪄서 떡대가됬는데 빼면 되겟죠    ,운동치료
골프 다리 내회전 외호전,골프 칠때 다리 외회전 내회전이 일어나나요 ,운동치료
팔에서 불편한 느낌이 나서 계속 저도 모르게 힘이 들어가요,팔이 계속 불편해서 나도 모르게 힘을 계속 줘요 힘을 안주면 불편한 느낌이 계속 들어요 이러는 이유가 뭘까요  틱장애 같은 건가요 ,운동치료
고관절굴곡 구축,운동법좀 알려주세요    ,운동치료
운동할때 떨림이 심합니다,현재 체대입시생이라 운동을 자주하는편인데 실기종목때문에 턱걸이를 하고있습니다  예전부터 느끼던건데 턱걸이같은 근력운동을 하면 몸이나 팔에 떨림이 다른친구들보다 강한거같고 친구들도 그걸 느껴서 저보고 왜그렇게 많이 떠냐고 묻곤했습니다  평소에는 무게감있는 물건을 전달할때빼고는 크게 일상생활에 지장은 없는것같습니다만 긴장을 하면 손글씨도 떨린다던지 좀 심해지는것 같고 아예 수전증이라고 생각하기엔 심각하진 않은것같아서 무슨문제인지 궁금하고 해결하고싶습니다,운동치료
근육사용할때,사람 다리가 짝짝이잖아요 거의 그럼 다리가 짧을수록 힘이 약한건가요  제가 운동할때 다리를 좌우로 벌렸다가 오므리는 기구를 사용하는데 계속 한쪽만 더 많이 벌어지고 모이는게 힘들거든요 허벅  근력 차이는 어디에서 오는지 또 길이와 연관이 있는지 궁금해요,운동치료
정력 운동,정력 테스트할때 발 움직이는거 있잖아요 그거하면 정력 좋아지나요 계속하다보니 자극이 오네요,운동치료
하지정맥 운동,하지정맥 수술한지  개월 정도된거같은데 점핑다이어트 운동해도 괜찮을까요  수술개월수상관없이 무리가 가는 운동인가해서요,운동치료
체력측정원리 ,제자리 멀리뛰기를 성인남성  명이 했습니다    주 회 고강도 운동을함 몸풀기전    cm 맨몸스쿼트  회후    cm   주 회 고강도 운동을함 똑같은 조건    cm 에서    cm   주 회 근력훈련    cm 에서    cm   운동안함    cm 에서    cm  여기서 궁금한건 몸 풀기전 상태에서 스쿼트  회를 해서 워밍업이 되어서 기록이 증가하느냐를 알고싶었는데 증가하는걸 알수있었는데 운동을 평소에 하는사람의 기록증가량 은 적게 나왔고 운동을 안하는사람은 크게 증가했습니다  어떤 원리인가요 이것이 뭐라고 설명해야하나요  그냥 기존 기록이 낮기때문에 크게 기록이 증가한걸까요 ,운동치료
